      0.1           255200          4      63800.0      62416.0      62336      68032       2821.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213120          3      71040.0      69728.0      69216      74176       2727.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            30144          3      10048.0      10144.0       8608      11392       1394.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255904          4      63976.0      62768.0      62368      68000       2703.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213120          3      71040.0      70304.0      68800      74016       2684.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28224          3       9408.0       8768.0       8352      11104       1483.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255968          4      63992.0      62448.0      62304      68768       3185.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213248          3      71082.7      69792.0      69632      73824       2375.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29248          3       9749.3       9664.0       8608      10976       1186.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255136          4      63784.0      62352.0      62272      68160       2917.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212800          3      70933.3      69952.0      68736      74112       2819.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28416          3       9472.0       8768.0       8288      11360       1652.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256064          4      64016.0      62736.0      62400      68192       2799.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212896          3      70965.3      69568.0      69216      74112       2730.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29024          3       9674.7      10048.0       7680      11296       1836.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255936          4      63984.0      62928.0      62368      67712       2499.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212960          3      70986.7      69600.0      68832      74528       3090.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29152          3       9717.3      10112.0       8160      10880       1402.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255520          4      63880.0      62784.0      62336      67616       2526.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212224          3      70741.3      69888.0      68736      73600       2541.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            27776          3       9258.7       9792.0       7712      10272       1360.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257280          4      64320.0      63024.0      62432      68800       2999.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214400          3      71466.7      69824.0      69504      75072       3126.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29024          3       9674.7       9408.0       8032      11584       1791.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254720          4      63680.0      62336.0      62272      67776       2731.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214368          3      71456.0      70464.0      69408      74496       2685.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28992          3       9664.0       9536.0       8032      11424       1699.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255200          4      63800.0      62416.0      62304      68064       2843.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213024          3      71008.0      69696.0      68736      74592       3140.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29824          3       9941.3      10016.0       8608      11200       1297.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256256          4      64064.0      62784.0      62336      68352       2886.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214816          3      71605.3      71040.0      68832      74944       3095.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29024          3       9674.7       9728.0       7680      11616       1968.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255936          4      63984.0      62368.0      62304      68896       3274.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213280          3      71093.3      70112.0      68640      74528       3064.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28096          3       9365.3       9504.0       7584      11008       1716.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256352          4      64088.0      62800.0      62368      68384       2889.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212512          3      70837.3      70304.0      68704      73504       2444.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            27680          3       9226.7       8704.0       7968      11008       1586.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255424          4      63856.0      62832.0      62368      67392       2393.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214528          3      71509.3      70848.0      69184      74496       2717.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29344          3       9781.3      10048.0       7936      11360       1727.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256512          4      64128.0      62816.0      62272      68608       2997.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214016          3      71338.7      69760.0      69472      74784       2987.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28672          3       9557.3       9600.0       7936      11136       1600.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           132768          4      33192.0      32544.0      32064      35616       1633.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           111904          3      37301.3      37088.0      35424      39392       1992.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            16256          3       5418.7       5248.0       4256       6752       1256.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257696          4      64424.0      63344.0      62848      68160       2502.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213664          3      71221.3      70176.0      68864      74624       3018.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28320          3       9440.0       9408.0       7808      11104       1648.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255648          4      63912.0      62816.0      62368      67648       2519.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214464          3      71488.0      70848.0      69408      74208       2463.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29056          3       9685.3       9440.0       8032      11584       1788.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255872          4      63968.0      62560.0      62368      68384       2947.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212608          3      70869.3      69760.0      68768      74080       2824.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29824          3       9941.3      10144.0       8640      11040       1212.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255200          4      63800.0      62464.0      62304      67968       2781.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213728          3      71242.7      70144.0      68768      74816       3170.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29600          3       9866.7       9248.0       8672      11680       1596.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257280          4      64320.0      63120.0      62976      68064       2499.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214880          3      71626.7      70752.0      69056      75072       3101.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28544          3       9514.7       9344.0       7968      11232       1638.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256672          4      64168.0      62896.0      62368      68512       2938.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213120          3      71040.0      69920.0      69536      73664       2280.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29088          3       9696.0       9536.0       8000      11552       1781.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254656          4      63664.0      62384.0      62304      67584       2613.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213408          3      71136.0      69728.0      69632      74048       2522.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            27904          3       9301.3       8896.0       8064      10944       1482.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256736          4      64184.0      62896.0      62304      68640       2984.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213408          3      71136.0      70112.0      69536      73760       2290.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29056          3       9685.3       9568.0       7968      11520       1778.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255808          4      63952.0      62672.0      62336      68128       2802.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213888          3      71296.0      70240.0      69536      74112       2464.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28160          3       9386.7       8800.0       7872      11488       1878.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255392          4      63848.0      62688.0      62272      67744       2613.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212544          3      70848.0      70176.0      68704      73664       2547.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29280          3       9760.0       9472.0       8160      11648       1761.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254880          4      63720.0      62528.0      62304      67520       2535.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213216          3      71072.0      69696.0      69248      74272       2780.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28096          3       9365.3       9408.0       8384      10304        960.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256480          4      64120.0      63120.0      62240      68000       2620.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213664          3      71221.3      70400.0      68704      74560       3013.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            30048          3      10016.0       9728.0       8480      11840       1698.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255488          4      63872.0      62400.0      62272      68416       3030.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
