0.1 255200 4 63800.0 62416.0 62336 68032 2821.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255904 4 63976.0 62768.0 62368 68000 2703.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255968 4 63992.0 62448.0 62304 68768 3185.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255136 4 63784.0 62352.0 62272 68160 2917.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256064 4 64016.0 62736.0 62400 68192 2799.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62928.0 62368 67712 2499.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255520 4 63880.0 62784.0 62336 67616 2526.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257280 4 64320.0 63024.0 62432 68800 2999.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254720 4 63680.0 62336.0 62272 67776 2731.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255200 4 63800.0 62416.0 62304 68064 2843.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256256 4 64064.0 62784.0 62336 68352 2886.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62368.0 62304 68896 3274.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256352 4 64088.0 62800.0 62368 68384 2889.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255424 4 63856.0 62832.0 62368 67392 2393.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256512 4 64128.0 62816.0 62272 68608 2997.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 132768 4 33192.0 32544.0 32064 35616 1633.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257696 4 64424.0 63344.0 62848 68160 2502.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255648 4 63912.0 62816.0 62368 67648 2519.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62560.0 62368 68384 2947.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255200 4 63800.0 62464.0 62304 67968 2781.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257280 4 64320.0 63120.0 62976 68064 2499.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256672 4 64168.0 62896.0 62368 68512 2938.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254656 4 63664.0 62384.0 62304 67584 2613.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256736 4 64184.0 62896.0 62304 68640 2984.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255808 4 63952.0 62672.0 62336 68128 2802.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255392 4 63848.0 62688.0 62272 67744 2613.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254880 4 63720.0 62528.0 62304 67520 2535.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256480 4 64120.0 63120.0 62240 68000 2620.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255488 4 63872.0 62400.0 62272 68416 3030.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256864 4 64216.0 62752.0 62528 68832 3081.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256256 4 64064.0 62560.0 62336 68800 3159.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257824 4 64456.0 63120.0 62368 69216 3193.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256352 4 64088.0 63136.0 62304 67776 2490.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256512 4 64128.0 62800.0 62336 68576 2988.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.2 255200 4 63800.0 62384.0 62336 68096 2864.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256576 4 64144.0 63232.0 62240 67872 2529.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255840 4 63960.0 62640.0 62528 68032 2715.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254368 4 63592.0 62320.0 62304 67424 2554.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 63088.0 62368 67392 2298.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256864 4 64216.0 62880.0 62432 68672 2978.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255712 4 63928.0 62304.0 62304 68800 3248.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257408 4 64352.0 63056.0 62400 68896 3047.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62752.0 62368 68064 2741.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255488 4 63872.0 62720.0 62304 67744 2601.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256640 4 64160.0 62704.0 62304 68928 3198.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256032 4 64008.0 62848.0 62336 68000 2700.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 131456 4 32864.0 31824.0 31616 36192 2227.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254944 4 63736.0 62400.0 62368 67776 2693.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255744 4 63936.0 62848.0 62368 67680 2517.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257344 4 64336.0 63216.0 62368 68544 2833.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255264 4 63816.0 62736.0 62400 67392 2392.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257056 4 64264.0 63008.0 62400 68640 2933.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256288 4 64072.0 62720.0 62304 68544 3001.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255712 4 63928.0 62800.0 62304 67808 2624.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256480 4 64120.0 63104.0 62304 67968 2592.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256384 4 64096.0 63184.0 62304 67712 2447.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62576.0 62272 68512 3025.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 62768.0 62304 68576 3010.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62576.0 62336 68384 2951.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256928 4 64232.0 62928.0 62528 68544 2883.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255520 4 63880.0 62736.0 62336 67712 2576.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255200 4 63800.0 62624.0 62336 67616 2554.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256672 4 64168.0 62896.0 62368 68512 2908.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254912 4 63728.0 62368.0 62272 67904 2784.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 191840 4 47960.0 47104.0 46784 50848 1932.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256320 4 64080.0 62768.0 62304 68480 2962.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257376 4 64344.0 63152.0 62272 68800 3001.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62656.0 62336 68288 2885.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256544 4 64136.0 63136.0 62400 67872 2514.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256000 4 64000.0 62752.0 62304 68192 2826.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256128 4 64032.0 62608.0 62368 68544 3016.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254752 4 63688.0 62384.0 62336 67648 2640.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257568 4 64392.0 63120.0 62304 69024 3112.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 258144 4 64536.0 63120.0 62912 68992 2973.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255488 4 63872.0 62704.0 62304 67776 2629.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254304 4 63576.0 62336.0 62272 67360 2522.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257152 4 64288.0 62912.0 62304 69024 3170.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257664 4 64416.0 63312.0 62400 68640 2848.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256128 4 64032.0 62624.0 62336 68544 3015.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256320 4 64080.0 63104.0 62336 67776 2491.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256064 4 64016.0 62848.0 62368 68000 2665.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255744 4 63936.0 62336.0 62272 68800 3242.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255584 4 63896.0 62624.0 62304 68032 2765.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256160 4 64040.0 62528.0 62464 68640 3066.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255584 4 63896.0 62768.0 62304 67744 2595.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257472 4 64368.0 63184.0 62336 68768 2961.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62416.0 62368 68736 3168.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256576 4 64144.0 63184.0 62464 67744 2423.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256992 4 64248.0 62752.0 62272 69216 3339.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255968 4 63992.0 62992.0 62368 67616 2433.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256448 4 64112.0 63168.0 62368 67744 2454.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254784 4 63696.0 62336.0 62304 67808 2741.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255776 4 63944.0 62640.0 62432 68064 2753.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256384 4 64096.0 63136.0 62336 67776 2482.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257792 4 64448.0 63248.0 63168 68128 2453.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255552 4 63888.0 62736.0 62336 67744 2598.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256800 4 64200.0 62896.0 62368 68640 2970.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257280 4 64320.0 63056.0 62304 68864 3051.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254848 4 63712.0 62528.0 62272 67520 2541.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255584 4 63896.0 62336.0 62304 68608 3141.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255648 4 63912.0 62400.0 62336 68512 3066.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255680 4 63920.0 62864.0 62368 67584 2466.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254784 4 63696.0 62464.0 62336 67520 2551.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257568 4 64392.0 63056.0 62368 69088 3147.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257792 4 64448.0 63216.0 62304 69056 3102.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 133344 4 33336.0 32304.0 31968 36768 2295.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255968 4 63992.0 62624.0 62400 68320 2889.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62848.0 62336 67840 2618.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256096 4 64024.0 62752.0 62304 68288 2867.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255520 4 63880.0 62896.0 62336 67392 2357.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255904 4 63976.0 62832.0 62304 67936 2675.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256928 4 64232.0 62896.0 62624 68512 2858.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256480 4 64120.0 62704.0 62336 68736 3094.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256448 4 64112.0 62864.0 62240 68480 2927.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256512 4 64128.0 63200.0 62560 67552 2302.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256448 4 64112.0 63088.0 62368 67904 2551.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256224 4 64056.0 62784.0 62240 68416 2951.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254944 4 63736.0 62608.0 62304 67424 2472.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256992 4 64248.0 63008.0 62368 68608 2926.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255904 4 63976.0 62608.0 62336 68352 2920.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256544 4 64136.0 62896.0 62400 68352 2824.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255392 4 63848.0 62848.0 62368 67328 2359.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254464 4 63616.0 62352.0 62304 67456 2560.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 62848.0 62336 68384 2886.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 258080 4 64520.0 63104.0 62400 69472 3319.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257600 4 64400.0 63056.0 62496 68992 3073.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62720.0 62400 68096 2755.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256608 4 64152.0 63056.0 62368 68128 2672.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256224 4 64056.0 62752.0 62336 68384 2901.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 63120.0 62368 67808 2502.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255424 4 63856.0 62336.0 62304 68448 3061.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255232 4 63808.0 62320.0 62272 68320 3008.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256384 4 64096.0 62752.0 62336 68544 2985.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255840 4 63960.0 62592.0 62336 68320 2909.2 CUDA_KERNEL lud_diagonal(float *, int, int)
