0.1 213120 3 71040.0 69728.0 69216 74176 2727.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 70304.0 68800 74016 2684.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213248 3 71082.7 69792.0 69632 73824 2375.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 69952.0 68736 74112 2819.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212896 3 70965.3 69568.0 69216 74112 2730.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212960 3 70986.7 69600.0 68832 74528 3090.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212224 3 70741.3 69888.0 68736 73600 2541.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214400 3 71466.7 69824.0 69504 75072 3126.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214368 3 71456.0 70464.0 69408 74496 2685.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213024 3 71008.0 69696.0 68736 74592 3140.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214816 3 71605.3 71040.0 68832 74944 3095.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213280 3 71093.3 70112.0 68640 74528 3064.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212512 3 70837.3 70304.0 68704 73504 2444.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214528 3 71509.3 70848.0 69184 74496 2717.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214016 3 71338.7 69760.0 69472 74784 2987.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 111904 3 37301.3 37088.0 35424 39392 1992.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213664 3 71221.3 70176.0 68864 74624 3018.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214464 3 71488.0 70848.0 69408 74208 2463.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212608 3 70869.3 69760.0 68768 74080 2824.4 CUDA_KERNEL lud_perimeter(float *, int, int)
