0.3 7011584 1023 6853.9 6528.0 3488 34528 3062.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 11935424 1023 11667.1 12736.0 4256 35136 3106.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6800704 1023 6647.8 6368.0 3424 34560 3034.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7466752 1023 7298.9 6336.0 3520 34368 3897.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6631872 1023 6482.8 6464.0 3552 35264 2622.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6807104 1023 6654.1 6464.0 3520 35072 2878.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8412416 1023 8223.3 7680.0 4160 34752 3454.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6848928 1023 6694.9 6496.0 3520 35040 2891.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6777952 1023 6625.6 6464.0 3520 34112 2841.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7138016 1023 6977.5 6432.0 3520 33920 3197.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12123648 1023 11851.1 12800.0 6976 35616 2631.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6544128 1023 6397.0 6464.0 3520 34368 2381.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 9922464 1023 9699.4 8032.0 4192 35680 4250.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7615104 1023 7443.9 6400.0 3520 34304 3717.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12082304 1023 11810.7 12832.0 7072 35008 2579.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6977440 1023 6820.6 6528.0 3584 35968 2949.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7683776 1023 7511.0 6272.0 3488 34272 4118.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8471168 1023 8280.7 7584.0 3552 34912 4192.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12360768 1023 12082.9 12800.0 6976 34816 2906.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6594848 1023 6446.6 6496.0 3552 34336 2417.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6780608 1023 6628.2 6464.0 3520 34400 2764.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7046720 1023 6888.3 6496.0 3520 35808 3265.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12177824 1023 11904.0 12768.0 4352 34848 2749.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6738432 1023 6586.9 6496.0 3520 36160 2770.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7075456 1023 6916.4 6528.0 3488 35456 2952.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6737920 1023 6586.4 6496.0 3552 35520 2746.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7025920 1023 6868.0 6464.0 3552 34560 3242.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6443424 1023 6298.6 6144.0 3520 34336 2529.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7189504 1023 7027.9 6496.0 3584 34400 3384.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6757376 1023 6605.5 6464.0 3552 35968 2839.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6811680 1023 6658.5 6464.0 3520 35424 2818.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7936448 1023 7758.0 6528.0 3520 34240 3862.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6692256 1023 6541.8 6176.0 3520 35328 3030.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7498080 1023 7329.5 6528.0 3488 25024 3105.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6429568 1023 6285.0 6304.0 3552 35584 2563.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6609504 1023 6460.9 6496.0 3552 34240 2524.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6944928 1023 6788.8 6528.0 3520 34496 2804.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6835392 1023 6681.7 6304.0 3552 34496 3183.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8711072 1023 8515.2 6752.0 3520 34208 4390.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7108896 1023 6949.1 6560.0 3488 34656 2920.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6535488 1023 6388.6 6368.0 3456 25152 2338.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6848288 1023 6694.3 6560.0 3520 26272 2302.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7085920 1023 6926.6 6528.0 3552 34688 3071.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6771840 1023 6619.6 6464.0 3552 35776 2761.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8021824 1023 7841.5 6528.0 3520 34688 4072.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7844288 1023 7667.9 7552.0 3520 34592 3637.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7096544 1023 6937.0 6496.0 3552 34592 3141.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6850432 1023 6696.4 6496.0 3520 34656 2913.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7133824 1023 6973.4 6560.0 3552 34624 2921.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8232064 1023 8047.0 6752.0 3520 34784 4164.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7264704 1023 7101.4 6496.0 3520 35072 3236.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8144096 1023 7961.0 6880.0 3520 24992 3511.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6827392 1023 6673.9 6496.0 3520 35808 2965.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6790208 1023 6637.5 6400.0 3552 34400 2746.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6687744 1023 6537.4 6464.0 3552 35648 2607.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6855936 1023 6701.8 6464.0 3488 34912 3050.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8175328 1023 7991.5 6464.0 3552 35104 4130.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7858592 1023 7681.9 6560.0 3520 34720 3844.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7062272 1023 6903.5 6496.0 3520 34624 3100.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7073728 1023 6914.7 6528.0 3552 34432 3056.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6888032 1023 6733.2 6528.0 3552 34272 2621.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6818240 1023 6664.9 6496.0 3488 35040 2413.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6649344 1023 6499.8 6496.0 3520 34208 2598.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7287136 1023 7123.3 6368.0 3488 34528 3685.5 CUDA_KERNEL Fan1(float *, float *, int, int)
