0.0 15232 2 7616.0 7616.0 5664 9568 2760.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20640 2 10320.0 10320.0 8000 12640 3281.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19232 2 9616.0 9616.0 7584 11648 2873.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20288 2 10144.0 10144.0 8608 11680 2172.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19456 2 9728.0 9728.0 7808 11648 2715.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19936 2 9968.0 9968.0 8384 11552 2240.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20544 2 10272.0 10272.0 8576 11968 2398.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20480 2 10240.0 10240.0 8800 11680 2036.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20544 2 10272.0 10272.0 8896 11648 1946.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19520 2 9760.0 9760.0 7680 11840 2941.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20288 2 10144.0 10144.0 7968 12320 3077.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20704 2 10352.0 10352.0 8384 12320 2783.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19712 2 9856.0 9856.0 7936 11776 2715.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19392 2 9696.0 9696.0 7552 11840 3032.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20960 2 10480.0 10480.0 8128 12832 3326.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19040 2 9520.0 9520.0 7520 11520 2828.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19328 2 9664.0 9664.0 7616 11712 2896.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19264 2 9632.0 9632.0 7616 11648 2851.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19872 2 9936.0 9936.0 7584 12288 3326.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20576 2 10288.0 10288.0 8896 11680 1968.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20288 2 10144.0 10144.0 8608 11680 2172.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19776 2 9888.0 9888.0 8192 11584 2398.5 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20832 2 10416.0 10416.0 8480 12352 2737.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19808 2 9904.0 9904.0 8224 11584 2375.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 8480 11648 2240.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21696 2 10848.0 10848.0 9824 11872 1448.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19552 2 9776.0 9776.0 7712 11840 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20096 2 10048.0 10048.0 7584 12512 3484.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
