21,0 21.422.752 12 1.785.229,0 576.688,0 215.136 8.924.960 2.599.076,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.437.152 12 1.786.429,0 565.744,0 210.272 8.922.624 2.602.530,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.392.160 12 1.782.680,0 565.872,0 210.592 8.927.040 2.602.741,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.445.280 12 1.787.106,0 575.168,0 210.912 8.935.616 2.604.186,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.525.664 12 1.793.805,0 574.720,0 210.880 8.928.704 2.605.162,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.429.568 12 1.785.797,0 571.600,0 210.720 8.925.728 2.601.995,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.445.984 12 1.787.165,0 570.960,0 209.408 8.932.992 2.603.636,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.447.136 12 1.787.261,0 571.248,0 211.584 8.926.208 2.604.706,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.428.672 12 1.785.722,0 569.184,0 209.024 8.927.808 2.604.282,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.447.680 12 1.787.306,0 565.632,0 211.296 8.930.176 2.604.759,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.400.832 12 1.783.402,0 568.688,0 210.144 8.934.816 2.604.464,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.454.368 12 1.787.864,0 581.264,0 211.712 8.928.608 2.601.780,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.412.544 12 1.784.378,0 568.656,0 213.152 8.932.672 2.603.558,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.412.416 12 1.784.368,0 562.816,0 210.016 8.928.096 2.603.996,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.407.680 12 1.783.973,0 569.664,0 213.280 8.919.040 2.599.767,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.428.160 12 1.785.680,0 570.992,0 210.944 8.922.592 2.600.817,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.400.736 12 1.783.394,0 566.528,0 213.184 8.936.480 2.603.959,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.482.272 12 1.790.189,0 568.864,0 211.744 8.929.760 2.605.949,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.470.016 12 1.789.168,0 572.960,0 209.280 8.935.520 2.605.282,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.383.936 12 1.781.994,0 562.176,0 208.224 8.915.808 2.599.752,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.393.696 12 1.782.808,0 571.024,0 211.456 8.921.120 2.601.173,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.454.272 12 1.787.856,0 572.528,0 211.808 8.915.712 2.600.335,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.414.784 12 1.784.565,0 568.544,0 208.736 8.926.528 2.601.122,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.510.176 12 1.792.514,0 571.600,0 213.536 8.929.568 2.603.344,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
