3,0 3.276.224 12 273.018,0 302.656,0 194.752 342.752 64.190,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.245.408 12 270.450,0 298.096,0 194.528 340.960 64.191,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.261.408 12 271.784,0 301.872,0 195.008 342.336 64.911,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.270.944 12 272.578,0 301.344,0 194.560 342.784 64.384,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.253.760 12 271.146,0 300.176,0 194.976 341.056 64.766,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.289.024 12 274.085,0 304.592,0 194.944 343.584 64.552,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.264.768 12 272.064,0 300.048,0 195.168 344.064 65.716,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.262.464 12 271.872,0 300.784,0 194.624 342.688 65.006,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.287.040 12 273.920,0 305.952,0 193.952 344.672 65.304,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.261.632 12 271.802,0 301.520,0 194.656 342.400 64.762,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.276.832 12 273.069,0 304.208,0 194.592 344.480 65.472,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.286.944 12 273.912,0 303.872,0 194.176 342.208 63.876,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.296.416 12 274.701,0 306.368,0 194.464 342.720 64.135,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.216 12 272.101,0 302.352,0 194.912 343.392 65.360,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.306.240 12 275.520,0 307.024,0 194.208 345.120 64.819,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.266.656 12 272.221,0 301.312,0 194.720 344.544 65.267,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.260.832 12 271.736,0 301.664,0 194.400 342.304 64.695,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.279.328 12 273.277,0 305.712,0 195.200 344.384 65.712,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.277.088 12 273.090,0 301.744,0 194.464 344.800 64.947,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.263.424 12 271.952,0 301.344,0 194.144 343.648 65.697,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.282.464 12 273.538,0 303.600,0 194.656 343.936 64.885,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.260.256 12 271.688,0 300.448,0 194.496 343.360 64.665,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.263.616 12 271.968,0 302.128,0 193.760 344.864 65.820,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.276.608 12 273.050,0 302.816,0 194.592 341.984 64.066,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.276.384 12 273.032,0 305.632,0 194.752 344.256 66.006,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.568 12 272.130,0 301.408,0 194.208 342.816 64.920,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.254.912 12 271.242,0 298.864,0 194.624 342.624 64.609,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.325.472 12 277.122,0 309.456,0 195.264 343.936 63.625,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.253.856 12 271.154,0 297.712,0 194.592 342.592 65.399,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.280.608 12 273.384,0 305.552,0 194.624 344.000 65.670,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.258.752 12 271.562,0 296.144,0 194.816 343.552 64.153,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.257.088 12 271.424,0 302.000,0 194.624 341.280 65.144,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.264.672 12 272.056,0 301.712,0 194.688 341.568 64.157,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.273.472 12 272.789,0 299.808,0 194.240 341.824 63.240,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.269.280 12 272.440,0 302.784,0 194.592 340.896 64.213,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.280.608 12 273.384,0 303.888,0 194.624 344.352 65.103,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.408 12 272.117,0 302.416,0 193.664 344.192 65.778,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
