5,0 195.904 8 24.488,0 25.664,0 12.160 30.880 6.210,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 104.448 8 13.056,0 13.008,0 7.872 17.632 3.039,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 192.256 8 24.032,0 25.456,0 12.128 29.472 5.744,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.456 8 24.432,0 25.584,0 12.544 31.040 5.914,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.176 8 24.272,0 25.328,0 12.992 30.816 5.687,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.776 8 23.972,0 25.360,0 11.200 30.144 6.038,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.008 8 24.376,0 25.984,0 12.384 30.240 5.744,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.912 8 24.364,0 25.712,0 11.392 31.776 6.658,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.128 8 24.016,0 25.024,0 12.576 31.360 5.814,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.632 8 24.204,0 25.248,0 11.488 31.232 6.229,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.992 8 24.124,0 24.944,0 12.128 31.328 6.126,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.928 8 24.116,0 25.296,0 11.968 29.952 5.868,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.680 8 23.960,0 24.656,0 12.576 29.440 5.465,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.776 8 24.472,0 25.328,0 12.672 31.808 6.041,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.344 8 24.168,0 25.312,0 11.520 30.624 6.283,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.016 8 24.252,0 25.280,0 13.504 30.592 5.498,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
2,0 198.080 8 24.760,0 25.872,0 13.728 30.432 5.428,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 196.352 8 24.544,0 25.712,0 11.968 31.616 6.152,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
