1,0 70.720 8 8.840,0 8.704,0 8.288 9.728 503,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 39.040 8 4.880,0 4.832,0 3.968 5.952 784,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.312 8 8.664,0 8.480,0 7.808 9.792 679,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.936 8 8.492,0 8.464,0 7.744 9.152 505,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.552 8 8.444,0 8.320,0 7.840 9.056 481,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 72.192 8 9.024,0 8.784,0 8.096 10.016 827,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.128 8 8.516,0 8.352,0 7.936 9.472 500,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.632 8 8.704,0 8.608,0 8.224 9.632 490,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.896 8 8.612,0 8.496,0 7.936 9.280 483,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.096 8 8.512,0 8.416,0 7.936 9.216 422,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.968 8 8.496,0 8.320,0 7.872 9.280 497,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.808 8 8.476,0 8.416,0 7.808 9.664 579,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.832 8 8.604,0 8.432,0 7.872 10.240 763,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.464 8 8.808,0 8.960,0 7.904 9.600 604,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.504 8 8.688,0 8.336,0 8.192 10.240 726,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.256 8 8.532,0 8.336,0 7.840 10.112 734,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.120 8 8.640,0 8.416,0 8.096 9.920 622,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.096 8 8.512,0 8.336,0 8.064 9.696 517,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
