30,0 24.106.080 12 2.008.840,0 710.720,0 300.064 9.004.640 2.682.607,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.184.064 12 2.015.338,0 709.376,0 300.672 9.027.968 2.690.482,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.177.024 12 2.014.752,0 705.968,0 299.680 9.029.792 2.690.598,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.149.344 12 2.012.445,0 710.512,0 301.088 9.005.216 2.686.489,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.076.608 12 2.006.384,0 712.576,0 300.096 8.973.792 2.674.458,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.143.872 12 2.011.989,0 710.048,0 300.512 9.023.104 2.689.824,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.181.408 12 2.015.117,0 712.864,0 301.344 9.007.072 2.687.220,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.115.712 12 2.009.642,0 710.640,0 300.000 9.013.280 2.686.602,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.165.760 12 2.013.813,0 712.656,0 300.000 9.030.400 2.692.552,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 7.333.056 12 611.088,0 211.664,0 87.456 2.492.576 788.263,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 7.296.864 12 608.072,0 211.440,0 87.552 2.469.152 782.378,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.060.800 12 2.005.066,0 708.112,0 299.872 8.992.544 2.678.889,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.129.920 12 2.010.826,0 708.512,0 300.352 8.993.056 2.682.726,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.147.296 12 2.012.274,0 707.648,0 298.784 9.019.488 2.686.947,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.143.968 12 2.011.997,0 711.744,0 300.256 9.010.336 2.686.073,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.190.784 12 2.015.898,0 716.208,0 302.304 9.027.296 2.691.824,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.141.984 12 2.011.832,0 712.208,0 300.544 9.009.472 2.685.496,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.216.352 12 2.018.029,0 709.616,0 310.336 9.020.736 2.686.002,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.133.440 12 2.011.120,0 709.792,0 303.872 8.984.256 2.680.800,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.144.672 12 2.012.056,0 710.272,0 298.720 9.021.184 2.688.701,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
29,0 24.138.752 12 2.011.562,0 715.024,0 301.216 8.993.088 2.682.152,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.133.248 12 2.011.104,0 708.112,0 299.456 9.004.128 2.684.643,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.235.168 12 2.019.597,0 712.096,0 307.424 9.030.240 2.691.413,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.154.496 12 2.012.874,0 711.040,0 299.168 9.047.552 2.691.813,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.111.136 12 2.009.261,0 711.024,0 301.440 8.994.208 2.681.904,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.109.888 12 2.009.157,0 711.808,0 298.400 9.001.408 2.684.097,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.155.104 12 2.012.925,0 713.680,0 305.312 9.003.200 2.685.164,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.149.088 12 2.012.424,0 711.648,0 303.104 9.006.240 2.683.979,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.155.648 12 2.012.970,0 712.432,0 299.680 9.017.152 2.689.878,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.191.104 12 2.015.925,0 713.664,0 300.192 9.023.200 2.689.386,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.120.032 12 2.010.002,0 711.744,0 300.224 9.001.952 2.681.267,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.146.272 12 2.012.189,0 710.016,0 299.296 9.030.112 2.690.407,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.131.968 12 2.010.997,0 714.352,0 299.584 8.992.480 2.685.291,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.152.768 12 2.012.730,0 714.144,0 301.248 9.006.464 2.686.581,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.084.384 12 2.007.032,0 706.448,0 300.896 8.982.176 2.678.616,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.169.312 12 2.014.109,0 714.080,0 300.352 9.000.640 2.684.066,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.193.760 12 2.016.146,0 715.600,0 298.720 9.038.912 2.691.540,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.147.552 12 2.012.296,0 712.128,0 301.664 8.988.704 2.679.289,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.132.672 12 2.011.056,0 708.496,0 300.320 9.003.744 2.683.941,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.121.344 12 2.010.112,0 712.960,0 302.048 8.994.656 2.681.645,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.169.984 12 2.014.165,0 712.480,0 298.976 9.012.224 2.686.458,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.103.168 12 2.008.597,0 711.664,0 300.448 8.991.008 2.680.703,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.126.496 12 2.010.541,0 712.240,0 301.152 9.007.168 2.684.449,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.101.536 12 2.008.461,0 708.368,0 300.416 9.001.280 2.680.814,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.137.472 12 2.011.456,0 712.816,0 300.640 9.021.152 2.687.799,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.152.832 12 2.012.736,0 709.664,0 300.384 9.026.560 2.692.614,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.158.688 12 2.013.224,0 711.536,0 300.000 9.013.408 2.686.197,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.126.688 12 2.010.557,0 708.512,0 300.576 8.988.128 2.680.894,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.103.232 12 2.008.602,0 707.712,0 298.880 8.997.952 2.682.046,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.166.432 12 2.013.869,0 709.632,0 301.632 9.019.584 2.688.512,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.187.968 12 2.015.664,0 710.480,0 300.768 9.021.536 2.692.519,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.110.272 12 2.009.189,0 707.808,0 300.800 9.010.592 2.685.001,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.113.504 12 2.009.458,0 712.672,0 301.376 9.010.784 2.684.507,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.131.488 12 2.010.957,0 712.976,0 301.216 9.001.600 2.683.838,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.166.528 12 2.013.877,0 715.648,0 301.056 9.015.872 2.688.672,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.120.800 12 2.010.066,0 708.224,0 301.216 9.004.480 2.683.517,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.120.256 12 2.010.021,0 711.424,0 300.416 8.987.040 2.678.916,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
