5,0 4.163.584 12 346.965,0 309.120,0 294.784 472.704 74.860,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.177.728 12 348.144,0 310.848,0 294.496 473.088 75.577,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.640 12 347.053,0 309.264,0 294.784 474.272 75.480,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.187.776 12 348.981,0 310.256,0 296.384 475.072 76.097,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.169.888 12 347.490,0 309.440,0 294.816 473.216 75.267,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.904 12 347.325,0 310.192,0 294.816 472.128 75.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.488 12 347.290,0 310.512,0 297.024 469.088 72.961,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.171.424 12 347.618,0 310.912,0 296.160 468.160 73.084,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.171.008 12 347.584,0 309.616,0 295.072 469.984 74.320,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 1.296.320 12 108.026,0 89.264,0 84.608 156.576 30.755,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 1.292.896 12 107.741,0 89.408,0 84.736 155.840 30.124,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.160.512 12 346.709,0 308.880,0 294.944 472.000 75.494,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.159.360 12 346.613,0 308.832,0 294.016 470.720 75.431,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.178.912 12 348.242,0 310.000,0 295.040 477.280 76.489,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.171.616 12 347.634,0 309.824,0 295.296 472.544 75.221,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.178.528 12 348.210,0 311.152,0 296.672 473.440 74.315,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.173.056 12 347.754,0 311.264,0 295.968 470.080 73.075,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.242.304 12 353.525,0 315.984,0 307.552 472.832 70.622,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.180.928 12 348.410,0 311.264,0 297.664 472.864 74.240,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.159.872 12 346.656,0 310.016,0 293.664 469.952 75.228,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.169.984 12 347.498,0 309.392,0 296.608 468.672 72.439,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
