8,0 362.016 8 45.252,0 46.816,0 18.400 67.552 14.730,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.224 8 45.528,0 47.344,0 18.400 69.056 15.151,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.296 8 44.912,0 45.680,0 18.240 67.072 14.956,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 374.592 8 46.824,0 47.152,0 19.680 73.504 15.739,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 365.312 8 45.664,0 46.512,0 18.208 72.064 15.758,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 364.544 8 45.568,0 46.768,0 19.200 69.152 14.870,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 355.520 8 44.440,0 46.336,0 17.440 61.952 13.742,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 361.792 8 45.224,0 46.448,0 17.312 69.440 15.390,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.176 8 45.272,0 46.992,0 17.248 67.968 15.107,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.552 8 45.444,0 47.008,0 17.984 67.520 15.118,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 356.832 8 44.604,0 46.720,0 17.632 63.584 14.326,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.176 8 46.272,0 46.144,0 19.360 75.360 16.530,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.288 8 45.536,0 45.984,0 18.720 69.792 15.280,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 362.752 8 45.344,0 45.888,0 18.656 69.056 15.116,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.416 8 45.052,0 47.040,0 17.632 66.400 14.846,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 359.968 8 44.996,0 45.792,0 17.504 68.160 15.121,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 367.584 8 45.948,0 46.608,0 17.696 72.512 16.063,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 365.344 8 45.668,0 47.712,0 18.112 68.704 15.309,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.744 8 45.468,0 46.720,0 19.072 68.800 14.999,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 359.040 8 44.880,0 46.832,0 18.496 64.736 14.267,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 369.536 8 46.192,0 47.200,0 18.208 68.416 15.343,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.496 8 45.312,0 47.168,0 18.496 67.392 14.608,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 364.096 8 45.512,0 46.112,0 19.008 68.864 14.963,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.544 8 46.068,0 46.896,0 18.720 73.792 16.033,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 364.256 8 45.532,0 46.144,0 17.888 70.048 15.696,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 361.760 8 45.220,0 46.032,0 17.952 69.280 15.278,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 356.512 8 44.564,0 46.512,0 18.848 62.336 13.616,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.072 8 45.384,0 46.656,0 17.952 69.696 15.551,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 369.856 8 46.232,0 47.776,0 17.472 70.528 15.779,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 360.832 8 45.104,0 46.784,0 18.432 67.264 14.752,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 269.120 8 33.640,0 33.264,0 12.960 56.672 13.188,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.576 8 46.072,0 46.864,0 18.752 71.424 15.553,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.496 8 46.312,0 46.080,0 18.464 75.040 16.653,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 358.144 8 44.768,0 46.336,0 18.432 66.272 14.495,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 369.216 8 46.152,0 47.792,0 17.984 71.936 16.066,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 359.552 8 44.944,0 46.144,0 17.952 66.560 14.716,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 361.344 8 45.168,0 46.896,0 17.792 68.032 14.989,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 372.000 8 46.500,0 48.384,0 17.760 70.528 15.869,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 373.824 8 46.728,0 46.912,0 18.400 78.112 17.149,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 358.304 8 44.788,0 46.544,0 18.208 66.848 14.470,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.224 8 45.528,0 47.008,0 18.784 69.952 15.206,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 371.040 8 46.380,0 47.008,0 18.816 74.432 16.193,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.224 8 45.028,0 46.896,0 18.752 65.792 14.231,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.000 8 45.500,0 46.064,0 18.272 72.576 16.024,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.304 8 45.288,0 47.360,0 18.880 66.976 14.602,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 361.248 8 45.156,0 46.800,0 17.824 67.712 15.013,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 364.384 8 45.548,0 46.736,0 18.208 68.416 15.021,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.976 8 45.872,0 45.904,0 17.792 76.800 16.969,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 372.384 8 46.548,0 48.176,0 17.472 69.184 16.036,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.976 8 46.372,0 46.576,0 17.952 76.352 17.026,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.416 8 46.052,0 47.440,0 19.072 67.296 14.689,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 372.480 8 46.560,0 46.320,0 19.744 74.944 16.390,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.616 8 45.452,0 46.320,0 17.440 68.256 15.378,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.416 8 45.552,0 46.784,0 17.472 70.176 15.488,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.528 8 45.316,0 46.672,0 17.184 68.480 15.307,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.904 8 45.488,0 46.544,0 17.952 68.032 15.277,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 360.096 8 45.012,0 47.216,0 18.272 63.872 14.099,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 262.080 8 32.760,0 33.504,0 12.640 53.088 12.014,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 357.888 8 44.736,0 46.000,0 17.216 68.288 15.226,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 261.760 8 32.720,0 32.784,0 11.648 55.136 12.893,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 358.880 8 44.860,0 46.848,0 17.984 63.520 14.065,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.848 8 45.856,0 46.720,0 18.080 70.720 15.650,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 366.016 8 45.752,0 46.288,0 18.144 71.968 15.943,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.424 8 45.428,0 45.600,0 17.792 70.816 15.686,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 262.592 8 32.824,0 33.488,0 12.160 53.056 12.335,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.192 8 45.524,0 46.768,0 18.272 67.904 15.033,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.016 8 45.752,0 46.528,0 17.920 66.464 14.959,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 364.640 8 45.580,0 47.152,0 18.016 70.432 15.678,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 364.992 8 45.624,0 46.864,0 18.592 66.400 14.524,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 367.264 8 45.908,0 46.352,0 18.752 70.880 15.665,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 361.024 8 45.128,0 46.048,0 18.080 67.392 14.955,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 361.344 8 45.168,0 46.784,0 18.592 67.360 14.795,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.400 8 45.300,0 46.592,0 18.720 64.000 14.253,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 367.776 8 45.972,0 46.720,0 17.920 71.200 16.012,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.720 8 45.840,0 46.464,0 18.208 74.016 16.289,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 265.184 8 33.148,0 33.008,0 12.032 58.304 13.612,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.808 8 45.476,0 46.112,0 18.368 72.256 15.917,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.840 8 44.980,0 45.616,0 19.040 66.560 14.542,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.936 8 45.492,0 47.408,0 17.760 66.816 15.102,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.160 8 45.020,0 46.256,0 18.464 64.064 14.105,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.280 8 45.660,0 45.952,0 19.296 71.552 15.491,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 367.584 8 45.948,0 47.216,0 18.208 71.072 15.679,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 258.368 8 32.296,0 32.480,0 12.480 53.248 12.033,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.992 8 46.124,0 47.056,0 17.344 73.280 16.519,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 371.008 8 46.376,0 46.960,0 18.240 74.016 16.496,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 372.416 8 46.552,0 46.848,0 19.552 72.544 15.949,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.752 8 45.844,0 47.216,0 18.816 69.152 15.181,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.136 8 44.892,0 45.408,0 18.240 65.664 14.604,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.688 8 45.336,0 46.832,0 18.272 70.560 15.422,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.848 8 46.356,0 47.184,0 18.624 72.864 16.060,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 375.936 8 46.992,0 47.104,0 18.560 73.376 16.533,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.904 8 45.488,0 46.624,0 17.408 70.528 15.624,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 368.864 8 46.108,0 46.192,0 18.752 72.992 16.053,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.544 8 46.068,0 46.272,0 18.976 71.104 15.555,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 362.208 8 45.276,0 46.192,0 17.344 70.144 15.454,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 367.040 8 45.880,0 46.688,0 17.984 72.000 15.788,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 358.272 8 44.784,0 46.016,0 17.344 66.880 14.856,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 358.496 8 44.812,0 46.128,0 17.184 67.168 14.893,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 370.048 8 46.256,0 47.008,0 19.328 69.536 15.234,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.280 8 45.660,0 46.224,0 18.944 69.056 15.178,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.888 8 45.736,0 47.680,0 17.312 70.560 15.956,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 358.912 8 44.864,0 45.808,0 17.920 68.288 14.956,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.224 8 45.028,0 46.576,0 18.432 66.560 14.536,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.512 8 45.564,0 46.416,0 18.560 68.512 15.096,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 375.072 8 46.884,0 47.648,0 19.456 74.240 16.231,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.768 8 46.096,0 47.184,0 17.568 71.808 16.047,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 356.928 8 44.616,0 46.080,0 17.568 63.968 14.266,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.320 8 46.040,0 46.528,0 18.304 74.560 16.432,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.568 8 45.696,0 47.392,0 18.784 67.040 14.628,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 369.344 8 46.168,0 47.328,0 18.048 71.424 15.890,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 263.840 8 32.980,0 32.720,0 12.128 56.160 13.027,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.704 8 45.088,0 46.448,0 17.920 67.808 15.005,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 363.136 8 45.392,0 47.264,0 18.624 64.864 14.281,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.832 8 45.604,0 46.288,0 17.888 71.488 15.885,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.808 8 45.476,0 47.040,0 17.984 67.840 15.104,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.528 8 46.316,0 47.200,0 18.368 73.088 16.031,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 373.440 8 46.680,0 46.880,0 18.912 73.376 16.344,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.576 8 45.572,0 46.944,0 18.432 69.504 15.249,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.808 8 44.976,0 46.272,0 18.528 66.560 14.575,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 361.152 8 45.144,0 46.256,0 17.280 65.568 14.911,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
