1,0 85.728 8 10.716,0 10.352,0 10.240 13.088 968,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.680 8 10.960,0 10.448,0 10.272 14.720 1.523,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.928 8 10.616,0 10.304,0 9.824 13.216 1.066,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.688 8 10.836,0 10.736,0 9.312 13.312 1.120,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.456 8 10.932,0 10.576,0 10.464 13.344 979,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.400 8 10.800,0 10.448,0 9.632 13.376 1.104,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.736 8 11.092,0 10.608,0 10.400 14.816 1.510,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.432 8 10.804,0 10.448,0 10.272 13.280 1.014,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.648 8 10.956,0 10.400,0 10.240 14.624 1.500,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.112 8 10.764,0 10.528,0 9.248 13.568 1.224,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.248 8 10.656,0 10.320,0 9.920 13.184 1.035,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.048 8 10.756,0 10.432,0 9.536 13.568 1.229,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.232 8 10.904,0 10.592,0 10.400 13.376 1.002,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.912 8 10.864,0 10.336,0 10.208 14.720 1.559,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.312 8 10.664,0 10.432,0 9.152 13.248 1.146,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.928 8 10.616,0 10.560,0 9.120 13.472 1.316,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.608 8 11.076,0 10.592,0 10.400 14.624 1.440,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.648 8 10.956,0 10.576,0 10.496 13.664 1.096,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.784 8 10.848,0 10.544,0 10.048 13.280 1.007,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.952 8 10.744,0 10.560,0 9.344 13.472 1.190,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.384 8 11.048,0 10.544,0 10.240 14.784 1.515,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 89.120 8 11.140,0 10.688,0 10.400 14.656 1.434,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.072 8 10.884,0 10.688,0 9.152 13.696 1.263,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.736 8 11.092,0 10.576,0 10.464 14.784 1.495,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.528 8 10.816,0 10.592,0 9.280 13.376 1.147,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 89.760 8 11.220,0 10.704,0 10.464 14.944 1.520,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.408 8 10.676,0 10.400,0 9.280 13.504 1.223,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.208 8 10.776,0 10.720,0 9.056 13.472 1.350,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.112 8 10.764,0 10.496,0 9.184 14.720 1.705,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.528 8 10.816,0 10.464,0 10.048 13.376 1.055,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 54.720 8 6.840,0 6.656,0 6.400 8.480 681,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.008 8 10.876,0 10.480,0 9.184 14.784 1.649,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.224 8 11.028,0 10.464,0 10.432 14.688 1.481,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.208 8 10.776,0 10.640,0 9.184 13.344 1.158,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.936 8 10.992,0 10.480,0 10.080 14.688 1.504,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.032 8 11.004,0 10.480,0 10.304 14.656 1.487,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.816 8 10.852,0 10.672,0 9.152 13.568 1.228,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.240 8 10.780,0 10.384,0 9.344 14.528 1.561,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.800 8 11.100,0 10.608,0 10.304 14.720 1.479,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 86.912 8 10.864,0 10.512,0 10.336 13.568 1.098,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.064 8 11.008,0 10.464,0 10.368 14.624 1.466,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.864 8 10.608,0 10.432,0 9.184 13.152 1.121,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.000 8 11.000,0 10.736,0 10.016 13.600 1.083,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.720 8 10.840,0 10.480,0 10.368 13.376 1.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.960 8 11.120,0 10.624,0 10.432 14.912 1.537,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.040 8 10.880,0 10.688,0 9.216 13.568 1.211,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.848 8 10.856,0 10.464,0 10.400 13.376 1.021,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.504 8 10.688,0 10.640,0 9.312 13.376 1.233,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 87.680 8 10.960,0 10.512,0 9.888 14.688 1.524,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.040 8 10.880,0 10.592,0 9.984 13.568 1.107,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.840 8 10.980,0 10.928,0 9.216 13.440 1.158,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.008 8 10.876,0 10.480,0 9.248 14.656 1.592,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.680 8 10.960,0 10.624,0 9.536 13.376 1.149,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.752 8 10.844,0 10.496,0 10.304 13.440 1.057,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 89.792 8 11.224,0 10.752,0 10.496 14.752 1.432,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.984 8 10.748,0 10.432,0 9.600 13.408 1.127,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.776 8 10.972,0 10.624,0 10.368 13.568 1.068,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 57.920 8 7.240,0 7.152,0 6.528 8.800 732,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.864 8 11.108,0 10.576,0 10.080 14.784 1.508,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 55.392 8 6.924,0 6.704,0 5.216 9.952 1.331,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.040 8 10.880,0 10.480,0 10.368 13.632 1.115,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.256 8 11.032,0 10.848,0 9.376 13.728 1.214,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.776 8 10.972,0 10.704,0 10.208 13.440 1.016,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.560 8 10.820,0 10.656,0 9.216 13.728 1.314,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 52.928 8 6.616,0 6.336,0 5.120 9.472 1.249,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.000 8 10.500,0 10.272,0 9.184 13.024 1.093,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.408 8 10.676,0 10.752,0 9.152 13.632 1.424,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.456 8 10.932,0 10.560,0 10.496 13.408 1.002,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.176 8 10.772,0 10.352,0 10.272 13.216 1.017,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.224 8 11.028,0 10.816,0 9.152 15.264 1.876,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.392 8 10.924,0 10.624,0 10.400 13.376 997,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.008 8 10.876,0 10.432,0 9.344 14.688 1.597,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.336 8 10.792,0 10.640,0 9.280 13.408 1.156,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.584 8 10.948,0 10.704,0 9.952 13.440 1.051,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.528 8 10.816,0 10.432,0 9.120 14.496 1.570,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 53.952 8 6.744,0 6.528,0 6.208 8.608 764,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.952 8 10.744,0 10.432,0 9.504 13.504 1.172,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.680 8 10.960,0 10.784,0 9.408 13.568 1.159,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.600 8 10.700,0 10.432,0 9.472 13.536 1.196,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.872 8 10.984,0 10.672,0 10.528 13.280 931,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.632 8 10.704,0 10.640,0 9.248 13.600 1.303,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.968 8 10.996,0 10.688,0 9.824 13.536 1.090,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 55.328 8 6.916,0 6.720,0 6.336 8.864 850,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.432 8 10.804,0 10.448,0 10.304 13.312 1.024,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.104 8 10.888,0 10.704,0 9.312 14.752 1.678,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.184 8 10.648,0 10.416,0 9.312 13.248 1.123,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.792 8 10.724,0 10.544,0 9.120 13.408 1.210,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.904 8 10.988,0 10.608,0 9.184 14.848 1.644,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 89.152 8 11.144,0 10.656,0 10.400 14.784 1.479,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.720 8 10.840,0 10.816,0 9.184 13.856 1.383,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.032 8 11.004,0 10.448,0 10.368 14.656 1.481,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.192 8 11.024,0 10.496,0 10.304 14.560 1.442,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.400 8 10.800,0 10.416,0 10.336 13.472 1.082,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.232 8 10.904,0 10.368,0 10.176 13.376 1.139,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.704 8 11.088,0 10.608,0 10.016 14.912 1.562,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.928 8 11.116,0 10.976,0 9.888 13.632 1.087,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.392 8 10.924,0 10.592,0 10.464 13.280 956,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.456 8 10.932,0 10.528,0 9.760 14.624 1.515,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.288 8 11.036,0 10.544,0 10.336 14.656 1.466,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.744 8 10.968,0 10.432,0 10.368 14.560 1.453,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.928 8 11.116,0 10.688,0 10.144 14.624 1.447,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.560 8 10.820,0 10.480,0 10.368 13.248 983,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.432 8 10.804,0 10.480,0 10.368 13.280 1.003,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.912 8 10.864,0 10.560,0 10.336 13.184 948,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.232 8 10.904,0 10.560,0 10.400 13.440 1.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.008 8 10.876,0 10.544,0 10.304 13.376 1.015,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.344 8 10.668,0 10.304,0 9.216 12.992 1.155,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.816 8 10.852,0 10.576,0 9.984 13.216 987,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.824 8 10.728,0 10.432,0 9.472 13.664 1.235,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.168 8 10.896,0 10.752,0 9.312 13.600 1.204,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 55.648 8 6.956,0 6.432,0 5.984 10.720 1.546,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.040 8 10.880,0 10.912,0 9.344 13.504 1.270,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.400 8 10.800,0 10.464,0 10.304 13.280 1.005,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.016 8 10.752,0 10.384,0 10.240 13.184 992,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.680 8 10.960,0 10.832,0 9.280 13.440 1.142,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.072 8 10.884,0 10.544,0 10.368 13.280 977,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.264 8 10.908,0 10.432,0 10.048 14.656 1.520,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.480 8 10.560,0 10.272,0 9.376 13.792 1.450,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.728 8 10.716,0 10.464,0 9.344 13.536 1.208,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.048 8 10.756,0 10.432,0 10.272 13.248 1.009,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.592 8 10.824,0 10.448,0 10.368 13.216 973,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.576 8 11.072,0 10.432,0 10.336 14.784 1.528,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.768 8 11.096,0 10.512,0 10.432 14.720 1.472,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.208 8 10.776,0 10.384,0 9.088 14.688 1.647,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.752 8 10.844,0 10.528,0 10.368 13.248 975,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.328 8 10.916,0 10.528,0 9.248 14.592 1.562,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.952 8 10.744,0 10.400,0 10.240 13.088 960,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.216 8 10.652,0 10.336,0 9.440 13.440 1.181,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.448 8 11.056,0 10.528,0 10.432 14.784 1.509,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.320 8 11.040,0 10.496,0 10.368 14.688 1.480,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.568 8 10.696,0 10.416,0 9.440 13.376 1.147,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.664 8 10.708,0 10.608,0 9.408 13.664 1.310,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.520 8 10.940,0 10.656,0 9.824 13.440 1.064,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.296 8 10.912,0 10.448,0 9.888 14.592 1.502,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.496 8 10.812,0 10.736,0 9.216 13.760 1.385,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.016 8 10.752,0 10.544,0 9.920 13.440 1.120,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.792 8 10.724,0 10.544,0 9.312 13.664 1.275,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.864 8 10.608,0 10.368,0 9.248 13.088 1.087,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.424 8 10.928,0 10.512,0 9.184 15.040 1.732,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.224 8 11.028,0 10.480,0 10.336 14.752 1.509,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.712 8 10.964,0 10.608,0 10.464 13.536 1.042,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 54.720 8 6.840,0 6.576,0 5.152 9.920 1.353,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.608 8 11.076,0 10.576,0 10.336 14.720 1.486,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.616 8 10.952,0 10.432,0 10.368 14.624 1.484,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.600 8 10.700,0 10.464,0 9.696 13.152 1.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.448 8 11.056,0 10.512,0 10.336 14.656 1.468,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.968 8 10.996,0 10.432,0 10.304 14.720 1.513,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.096 8 11.012,0 10.480,0 10.336 14.624 1.464,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.104 8 10.888,0 10.496,0 10.336 13.600 1.106,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 89.248 8 11.156,0 10.688,0 10.080 14.944 1.547,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.648 8 10.956,0 10.592,0 10.528 13.440 1.006,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.136 8 10.892,0 10.688,0 9.440 13.536 1.159,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.768 8 10.596,0 10.448,0 9.248 13.504 1.283,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 54.688 8 6.836,0 6.480,0 6.176 9.664 1.152,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 89.216 8 11.152,0 10.608,0 10.432 15.072 1.588,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.008 8 10.876,0 10.576,0 10.336 13.280 985,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.688 8 10.836,0 10.560,0 10.336 13.120 928,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.096 8 11.012,0 10.752,0 9.568 13.696 1.190,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.360 8 10.920,0 10.736,0 9.248 13.824 1.286,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.088 8 10.636,0 10.640,0 9.184 13.344 1.276,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.744 8 10.968,0 10.432,0 10.176 14.656 1.498,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.576 8 11.072,0 10.560,0 10.336 14.976 1.580,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.064 8 11.008,0 10.688,0 9.952 13.600 1.092,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.856 8 10.732,0 10.480,0 9.376 13.344 1.132,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
