6,0 21.484.768 12 1.790.397,0 570.672,0 209.472 8.928.096 2.605.018,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.486.624 12 1.790.552,0 571.408,0 210.304 8.943.488 2.606.298,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.455.136 12 1.787.928,0 568.768,0 208.352 8.931.392 2.604.781,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.460.000 12 1.788.333,0 580.512,0 211.104 8.937.696 2.602.934,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.494.848 12 1.791.237,0 570.624,0 212.256 8.927.232 2.604.618,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.439.616 12 1.786.634,0 563.792,0 210.624 8.945.216 2.608.235,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 15.824.128 12 1.318.677,0 403.536,0 155.456 6.704.992 1.955.607,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.531.232 12 1.794.269,0 562.752,0 208.704 8.937.632 2.610.024,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.476.640 12 1.789.720,0 577.296,0 214.368 8.937.568 2.604.231,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.467.072 12 1.788.922,0 573.744,0 212.160 8.937.856 2.604.297,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.484.736 12 1.790.394,0 586.240,0 212.224 8.937.664 2.604.773,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.437.408 12 1.786.450,0 569.328,0 212.480 8.942.272 2.605.776,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.460.352 12 1.788.362,0 565.632,0 212.416 8.946.848 2.607.704,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.445.248 12 1.787.104,0 565.264,0 212.256 8.936.928 2.607.105,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.491.392 12 1.790.949,0 571.056,0 208.576 8.938.976 2.607.582,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.441.856 12 1.786.821,0 567.600,0 212.096 8.941.504 2.607.386,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.527.712 12 1.793.976,0 580.112,0 212.096 8.930.656 2.605.257,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.438.880 12 1.786.573,0 566.000,0 210.784 8.937.152 2.606.403,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.433.056 12 1.786.088,0 567.568,0 212.288 8.933.856 2.605.411,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
