1,0 3.277.248 12 273.104,0 303.136,0 194.272 346.656 66.153,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.992 12 272.749,0 301.184,0 194.976 345.664 66.177,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.288 12 272.357,0 302.320,0 194.464 344.032 66.050,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.261.248 12 271.770,0 294.640,0 194.016 344.000 64.191,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.280.928 12 273.410,0 306.656,0 195.104 342.848 65.720,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.384 12 272.032,0 301.232,0 194.336 343.680 65.595,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 2.358.432 12 196.536,0 215.232,0 146.080 243.872 42.597,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.784 12 272.232,0 302.368,0 194.880 342.432 65.342,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.316.960 12 276.413,0 305.872,0 194.336 346.368 64.926,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.282.688 12 273.557,0 303.968,0 194.944 341.504 63.341,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.288.576 12 274.048,0 304.688,0 194.976 342.560 64.434,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.752 12 272.229,0 302.000,0 194.688 343.872 65.492,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.259.648 12 271.637,0 301.088,0 194.976 342.176 64.894,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.267.200 12 272.266,0 302.560,0 194.560 343.072 65.478,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.262.048 12 271.837,0 302.736,0 194.304 341.472 65.284,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.276.416 12 273.034,0 304.016,0 193.824 344.992 65.990,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.299.008 12 274.917,0 303.120,0 194.976 343.776 63.756,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.281.056 12 273.421,0 304.784,0 194.624 342.656 65.049,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.260.480 12 271.706,0 300.816,0 194.688 342.400 65.161,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.282.688 12 273.557,0 306.144,0 194.336 342.240 64.662,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 2.356.928 12 196.410,0 215.840,0 145.536 242.368 42.444,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 2.355.968 12 196.330,0 214.832,0 145.568 242.912 42.650,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.316.128 12 276.344,0 307.536,0 194.240 346.432 64.841,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.281.920 12 273.493,0 302.528,0 194.432 344.320 64.942,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.056 12 272.088,0 301.680,0 194.272 343.840 65.590,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.768 12 272.730,0 303.424,0 194.176 344.864 66.030,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.252.608 12 271.050,0 292.560,0 195.136 342.208 63.767,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.271.104 12 272.592,0 302.352,0 194.336 345.152 65.981,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.256.480 12 271.373,0 298.784,0 194.848 343.296 65.365,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.258.624 12 271.552,0 301.456,0 194.560 342.144 64.907,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.261.216 12 271.768,0 300.496,0 194.240 344.320 65.602,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.299.392 12 274.949,0 307.488,0 194.496 343.296 65.202,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.286.240 12 273.853,0 305.552,0 194.496 343.072 64.297,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.273.600 12 272.800,0 304.128,0 194.080 344.544 65.451,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.261.376 12 271.781,0 302.352,0 194.528 342.240 65.348,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.256.288 12 271.357,0 297.376,0 194.720 342.784 64.321,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.261.216 12 271.768,0 300.656,0 194.624 342.912 64.892,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.276.864 12 273.072,0 303.664,0 194.656 341.792 64.507,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.800 12 272.066,0 300.928,0 194.816 342.976 65.343,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
