0,0 192.704 8 24.088,0 25.200,0 13.696 30.080 5.409,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 205.280 8 25.660,0 26.768,0 16.864 30.016 3.997,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 116.320 8 14.540,0 15.520,0 7.264 18.176 3.431,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 97.376 8 12.172,0 12.656,0 6.432 15.456 2.768,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 141.280 8 17.660,0 18.896,0 8.448 22.080 4.321,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.192 8 24.024,0 25.440,0 12.256 30.368 5.755,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.496 8 24.312,0 25.344,0 12.864 30.240 5.702,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.272 8 23.784,0 25.376,0 11.968 29.344 5.614,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.368 8 23.796,0 25.040,0 11.680 29.504 5.818,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.536 8 23.692,0 25.168,0 12.032 29.856 5.664,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 188.736 8 23.592,0 24.784,0 11.776 29.088 5.593,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.368 8 23.796,0 25.088,0 11.744 29.088 5.756,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 133.600 8 16.700,0 17.120,0 8.864 21.088 3.860,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.504 8 23.688,0 25.008,0 12.192 29.920 5.650,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.832 8 24.104,0 25.904,0 12.064 29.696 5.729,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.632 8 24.204,0 25.952,0 12.416 29.440 5.583,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.128 8 24.016,0 25.424,0 11.776 29.472 5.706,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 195.136 8 24.392,0 25.792,0 11.616 30.240 5.883,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.344 8 24.168,0 25.184,0 12.960 30.272 5.403,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 104.960 8 13.120,0 13.712,0 7.104 16.032 2.743,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.008 8 23.876,0 25.568,0 11.232 29.888 6.027,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.840 8 23.980,0 25.632,0 12.704 29.440 5.363,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.808 8 23.976,0 25.440,0 11.424 29.696 6.000,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.336 8 24.292,0 25.472,0 12.512 30.528 5.842,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.728 8 23.716,0 25.504,0 11.232 29.408 5.819,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.392 8 23.924,0 25.312,0 13.088 30.432 5.477,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.536 8 24.192,0 25.968,0 12.160 30.016 5.764,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.320 8 24.040,0 25.760,0 12.512 29.376 5.357,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 188.672 8 23.584,0 25.152,0 11.776 30.304 5.831,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.760 8 23.720,0 25.184,0 11.744 29.472 5.843,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.784 8 23.848,0 24.832,0 13.664 29.472 5.140,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.096 8 24.012,0 25.264,0 11.872 30.112 5.930,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 195.040 8 24.380,0 26.000,0 11.936 31.776 6.062,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.512 8 24.064,0 25.072,0 12.320 31.456 5.863,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.840 8 23.980,0 25.568,0 11.840 29.920 5.742,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.088 8 24.136,0 25.520,0 11.840 30.432 5.961,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.392 8 23.924,0 25.296,0 11.840 29.632 5.758,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.448 8 24.056,0 25.264,0 12.384 30.048 5.682,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.144 8 23.768,0 25.184,0 13.088 28.768 5.083,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.192 8 24.024,0 25.568,0 12.576 29.056 5.581,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.104 8 23.888,0 25.584,0 12.320 28.800 5.496,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
