0,0 72.000 8 9.000,0 8.320,0 8.096 12.032 1.326,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 74.592 8 9.324,0 8.560,0 8.000 12.960 1.741,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 43.360 8 5.420,0 5.200,0 4.960 6.720 582,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 37.120 8 4.640,0 4.496,0 3.968 5.824 622,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 56.288 8 7.036,0 6.928,0 6.208 8.128 548,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.680 8 8.960,0 8.816,0 7.872 11.072 1.076,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.888 8 8.736,0 8.384,0 7.840 11.136 1.099,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.264 8 8.908,0 8.352,0 7.872 11.040 1.069,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.528 8 8.816,0 8.400,0 7.936 11.200 1.108,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.088 8 9.136,0 8.880,0 8.000 11.072 1.041,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.696 8 8.712,0 8.368,0 7.872 11.072 1.082,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 68.832 8 8.604,0 8.272,0 8.000 11.136 1.032,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 57.120 8 7.140,0 7.072,0 6.272 8.864 879,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.584 8 8.948,0 8.448,0 7.840 11.008 1.056,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.536 8 8.692,0 8.288,0 7.904 10.944 996,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.152 8 9.144,0 9.136,0 8.192 11.040 932,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.272 8 8.784,0 8.320,0 7.872 11.296 1.167,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.392 8 8.924,0 8.560,0 8.096 11.072 1.015,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
