21,0 16.404.224 12 1.367.018,0 486.448,0 214.848 6.725.376 1.943.560,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.387.040 12 1.865.586,0 688.384,0 295.104 8.979.520 2.592.551,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.396.896 12 1.866.408,0 679.552,0 304.544 8.971.552 2.595.266,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.357.536 12 1.863.128,0 685.920,0 305.568 8.969.184 2.589.081,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.431.072 12 1.869.256,0 691.696,0 305.984 8.987.712 2.592.441,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.347.424 12 1.862.285,0 683.904,0 305.472 8.970.016 2.588.065,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.439.200 12 1.869.933,0 688.208,0 304.544 8.980.960 2.591.607,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.376.128 12 1.864.677,0 688.944,0 303.904 8.978.496 2.589.864,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.399.712 12 1.866.642,0 689.104,0 304.416 8.972.864 2.590.900,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.422.560 12 1.868.546,0 688.016,0 304.928 8.982.080 2.593.327,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.308.960 12 1.859.080,0 683.392,0 306.304 8.976.800 2.589.210,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.415.360 12 1.867.946,0 682.640,0 305.248 8.974.752 2.592.466,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.464.672 12 1.872.056,0 692.880,0 304.224 8.980.640 2.595.390,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.382.528 12 1.865.210,0 685.776,0 308.096 8.977.440 2.589.552,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.426.816 12 1.868.901,0 687.744,0 306.144 8.982.368 2.593.869,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.375.872 12 1.864.656,0 687.728,0 310.656 8.988.416 2.592.178,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.396.288 12 1.866.357,0 686.656,0 306.688 8.977.952 2.591.192,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.376.064 12 1.864.672,0 688.496,0 306.176 8.987.840 2.592.086,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.589.216 12 1.882.434,0 688.704,0 318.912 8.993.376 2.595.673,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.391.680 12 1.865.973,0 685.712,0 305.856 8.979.360 2.591.183,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
19,0 16.382.528 12 1.365.210,0 481.744,0 214.176 6.725.984 1.944.663,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.415.904 12 1.867.992,0 689.952,0 305.088 8.988.480 2.593.210,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.413.088 12 1.867.757,0 682.384,0 304.352 8.982.752 2.593.968,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.486.400 12 1.873.866,0 681.584,0 305.888 8.994.400 2.598.787,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.388.352 12 1.865.696,0 683.104,0 306.112 8.961.120 2.586.704,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.370.848 12 1.864.237,0 686.016,0 305.952 8.974.112 2.590.680,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.395.808 12 1.866.317,0 685.904,0 305.184 8.975.520 2.592.271,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.424.896 12 1.868.741,0 688.528,0 306.624 8.972.672 2.592.338,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.444.512 12 1.870.376,0 689.952,0 304.160 8.986.144 2.595.641,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.380.256 12 1.865.021,0 687.232,0 304.928 8.981.312 2.591.835,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.403.392 12 1.866.949,0 684.592,0 307.520 8.977.024 2.591.973,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.398.368 12 1.866.530,0 692.144,0 304.992 8.977.856 2.590.153,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.379.808 12 1.864.984,0 683.888,0 306.528 8.977.888 2.593.627,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.408.992 12 1.867.416,0 687.936,0 306.848 8.972.544 2.590.628,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.436.576 12 1.869.714,0 687.328,0 304.800 8.976.448 2.591.146,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 24.123.968 12 2.010.330,0 683.776,0 306.368 10.714.208 3.033.954,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.435.840 12 1.869.653,0 684.832,0 304.832 8.967.776 2.591.404,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.448.192 12 1.870.682,0 685.712,0 303.392 8.981.408 2.595.679,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.335.040 12 1.861.253,0 684.016,0 305.536 8.983.712 2.591.189,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.374.176 12 1.864.514,0 685.904,0 305.824 8.969.440 2.589.961,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.454.080 12 1.871.173,0 687.824,0 307.136 8.970.592 2.591.223,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.364.320 12 1.863.693,0 688.480,0 307.808 8.966.688 2.586.747,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.340.192 12 1.861.682,0 684.464,0 304.960 8.979.584 2.589.934,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.482.432 12 1.873.536,0 691.616,0 306.368 8.975.264 2.591.599,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.427.808 12 1.868.984,0 684.928,0 304.928 8.977.536 2.593.993,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.336.800 12 1.861.400,0 684.800,0 306.240 8.964.864 2.587.299,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.479.328 12 1.873.277,0 686.144,0 306.080 8.998.880 2.597.203,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.373.408 12 1.864.450,0 685.888,0 305.568 8.983.520 2.591.563,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.331.232 12 1.860.936,0 686.848,0 306.400 8.972.672 2.588.933,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.410.720 12 1.867.560,0 687.696,0 306.432 8.980.992 2.593.226,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.424.032 12 1.868.669,0 689.616,0 307.648 8.990.176 2.596.078,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.356.672 12 1.863.056,0 684.144,0 304.448 8.979.392 2.591.699,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.377.856 12 1.864.821,0 687.408,0 306.368 8.975.872 2.590.251,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.369.504 12 1.864.125,0 686.144,0 306.432 8.986.816 2.592.832,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.371.232 12 1.864.269,0 689.504,0 307.776 8.972.704 2.588.631,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.363.904 12 1.863.658,0 680.304,0 305.600 8.980.352 2.592.610,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.346.560 12 1.862.213,0 682.592,0 305.312 8.961.504 2.588.204,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.354.368 12 1.862.864,0 682.304,0 307.040 8.979.424 2.590.533,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.465.536 12 1.872.128,0 686.800,0 307.072 8.984.672 2.598.306,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.395.456 12 1.866.288,0 685.920,0 303.808 8.975.008 2.592.403,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.398.112 12 1.866.509,0 690.256,0 306.240 8.975.136 2.590.177,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.404.384 12 1.867.032,0 685.776,0 304.736 8.984.000 2.594.025,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.382.272 12 1.865.189,0 687.824,0 314.528 8.979.424 2.586.864,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.382.656 12 1.865.221,0 687.328,0 304.224 8.973.696 2.593.184,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.345.632 12 1.862.136,0 691.456,0 305.280 8.972.544 2.587.145,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.358.720 12 1.863.226,0 685.968,0 306.944 8.991.680 2.592.658,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.406.080 12 1.867.173,0 687.776,0 305.152 8.961.120 2.588.557,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.368.736 12 1.864.061,0 681.536,0 304.704 8.975.360 2.592.013,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.380.896 12 1.865.074,0 687.760,0 292.640 8.966.816 2.592.262,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.372.960 12 1.864.413,0 682.544,0 305.024 8.967.520 2.589.411,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.383.328 12 1.865.277,0 690.720,0 305.472 8.976.544 2.591.175,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.364.864 12 1.863.738,0 686.096,0 307.200 8.973.312 2.589.574,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.279.904 12 1.856.658,0 689.472,0 291.680 8.978.208 2.592.302,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.395.776 12 1.866.314,0 685.264,0 303.808 8.954.784 2.588.091,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.396.320 12 1.866.360,0 678.848,0 305.504 8.980.128 2.592.334,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.322.464 12 1.860.205,0 690.224,0 305.696 8.976.960 2.588.154,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.433.888 12 1.869.490,0 692.416,0 305.664 8.963.456 2.587.500,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.369.408 12 1.864.117,0 685.856,0 304.512 8.968.000 2.587.309,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.411.616 12 1.867.634,0 684.256,0 305.120 8.990.720 2.594.301,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.424.480 12 1.868.706,0 684.432,0 306.272 8.983.104 2.593.843,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.375.008 12 1.864.584,0 688.240,0 305.920 8.990.304 2.594.445,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.359.296 12 1.863.274,0 680.624,0 305.920 8.968.736 2.588.756,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.432.192 12 1.869.349,0 690.592,0 307.104 8.973.376 2.592.694,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.380.832 12 1.865.069,0 687.264,0 303.584 8.969.504 2.590.354,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.403.392 12 1.866.949,0 687.696,0 304.480 8.984.160 2.593.205,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.421.216 12 1.868.434,0 687.152,0 307.520 8.981.376 2.592.751,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.407.520 12 1.867.293,0 685.936,0 305.664 8.962.272 2.588.601,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.383.200 12 1.865.266,0 684.272,0 305.280 8.989.920 2.596.276,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.353.088 12 1.862.757,0 680.352,0 304.480 8.983.072 2.593.277,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.410.144 12 1.867.512,0 690.672,0 306.080 8.988.128 2.593.738,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.267.744 12 1.855.645,0 685.744,0 293.536 8.977.792 2.593.052,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.399.200 12 1.866.600,0 681.968,0 305.728 8.976.288 2.591.488,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.390.176 12 1.865.848,0 685.856,0 306.848 8.964.864 2.587.868,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.356.032 12 1.863.002,0 682.032,0 304.640 8.973.376 2.591.317,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.384.544 12 1.865.378,0 685.696,0 305.856 8.970.528 2.589.771,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.331.488 12 1.860.957,0 683.296,0 306.016 8.974.592 2.589.449,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.402.784 12 1.866.898,0 685.264,0 304.128 8.995.584 2.597.207,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.365.568 12 1.863.797,0 685.472,0 306.112 8.971.552 2.589.279,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.358.784 12 1.863.232,0 686.544,0 305.184 8.976.832 2.589.265,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.443.648 12 1.870.304,0 686.256,0 305.216 8.973.888 2.591.483,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.413.792 12 1.867.816,0 680.320,0 305.760 8.981.216 2.595.763,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.368.320 12 1.864.026,0 685.248,0 292.512 8.972.448 2.590.645,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.363.328 12 1.863.610,0 687.440,0 305.152 8.981.152 2.590.988,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.388.192 12 1.865.682,0 685.120,0 305.984 9.005.632 2.596.369,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.208.928 12 1.850.744,0 683.840,0 292.896 8.972.128 2.588.326,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.409.408 12 1.867.450,0 689.904,0 304.992 8.978.944 2.591.835,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.341.216 12 1.861.768,0 684.416,0 306.144 8.981.984 2.590.805,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.434.432 12 1.869.536,0 689.584,0 305.280 8.971.904 2.592.422,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.341.088 12 1.861.757,0 685.968,0 293.344 8.978.464 2.592.616,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.387.136 12 1.865.594,0 685.584,0 306.624 8.966.176 2.589.976,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.436.000 12 1.869.666,0 687.872,0 307.072 8.971.808 2.590.699,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.354.112 12 1.862.842,0 690.000,0 305.280 8.980.640 2.589.739,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.429.472 12 1.869.122,0 691.872,0 304.448 8.978.976 2.591.824,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.404.224 12 1.867.018,0 685.440,0 304.608 8.985.504 2.594.281,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.369.376 12 1.864.114,0 684.944,0 306.176 8.977.504 2.591.622,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.404.320 12 1.867.026,0 682.800,0 304.864 8.982.688 2.594.899,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.370.144 12 1.864.178,0 685.296,0 306.112 8.977.984 2.591.707,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.368.448 12 1.864.037,0 683.280,0 305.248 8.972.320 2.590.358,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.464.544 12 1.872.045,0 691.664,0 305.536 8.982.944 2.592.253,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.412.512 12 1.867.709,0 688.928,0 305.632 8.981.536 2.592.330,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.490.176 12 1.874.181,0 691.872,0 305.792 8.969.600 2.593.558,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.329.600 12 1.860.800,0 684.176,0 305.312 8.970.848 2.588.277,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.443.872 12 1.870.322,0 688.864,0 305.376 8.986.816 2.593.277,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.379.424 12 1.864.952,0 694.704,0 304.992 8.976.096 2.588.892,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.357.248 12 1.863.104,0 682.304,0 306.592 8.977.984 2.590.932,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.427.648 12 1.868.970,0 689.760,0 305.472 8.975.168 2.590.597,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.540.096 12 1.878.341,0 696.400,0 306.048 8.986.720 2.596.982,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.392.672 12 1.866.056,0 684.736,0 305.856 8.971.488 2.590.564,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.427.520 12 1.868.960,0 689.552,0 292.736 8.993.504 2.597.025,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.412.064 12 1.867.672,0 688.640,0 305.472 8.982.752 2.592.284,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.490.848 12 1.874.237,0 689.072,0 304.192 8.986.528 2.596.741,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.344.960 12 1.862.080,0 685.440,0 304.928 8.986.816 2.591.218,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.420.288 12 1.868.357,0 686.336,0 306.624 8.980.576 2.592.402,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.466.144 12 1.872.178,0 689.712,0 309.696 8.975.488 2.590.969,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.362.688 12 1.863.557,0 687.472,0 305.088 8.962.272 2.587.437,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.399.424 12 1.866.618,0 687.648,0 306.048 8.972.256 2.589.733,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.352.672 12 1.862.722,0 689.296,0 306.848 8.977.856 2.589.779,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.396.960 12 1.866.413,0 684.864,0 305.920 8.988.448 2.592.617,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.381.824 12 1.865.152,0 685.728,0 306.272 8.974.464 2.591.360,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.416.288 12 1.868.024,0 687.024,0 303.872 8.976.544 2.592.916,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.385.376 12 1.865.448,0 687.440,0 305.792 8.980.224 2.591.908,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.371.904 12 1.864.325,0 690.592,0 304.864 8.973.440 2.588.694,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.392.160 12 1.866.013,0 691.184,0 306.176 8.987.584 2.593.307,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.270.656 12 1.855.888,0 686.080,0 292.256 8.969.152 2.590.948,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 22.428.320 12 1.869.026,0 690.320,0 305.536 8.976.960 2.590.475,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.367.072 12 1.863.922,0 686.448,0 305.024 8.983.424 2.591.811,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.372.896 12 1.864.408,0 685.504,0 305.504 8.962.784 2.587.893,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 22.443.680 12 1.870.306,0 689.824,0 305.152 8.989.312 2.595.013,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
