3,0 2.699.232 12 224.936,0 220.496,0 211.136 244.064 13.432,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.814.656 12 317.888,0 313.504,0 280.864 347.936 21.399,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.820.768 12 318.397,0 311.840,0 299.712 346.592 18.942,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.821.664 12 318.472,0 311.472,0 300.128 348.352 19.284,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.846.752 12 320.562,0 314.592,0 302.400 348.096 17.687,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.024 12 319.752,0 313.840,0 299.968 350.720 19.788,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.360 12 319.280,0 313.056,0 300.512 347.840 19.506,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.826.560 12 318.880,0 312.944,0 300.032 348.224 18.830,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.768 12 319.064,0 313.120,0 300.672 347.744 18.423,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.296 12 319.608,0 313.568,0 300.320 349.632 19.973,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.847.072 12 320.589,0 314.048,0 302.944 349.440 18.443,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.842.976 12 320.248,0 314.496,0 301.888 348.704 18.373,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.288 12 319.024,0 313.440,0 299.968 348.032 19.484,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.852.544 12 321.045,0 314.352,0 304.736 346.528 16.856,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.160 12 319.013,0 313.072,0 299.968 349.536 19.832,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.875.360 12 322.946,0 316.048,0 308.512 347.648 14.944,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.847.168 12 320.597,0 313.424,0 300.960 349.888 19.430,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.843.104 12 320.258,0 314.208,0 301.376 348.064 18.468,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.910.464 12 325.872,0 318.720,0 313.440 350.624 14.263,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.826.560 12 318.880,0 312.960,0 300.704 346.784 18.896,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 2.699.104 12 224.925,0 220.768,0 210.848 244.928 13.287,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.820.096 12 318.341,0 312.848,0 300.000 347.072 18.736,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.838.144 12 319.845,0 313.280,0 300.864 353.344 19.567,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.512 12 319.376,0 312.128,0 299.232 349.088 20.219,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.024 12 319.752,0 313.920,0 300.576 347.264 18.164,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.841.056 12 320.088,0 313.632,0 300.544 350.016 19.615,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.822.176 12 318.514,0 312.352,0 299.840 348.032 18.715,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.852.160 12 321.013,0 314.656,0 302.656 349.472 17.841,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.829.792 12 319.149,0 312.272,0 299.648 350.464 20.386,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.826.976 12 318.914,0 312.128,0 299.392 348.704 20.218,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.853.504 12 321.125,0 314.864,0 303.776 348.960 17.533,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.826.304 12 318.858,0 313.232,0 300.192 348.256 18.595,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.848.512 12 320.709,0 314.128,0 303.072 347.456 17.661,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.848.000 12 320.666,0 315.296,0 300.928 351.648 19.165,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.288 12 319.024,0 312.736,0 299.104 347.808 20.143,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.854.816 12 321.234,0 314.512,0 301.440 352.128 19.637,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.826.656 12 318.888,0 312.912,0 300.384 347.296 19.256,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.829.376 12 319.114,0 313.216,0 299.936 347.744 19.451,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.840.032 12 320.002,0 313.312,0 301.216 350.016 19.347,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.841.376 12 320.114,0 313.584,0 301.120 349.376 18.491,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.862.336 12 321.861,0 313.296,0 304.416 351.904 18.045,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.858.368 12 321.530,0 315.152,0 304.736 348.704 17.892,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
