6,0 338.400 8 42.300,0 43.568,0 20.608 57.440 12.039,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.888 8 42.236,0 43.680,0 20.448 55.680 11.932,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.520 8 41.940,0 43.440,0 21.472 56.928 11.678,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.200 8 42.400,0 43.472,0 21.632 57.152 11.828,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 341.472 8 42.684,0 43.920,0 22.080 57.600 11.957,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 332.512 8 41.564,0 42.304,0 20.896 56.608 11.595,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.200 8 41.900,0 44.096,0 22.368 53.792 10.896,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 342.784 8 42.848,0 44.144,0 20.608 57.120 12.413,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.224 8 42.528,0 44.672,0 21.760 54.496 11.361,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 333.824 8 41.728,0 43.728,0 21.856 53.792 10.991,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 339.488 8 42.436,0 44.304,0 22.048 54.944 11.348,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.304 8 42.288,0 44.160,0 21.344 56.832 11.743,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 338.240 8 42.280,0 43.904,0 21.600 56.384 11.609,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 333.248 8 41.656,0 43.296,0 21.760 55.456 11.125,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 342.816 8 42.852,0 43.824,0 21.056 58.464 12.694,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.592 8 42.324,0 44.144,0 21.888 55.488 11.559,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.480 8 42.560,0 43.216,0 20.832 58.496 12.221,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.064 8 42.008,0 45.104,0 20.256 54.464 11.826,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 336.800 8 42.100,0 43.792,0 22.048 55.520 11.307,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
2,0 336.480 8 42.060,0 44.912,0 22.144 53.216 10.815,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 341.312 8 42.664,0 44.336,0 21.728 56.896 12.255,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 342.848 8 42.856,0 43.872,0 21.760 57.760 12.303,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 237.472 8 29.684,0 29.856,0 15.552 40.608 8.838,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.328 8 41.916,0 43.424,0 20.320 57.408 12.151,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.608 8 42.576,0 43.616,0 21.056 57.056 12.300,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.168 8 41.896,0 44.000,0 21.344 54.400 11.175,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.240 8 42.280,0 43.648,0 21.504 56.096 11.771,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 334.784 8 41.848,0 42.976,0 21.056 56.928 11.701,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.056 8 42.132,0 42.752,0 21.184 56.352 11.807,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.672 8 41.584,0 42.800,0 21.664 53.792 10.990,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.944 8 42.368,0 43.632,0 20.576 57.248 12.156,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 336.736 8 42.092,0 43.664,0 22.016 54.304 10.979,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.344 8 42.168,0 43.872,0 21.216 54.592 11.624,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 336.704 8 42.088,0 43.392,0 21.056 56.320 11.742,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 334.048 8 41.756,0 43.376,0 20.864 55.360 11.489,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.752 8 42.344,0 43.984,0 21.152 56.896 12.204,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.152 8 42.144,0 43.632,0 22.496 54.048 11.043,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.488 8 41.936,0 42.960,0 20.960 54.848 11.635,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
