1,0 105.312 8 13.164,0 13.008,0 12.064 14.400 925,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.864 8 13.108,0 12.976,0 12.128 14.336 829,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.616 8 12.952,0 12.976,0 11.968 14.048 755,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.432 8 12.804,0 12.032,0 11.776 15.680 1.432,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.688 8 13.336,0 13.024,0 12.064 15.936 1.266,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 107.392 8 13.424,0 13.504,0 11.840 14.880 994,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 97.312 8 12.164,0 12.032,0 11.648 13.504 580,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.464 8 12.808,0 13.008,0 11.488 13.504 677,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.512 8 12.564,0 12.272,0 11.552 14.400 1.012,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.776 8 12.972,0 12.832,0 11.680 14.592 1.063,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.784 8 12.848,0 12.768,0 11.808 13.856 794,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.032 8 12.504,0 12.224,0 11.872 14.176 820,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.040 8 12.880,0 12.288,0 11.840 14.528 1.109,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.976 8 12.872,0 12.608,0 11.776 14.624 947,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.280 8 12.660,0 12.512,0 11.680 13.856 749,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
