8.5 20837632 12 1736469.3 515968.0 201600 8941504 2613583.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20908960 12 1742413.3 534800.0 206560 8950240 2614392.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20889952 12 1740829.3 520976.0 201856 8955232 2617566.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20869568 12 1739130.7 520400.0 199712 8946048 2614242.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20897664 12 1741472.0 521872.0 199712 8946144 2615933.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20844352 12 1737029.3 518864.0 200064 8956192 2620771.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7.4 15912704 12 1326058.7 407424.0 152512 6713120 1961394.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20895968 12 1741330.7 522832.0 200032 8951776 2616837.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7.5 15919936 12 1326661.3 409280.0 152736 6717312 1962470.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.9 20894592 12 1741216.0 525232.0 200736 8954816 2617101.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20856352 12 1738029.3 518960.0 201056 8942048 2614988.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.9 20950688 12 1745890.7 522720.0 200768 8955872 2619367.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20935104 12 1744592.0 522368.0 201600 8955776 2619382.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.0 20884032 12 1740336.0 522864.0 199648 8951328 2616285.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20905696 12 1742141.3 520768.0 200096 8955360 2619270.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20899008 12 1741584.0 520640.0 200736 8939264 2614059.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20870688 12 1739224.0 522976.0 201728 8942976 2616362.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20907744 12 1742312.0 521648.0 199840 8949088 2617350.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.3 20938400 12 1744866.7 526128.0 201088 8957024 2618425.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20933856 12 1744488.0 523744.0 201472 8949024 2616960.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20939648 12 1744970.7 525664.0 200096 8938880 2614025.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.2 20942688 12 1745224.0 519472.0 201056 8959296 2620061.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.1 20952736 12 1746061.3 528096.0 200512 8945728 2615609.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
9.0 20873728 12 1739477.3 522080.0 200160 8948096 2615857.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7.5 15923296 12 1326941.3 408000.0 152480 6712704 1961500.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.9 20878144 12 1739845.3 519328.0 200864 8943296 2614754.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.7 20906176 12 1742181.3 520096.0 200672 8951520 2616940.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
