1.2 3038240 12 253186.7 271776.0 193856 309760 49726.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3055360 12 254613.3 272144.0 193600 309632 48785.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036736 12 253061.3 271824.0 194144 309184 49818.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3034336 12 252861.3 271920.0 193568 309248 49928.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3039104 12 253258.7 271376.0 193696 309344 49850.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3009824 12 250818.7 262896.0 185184 308800 50514.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.1 2363296 12 196941.3 216336.0 145312 245056 43317.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3034848 12 252904.0 272048.0 193728 309024 49584.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.1 2359168 12 196597.3 215520.0 145344 245664 43301.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3035072 12 252922.7 271760.0 193856 309248 49810.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036000 12 253000.0 271792.0 193760 309376 49784.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3039936 12 253328.0 272192.0 193664 309216 49790.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3041472 12 253456.0 272320.0 193696 310336 50047.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036960 12 253080.0 272576.0 193920 309312 49840.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3037696 12 253141.3 271888.0 194080 310016 49823.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3037536 12 253128.0 271856.0 193664 309248 49833.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3035392 12 252949.3 271840.0 193664 309952 49865.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3039040 12 253253.3 272368.0 193408 309664 50210.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036576 12 253048.0 271264.0 193440 309632 50004.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3035072 12 252922.7 271568.0 194016 309600 49762.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3030048 12 252504.0 271216.0 193888 307552 48540.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3038688 12 253224.0 271936.0 194080 308928 49545.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3046784 12 253898.7 272096.0 193344 308832 49097.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3040288 12 253357.3 272032.0 193952 309536 49807.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.1 2359136 12 196594.7 215376.0 145984 244608 43092.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3040608 12 253384.0 272400.0 194272 309312 49724.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3037280 12 253106.7 272688.0 193920 309376 49987.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3056512 12 254709.3 272320.0 193760 308640 48636.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 2944608 12 245384.0 258288.0 145056 309280 55213.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036288 12 253024.0 272192.0 193472 308448 49643.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3035840 12 252986.7 271872.0 193664 309760 49823.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3036096 12 253008.0 272224.0 193152 309600 49954.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3035424 12 252952.0 271568.0 193824 308928 49623.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.3 3034816 12 252901.3 271840.0 193952 309632 49650.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
