0.1 187296 8 23412.0 25264.0 11936 29024 5645.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187744 8 23468.0 25216.0 12224 29024 5502.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186656 8 23332.0 24672.0 11712 30208 5828.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188256 8 23532.0 25360.0 11968 29344 5620.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 96672 8 12084.0 13008.0 5760 14528 2925.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186144 8 23268.0 24656.0 12064 29184 5416.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186752 8 23344.0 25120.0 11328 28832 5717.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186016 8 23252.0 24864.0 11328 29312 5696.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184672 8 23084.0 24464.0 11488 28544 5490.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185088 8 23136.0 24784.0 11296 28832 5595.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188032 8 23504.0 24656.0 11552 29760 5875.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186016 8 23252.0 24832.0 12128 28864 5387.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185568 8 23196.0 24640.0 11808 29120 5586.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186144 8 23268.0 24496.0 11264 28896 5646.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188032 8 23504.0 24960.0 11936 29472 5571.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187776 8 23472.0 25200.0 11296 29216 5823.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188608 8 23576.0 24592.0 11296 31232 6132.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187296 8 23412.0 24880.0 11648 29280 5572.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185952 8 23244.0 24592.0 11904 28800 5506.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187712 8 23464.0 25008.0 12032 28896 5536.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186272 8 23284.0 24624.0 11328 30304 5802.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187776 8 23472.0 24912.0 12064 30752 5852.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187232 8 23404.0 24768.0 11232 30336 5899.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187872 8 23484.0 25296.0 11360 29376 5822.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188480 8 23560.0 24880.0 12224 29760 5545.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187552 8 23444.0 24912.0 11264 29472 5793.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187232 8 23404.0 25072.0 11232 29696 5827.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184832 8 23104.0 24800.0 11360 28544 5678.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188576 8 23572.0 24992.0 11456 31904 6196.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186656 8 23332.0 24896.0 11424 29664 5698.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 140544 8 17568.0 18864.0 9120 22304 4203.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187232 8 23404.0 24768.0 12224 28992 5563.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188192 8 23524.0 25184.0 11648 29184 5729.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186624 8 23328.0 24320.0 11328 29824 5912.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186880 8 23360.0 24704.0 11872 29216 5538.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 189120 8 23640.0 24800.0 11936 31680 5960.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187040 8 23380.0 24832.0 12064 28896 5464.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186944 8 23368.0 24784.0 11296 28832 5621.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188352 8 23544.0 25248.0 11200 28960 5818.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 142144 8 17768.0 18624.0 9024 22528 4210.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186496 8 23312.0 24912.0 12064 28576 5360.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 97120 8 12140.0 12832.0 7136 15360 2709.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187232 8 23404.0 24752.0 11712 29216 5615.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
