0.0 68544 8 8568.0 8272.0 8128 10400 769.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69888 8 8736.0 8528.0 7904 10432 777.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70624 8 8828.0 8368.0 8192 11456 1098.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68448 8 8556.0 8320.0 8064 10336 740.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 35872 8 4484.0 4240.0 4000 5824 598.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70624 8 8828.0 8800.0 8000 10368 734.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70592 8 8824.0 8304.0 8032 11584 1176.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68480 8 8560.0 8304.0 7808 10368 802.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68480 8 8560.0 8336.0 7840 10400 809.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68032 8 8504.0 8272.0 7872 10432 794.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69984 8 8748.0 8576.0 7968 10432 790.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69152 8 8644.0 8368.0 8096 10336 719.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67776 8 8472.0 8256.0 7904 10336 763.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69056 8 8632.0 8304.0 8000 10336 758.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69024 8 8628.0 8320.0 7904 10464 801.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70528 8 8816.0 8880.0 7776 10400 774.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69856 8 8732.0 8416.0 7808 10336 836.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8320.0 7840 10368 769.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71488 8 8936.0 8736.0 8192 10592 745.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69344 8 8668.0 8544.0 7872 10336 749.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69632 8 8704.0 8416.0 8064 10368 768.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68480 8 8560.0 8288.0 7904 10432 798.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71168 8 8896.0 8720.0 8160 10272 654.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70912 8 8864.0 8496.0 7872 11616 1217.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67744 8 8468.0 8240.0 7872 10432 805.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71296 8 8912.0 8384.0 8192 11392 1095.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70208 8 8776.0 8320.0 8064 11072 1009.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69664 8 8708.0 8384.0 7776 11232 1093.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69792 8 8724.0 8368.0 8224 10304 700.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 72864 8 9108.0 8656.0 7968 11936 1240.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 54528 8 6816.0 6656.0 6176 8000 636.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68640 8 8580.0 8384.0 7936 10336 743.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68736 8 8592.0 8432.0 7936 10400 761.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70848 8 8856.0 8528.0 7872 11136 1001.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69952 8 8744.0 8352.0 7872 10464 876.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70336 8 8792.0 8464.0 8096 10656 864.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70912 8 8864.0 8320.0 7872 11968 1333.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
