27,0 11.272.864 1 11.272.864,0 11.272.864,0 11.272.864 11.272.864 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.000 1 11.272.000,0 11.272.000,0 11.272.000 11.272.000 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.160 1 11.272.160,0 11.272.160,0 11.272.160 11.272.160 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.680 1 11.271.680,0 11.271.680,0 11.271.680 11.271.680 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.273.376 1 11.273.376,0 11.273.376,0 11.273.376 11.273.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.320 1 11.272.320,0 11.272.320,0 11.272.320 11.272.320 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.273.216 1 11.273.216,0 11.273.216,0 11.273.216 11.273.216 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.088 1 11.273.088,0 11.273.088,0 11.273.088 11.273.088 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.256 1 11.272.256,0 11.272.256,0 11.272.256 11.272.256 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.360 1 11.271.360,0 11.271.360,0 11.271.360 11.271.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.072 1 11.271.072,0 11.271.072,0 11.271.072 11.271.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.832 1 11.272.832,0 11.272.832,0 11.272.832 11.272.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.808 1 11.271.808,0 11.271.808,0 11.271.808 11.271.808 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.273.088 1 11.273.088,0 11.273.088,0 11.273.088 11.273.088 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.168 1 11.271.168,0 11.271.168,0 11.271.168 11.271.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.544 1 11.272.544,0 11.272.544,0 11.272.544 11.272.544 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
