42,0 976.261.120 10 97.626.112,0 93.221.552,0 86.949.248 140.110.080 15.274.274,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 938.109.856 10 93.810.985,0 92.626.160,0 86.802.656 103.526.496 4.683.267,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 938.792.512 10 93.879.251,0 92.374.864,0 86.852.480 111.519.424 6.632.697,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.687.425.760 10 168.742.576,0 188.410.256,0 95.192.256 220.026.496 51.478.454,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 933.584.448 10 93.358.444,0 92.514.256,0 86.859.968 102.163.552 4.339.766,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 928.403.680 10 92.840.368,0 91.719.296,0 86.856.160 101.583.808 4.428.396,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 973.360.736 10 97.336.073,0 93.682.496,0 86.673.952 137.226.528 14.403.867,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 918.902.304 10 91.890.230,0 91.644.080,0 86.698.112 98.566.624 3.245.915,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 932.217.792 10 93.221.779,0 92.255.472,0 86.714.944 101.758.816 4.009.844,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 930.896.416 10 93.089.641,0 91.908.608,0 86.820.256 100.385.248 4.034.122,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 927.523.040 10 92.752.304,0 91.926.256,0 86.807.072 100.348.480 3.899.890,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.392.818.560 10 139.281.856,0 95.348.400,0 86.831.136 224.706.336 60.464.666,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 928.834.624 10 92.883.462,0 91.940.496,0 86.960.576 98.480.096 3.577.749,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.131.999.488 10 113.199.948,0 93.781.504,0 86.948.736 196.905.280 41.828.383,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 927.600.768 10 92.760.076,0 92.107.856,0 86.769.056 98.502.752 3.376.106,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 923.057.408 10 92.305.740,0 91.753.296,0 86.888.640 98.594.208 3.414.182,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 938.468.032 10 93.846.803,0 92.041.120,0 86.897.728 102.150.464 4.630.696,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 918.844.320 10 91.884.432,0 91.730.192,0 86.808.384 95.565.152 2.831.220,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 981.633.120 10 98.163.312,0 92.009.776,0 86.880.192 148.216.192 17.878.463,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 915.921.504 10 91.592.150,0 91.696.800,0 86.774.016 95.148.448 2.564.461,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.230.581.984 10 123.058.198,0 100.808.720,0 90.408.640 188.912.960 43.290.702,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 973.318.496 10 97.331.849,0 93.672.944,0 86.740.064 136.682.144 14.223.734,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.299.684.800 10 129.968.480,0 144.126.784,0 92.515.968 163.196.832 28.464.215,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 933.879.328 10 93.387.932,0 92.103.392,0 87.025.664 99.628.768 3.889.817,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 1.041.929.696 10 104.192.969,0 92.022.880,0 86.748.000 211.732.160 37.907.395,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 933.746.368 10 93.374.636,0 92.041.856,0 86.817.984 106.881.408 5.305.766,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 935.540.736 10 93.554.073,0 92.055.120,0 86.937.984 102.103.616 4.395.613,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 930.723.328 10 93.072.332,0 92.102.352,0 86.871.776 100.132.896 3.907.487,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.259.727.616 10 125.972.761,0 97.160.128,0 90.459.584 217.451.104 49.744.890,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 942.273.024 10 94.227.302,0 92.701.936,0 86.835.744 107.246.240 5.599.556,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.455.558.400 10 145.555.840,0 134.518.176,0 86.849.408 210.719.808 56.033.777,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 935.098.624 10 93.509.862,0 92.099.664,0 86.839.584 101.187.072 4.194.245,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.128.607.680 10 112.860.768,0 93.797.360,0 86.763.552 198.369.184 42.622.404,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 934.995.424 10 93.499.542,0 92.321.696,0 86.897.248 103.146.848 4.601.688,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 919.275.552 10 91.927.555,0 91.691.168,0 86.869.056 95.658.976 2.861.402,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 963.816.544 10 96.381.654,0 92.542.368,0 86.858.624 130.726.688 12.452.883,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 919.471.360 10 91.947.136,0 91.744.352,0 86.944.448 98.527.840 3.187.275,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.007.456.608 10 100.745.660,0 94.863.488,0 86.791.648 124.643.072 12.441.871,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 922.679.744 10 92.267.974,0 91.673.088,0 86.745.664 98.565.760 3.449.893,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 990.160.864 10 99.016.086,0 92.094.672,0 86.905.248 159.655.616 21.521.031,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 922.943.136 10 92.294.313,0 91.754.896,0 86.911.232 98.685.536 3.439.784,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.135.659.264 10 113.565.926,0 91.992.768,0 86.829.632 178.829.952 36.334.263,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 929.415.712 10 92.941.571,0 92.502.176,0 86.923.872 101.041.152 3.702.875,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.827.032.960 10 182.703.296,0 191.828.672,0 129.476.736 211.934.944 24.138.125,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 963.929.120 10 96.392.912,0 92.496.832,0 86.853.600 135.424.544 13.919.485,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.361.826.368 10 136.182.636,0 130.363.472,0 86.693.184 190.551.424 46.472.603,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 960.793.856 10 96.079.385,0 93.023.536,0 86.930.528 125.192.192 10.715.193,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 919.462.240 10 91.946.224,0 91.749.360,0 86.749.408 98.572.768 3.295.802,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 922.929.056 10 92.292.905,0 91.694.848,0 86.878.144 98.569.568 3.432.775,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 922.165.888 10 92.216.588,0 91.681.504,0 86.778.144 98.545.088 3.452.422,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 967.530.816 10 96.753.081,0 92.277.408,0 86.932.224 141.141.184 15.744.899,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.065.311.104 10 106.531.110,0 92.529.408,0 86.807.552 164.988.800 30.876.094,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 925.857.728 10 92.585.772,0 91.943.232,0 86.753.312 101.662.464 3.812.852,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
