0,0 4.527.040 1 4.527.040,0 4.527.040,0 4.527.040 4.527.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.970.304 1 2.970.304,0 2.970.304,0 2.970.304 2.970.304 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.983.040 1 2.983.040,0 2.983.040,0 2.983.040 2.983.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.144.448 1 5.144.448,0 5.144.448,0 5.144.448 5.144.448 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.976.544 1 2.976.544,0 2.976.544,0 2.976.544 2.976.544 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.302.432 1 2.302.432,0 2.302.432,0 2.302.432 2.302.432 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.529.920 1 4.529.920,0 4.529.920,0 4.529.920 4.529.920 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.096 1 2.308.096,0 2.308.096,0 2.308.096 2.308.096 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.530.368 1 4.530.368,0 4.530.368,0 4.530.368 4.530.368 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.951.392 1 2.951.392,0 2.951.392,0 2.951.392 2.951.392 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.852.416 1 2.852.416,0 2.852.416,0 2.852.416 2.852.416 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.125.056 1 5.125.056,0 5.125.056,0 5.125.056 5.125.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.953.408 1 2.953.408,0 2.953.408,0 2.953.408 2.953.408 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.338.624 1 5.338.624,0 5.338.624,0 5.338.624 5.338.624 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.987.360 1 2.987.360,0 2.987.360,0 2.987.360 2.987.360 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.256 1 2.308.256,0 2.308.256,0 2.308.256 2.308.256 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.491.872 1 3.491.872,0 3.491.872,0 3.491.872 3.491.872 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.313.280 1 2.313.280,0 2.313.280,0 2.313.280 2.313.280 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.958.752 1 2.958.752,0 2.958.752,0 2.958.752 2.958.752 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.311.616 1 2.311.616,0 2.311.616,0 2.311.616 2.311.616 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.398.624 1 3.398.624,0 3.398.624,0 3.398.624 3.398.624 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.529.120 1 4.529.120,0 4.529.120,0 4.529.120 4.529.120 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.140.960 1 5.140.960,0 5.140.960,0 5.140.960 5.140.960 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.980.448 1 2.980.448,0 2.980.448,0 2.980.448 2.980.448 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.135.776 1 5.135.776,0 5.135.776,0 5.135.776 5.135.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.944.320 1 2.944.320,0 2.944.320,0 2.944.320 2.944.320 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.954.016 1 2.954.016,0 2.954.016,0 2.954.016 2.954.016 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.546.016 1 3.546.016,0 3.546.016,0 3.546.016 3.546.016 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.300.544 1 2.300.544,0 2.300.544,0 2.300.544 2.300.544 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.869.024 1 2.869.024,0 2.869.024,0 2.869.024 2.869.024 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.156.896 1 5.156.896,0 5.156.896,0 5.156.896 5.156.896 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.532.704 1 4.532.704,0 4.532.704,0 4.532.704 4.532.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
