2,0 6.369.600 100 63.696,0 53.536,0 50.272 85.792 14.214,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.974.240 100 39.742,0 40.304,0 37.952 41.984 1.274,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.239.648 100 72.396,0 79.408,0 47.840 81.760 12.078,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.114.432 100 51.144,0 50.992,0 49.216 53.408 753,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.495.872 100 64.958,0 72.944,0 46.336 78.816 13.471,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.700.640 100 37.006,0 36.928,0 36.416 42.752 616,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.972.576 100 79.725,0 82.960,0 51.168 85.152 8.623,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.133.088 100 41.330,0 41.824,0 39.552 44.288 1.192,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.801.664 100 58.016,0 50.608,0 42.144 80.768 13.460,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.903.424 100 39.034,0 38.928,0 38.496 43.680 543,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.984.032 100 59.840,0 56.208,0 44.192 77.856 12.840,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.823.776 100 48.237,0 50.160,0 44.352 51.872 2.768,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.180.256 100 61.802,0 58.448,0 44.576 80.192 12.924,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.059.648 100 50.596,0 53.664,0 42.944 58.080 6.692,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.840.768 100 48.407,0 51.808,0 40.608 55.648 6.596,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.810.976 100 58.109,0 52.368,0 39.712 80.224 13.651,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.201.664 100 62.016,0 51.216,0 48.512 81.184 13.677,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.175.008 100 51.750,0 53.776,0 40.608 56.576 4.768,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.347.392 100 63.473,0 68.480,0 47.328 76.960 9.406,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.251.040 100 52.510,0 52.784,0 42.560 57.728 4.049,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.857.440 100 68.574,0 77.968,0 46.720 85.408 15.202,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.134.144 100 51.341,0 54.592,0 40.768 56.864 5.759,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.844.192 100 58.441,0 55.872,0 39.392 79.136 13.260,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.382.176 100 43.821,0 44.832,0 40.192 49.792 2.228,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.463.296 100 74.633,0 79.536,0 49.760 81.312 10.135,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.712.928 100 47.129,0 48.384,0 42.016 50.720 2.611,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.080.832 100 60.808,0 51.120,0 43.328 82.048 15.364,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.803.488 100 58.034,0 58.048,0 56.576 59.200 453,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.944.480 100 59.444,0 56.848,0 40.128 78.560 12.899,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.426.976 100 54.269,0 54.240,0 53.472 55.840 329,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.845.024 100 58.450,0 56.960,0 43.520 78.656 12.986,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.196.352 100 61.963,0 54.960,0 54.112 81.184 9.747,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.123.360 100 71.233,0 78.096,0 49.216 80.864 11.554,0 CUDA_KERNEL prepare(long, float *, float *, float *)
