7,0 21.018.496 200 105.092,0 94.512,0 26.240 234.624 78.253,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.054.400 200 70.272,0 69.840,0 21.760 119.776 48.469,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.839.136 200 124.195,0 93.632,0 26.176 235.232 89.909,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.255.456 200 71.277,0 70.512,0 21.536 121.632 49.352,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.015.104 200 115.075,0 92.224,0 25.760 235.008 85.335,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 13.929.024 200 69.645,0 69.456,0 21.568 118.688 48.071,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 26.333.248 200 131.666,0 97.456,0 27.552 235.136 92.953,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.166.528 200 70.832,0 70.416,0 21.728 121.376 48.355,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.196.864 200 100.984,0 84.256,0 22.496 235.168 75.699,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.063.072 200 70.315,0 69.968,0 21.440 119.968 48.802,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.267.904 200 111.339,0 93.168,0 26.176 234.976 82.455,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.237.408 200 81.187,0 75.376,0 22.304 148.736 57.016,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.264.192 200 111.321,0 92.000,0 25.984 235.680 82.429,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.881.696 200 89.408,0 78.064,0 22.240 175.520 64.538,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.928.704 200 89.643,0 78.224,0 22.464 175.712 64.419,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 21.426.496 200 107.132,0 83.152,0 22.240 234.656 81.033,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.533.440 200 107.667,0 92.560,0 25.888 235.168 79.940,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.738.560 200 98.692,0 78.928,0 22.432 175.936 69.439,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.745.024 200 123.725,0 108.192,0 30.464 234.176 87.668,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.950.784 200 94.753,0 78.160,0 22.656 174.528 66.234,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.960.320 200 114.801,0 91.824,0 24.032 238.016 85.637,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 19.187.808 200 95.939,0 78.416,0 22.432 175.904 68.102,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.813.824 200 109.069,0 84.064,0 22.528 234.848 82.019,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 16.057.888 200 80.289,0 74.992,0 22.560 143.200 55.866,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 25.662.944 200 128.314,0 96.912,0 27.456 235.136 91.711,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.584.864 200 82.924,0 75.264,0 22.432 147.840 58.067,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.621.024 200 103.105,0 83.424,0 22.432 234.432 78.257,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 20.696.256 200 103.481,0 102.992,0 32.160 175.552 71.228,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 21.894.112 200 109.470,0 83.584,0 22.592 235.232 81.678,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.700.768 200 103.503,0 103.120,0 32.000 176.416 71.382,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.076.576 200 110.382,0 92.160,0 25.760 235.040 82.602,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.898.272 200 114.491,0 108.432,0 31.872 234.912 81.686,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.842.752 200 124.213,0 97.648,0 27.520 235.264 89.764,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.268.352 200 71.341,0 70.928,0 21.600 122.016 49.313,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.431.040 200 112.155,0 91.152,0 25.024 234.272 83.358,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.196.704 200 80.983,0 74.800,0 22.400 143.552 56.456,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.970.624 200 119.853,0 108.784,0 32.256 235.328 85.233,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.969.088 200 89.845,0 78.144,0 22.336 175.552 64.783,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.451.680 200 112.258,0 84.160,0 22.464 235.200 83.757,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 18.404.704 200 92.023,0 78.784,0 22.592 176.160 63.798,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
