24,0 67.005.568 100 670.055,0 573.872,0 539.808 884.992 150.942,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 44.931.680 100 449.316,0 449.232,0 447.168 452.096 908,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 79.219.680 100 792.196,0 883.440,0 543.072 885.760 141.386,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
23,0 45.024.128 100 450.241,0 450.176,0 448.448 454.656 988,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 73.614.208 100 736.142,0 882.336,0 530.528 885.824 161.307,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 44.381.184 100 443.811,0 443.744,0 442.432 446.112 656,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 84.120.320 100 841.203,0 883.920,0 566.688 886.112 106.900,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 44.882.560 100 448.825,0 448.736,0 446.656 451.136 950,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 64.686.848 100 646.868,0 573.504,0 471.712 885.664 150.925,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 44.949.120 100 449.491,0 449.488,0 446.880 452.512 1.079,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 71.150.048 100 711.500,0 581.200,0 541.152 885.472 156.943,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 51.913.376 100 519.133,0 548.032,0 467.104 558.848 39.373,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 71.149.696 100 711.497,0 576.992,0 534.336 885.632 155.368,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 57.322.688 100 573.226,0 661.600,0 468.096 663.872 95.359,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 57.149.920 100 571.499,0 661.536,0 466.816 664.064 95.537,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 68.512.640 100 685.126,0 575.680,0 466.016 885.632 169.885,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 68.609.184 100 686.091,0 577.248,0 544.576 885.792 149.827,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 63.167.424 100 631.674,0 662.592,0 470.144 663.968 69.778,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 79.326.368 100 793.263,0 883.280,0 660.672 886.400 109.317,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
26,0 60.890.048 100 608.900,0 613.600,0 467.744 664.000 60.732,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 72.764.992 100 727.649,0 857.200,0 472.416 885.952 159.837,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 61.343.616 100 613.436,0 662.432,0 468.736 664.576 83.656,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
