9,0 26.125.344 100 261.253,0 223.472,0 212.480 347.040 58.264,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.381.984 100 173.819,0 174.000,0 171.584 176.128 1.237,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.832.128 100 308.321,0 343.744,0 206.368 346.272 55.271,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 20.764.128 100 207.641,0 206.992,0 203.456 219.008 2.839,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.696.640 100 286.966,0 341.792,0 206.208 345.792 62.206,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.289.280 100 172.892,0 172.928,0 171.936 174.080 390,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 32.733.440 100 327.334,0 343.760,0 221.760 345.920 40.384,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.299.040 100 172.990,0 173.104,0 170.368 175.488 1.234,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.162.016 100 251.620,0 223.616,0 183.328 345.664 58.697,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.498.336 100 174.983,0 175.008,0 174.016 176.480 551,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.722.848 100 277.228,0 229.360,0 211.872 346.272 61.164,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 20.146.176 100 201.461,0 212.656,0 181.760 217.088 14.989,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.672.160 100 276.721,0 231.712,0 206.304 347.200 60.372,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 22.167.872 100 221.678,0 255.152,0 176.640 257.472 36.293,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 22.183.520 100 221.835,0 255.312,0 182.496 257.760 36.264,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 26.650.560 100 266.505,0 225.264,0 181.760 344.960 65.610,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.666.176 100 266.661,0 224.368,0 213.472 345.696 58.077,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
10,0 24.419.264 100 244.192,0 256.256,0 182.816 257.568 26.993,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.506.848 100 305.068,0 337.232,0 251.968 343.168 41.938,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 23.330.016 100 233.300,0 224.864,0 179.840 254.816 23.022,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
