14,0 24.340.960 2 12.170.480,0 12.170.480,0 8.489.920 15.851.040 5.205.097,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.103.488 2 8.051.744,0 8.051.744,0 8.050.720 8.052.768 1.448,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.710.912 2 15.855.456,0 15.855.456,0 15.853.792 15.857.120 2.353,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 16.119.968 2 8.059.984,0 8.059.984,0 8.053.696 8.066.272 8.892,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 27.362.400 2 13.681.200,0 13.681.200,0 11.504.576 15.857.824 3.078.211,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 19.975.200 2 9.987.600,0 9.987.600,0 8.528.480 11.446.720 2.063.507,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.715.232 2 15.857.616,0 15.857.616,0 15.853.888 15.861.344 5.272,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 16.119.424 2 8.059.712,0 8.059.712,0 8.056.192 8.063.232 4.978,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.104.224 2 8.052.112,0 8.052.112,0 8.047.648 8.056.576 6.313,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.105.984 2 8.052.992,0 8.052.992,0 8.049.472 8.056.512 4.978,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 15.912.832 2 7.956.416,0 7.956.416,0 7.954.496 7.958.336 2.715,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 17.019.808 2 8.509.904,0 8.509.904,0 7.953.024 9.066.784 787.547,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
12,0 15.909.856 2 7.954.928,0 7.954.928,0 7.952.960 7.956.896 2.783,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.717.568 2 15.858.784,0 15.858.784,0 15.856.896 15.860.672 2.670,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
17,0 23.785.536 2 11.892.768,0 11.892.768,0 11.892.192 11.893.344 814,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
18,0 31.787.008 2 15.893.504,0 15.893.504,0 15.291.648 16.495.360 851.152,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.899.936 2 7.949.968,0 7.949.968,0 7.949.664 7.950.272 429,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 31.714.656 2 15.857.328,0 15.857.328,0 15.855.648 15.859.008 2.375,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 18.646.624 2 9.323.312,0 9.323.312,0 8.859.616 9.787.008 655.765,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 16.107.968 2 8.053.984,0 8.053.984,0 8.052.672 8.055.296 1.855,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.717.056 2 15.858.528,0 15.858.528,0 15.858.048 15.859.008 678,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 16.084.576 2 8.042.288,0 8.042.288,0 8.036.800 8.047.776 7.761,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.124.736 2 8.062.368,0 8.062.368,0 8.060.736 8.064.000 2.308,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.716.000 2 15.858.000,0 15.858.000,0 15.852.416 15.863.584 7.897,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.901.728 2 7.950.864,0 7.950.864,0 7.950.080 7.951.648 1.108,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 16.121.120 2 8.060.560,0 8.060.560,0 8.056.672 8.064.448 5.498,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
12,0 15.914.720 2 7.957.360,0 7.957.360,0 7.956.992 7.957.728 520,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 15.916.704 2 7.958.352,0 7.958.352,0 7.954.624 7.962.080 5.272,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 28.972.736 2 14.486.368,0 14.486.368,0 12.389.792 16.582.944 2.965.006,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 15.890.688 2 7.945.344,0 7.945.344,0 7.940.896 7.949.792 6.290,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 16.126.944 2 8.063.472,0 8.063.472,0 8.060.928 8.066.016 3.597,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.915.872 2 7.957.936,0 7.957.936,0 7.957.216 7.958.656 1.018,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
18,0 33.231.872 2 16.615.936,0 16.615.936,0 16.579.424 16.652.448 51.635,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
17,0 32.888.832 2 16.444.416,0 16.444.416,0 16.425.376 16.463.456 26.926,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 20.047.264 2 10.023.632,0 10.023.632,0 9.869.120 10.178.144 218.513,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
18,0 23.373.952 2 11.686.976,0 11.686.976,0 7.970.272 15.403.680 5.256.213,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.906.272 2 7.953.136,0 7.953.136,0 7.952.256 7.954.016 1.244,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 15.902.784 2 7.951.392,0 7.951.392,0 7.950.432 7.952.352 1.357,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.297.376 2 8.148.688,0 8.148.688,0 8.130.304 8.167.072 25.998,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
12,0 15.967.008 2 7.983.504,0 7.983.504,0 7.955.936 8.011.072 38.987,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 34.060.192 2 17.030.096,0 17.030.096,0 17.017.216 17.042.976 18.215,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 15.899.616 2 7.949.808,0 7.949.808,0 7.947.808 7.951.808 2.828,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 15.910.432 2 7.955.216,0 7.955.216,0 7.954.112 7.956.320 1.561,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.110.592 2 8.055.296,0 8.055.296,0 8.052.864 8.057.728 3.439,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 16.101.952 2 8.050.976,0 8.050.976,0 8.049.760 8.052.192 1.719,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 31.719.776 2 15.859.888,0 15.859.888,0 15.857.440 15.862.336 3.462,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.109.024 2 8.054.512,0 8.054.512,0 8.054.112 8.054.912 565,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 41.625.760 2 20.812.880,0 20.812.880,0 20.272.384 21.353.376 764.376,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.110.848 2 8.055.424,0 8.055.424,0 8.053.632 8.057.216 2.534,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.719.392 2 15.859.696,0 15.859.696,0 15.859.200 15.860.192 701,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 16.129.504 2 8.064.752,0 8.064.752,0 8.061.600 8.067.904 4.457,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 31.708.544 2 15.854.272,0 15.854.272,0 15.852.576 15.855.968 2.398,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 16.102.048 2 8.051.024,0 8.051.024,0 8.047.584 8.054.464 4.864,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 31.716.736 2 15.858.368,0 15.858.368,0 15.851.520 15.865.216 9.684,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.901.568 2 7.950.784,0 7.950.784,0 7.947.488 7.954.080 4.661,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 19.516.032 2 9.758.016,0 9.758.016,0 9.383.392 10.132.640 529.798,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 15.914.272 2 7.957.136,0 7.957.136,0 7.955.968 7.958.304 1.651,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 16.124.544 2 8.062.272,0 8.062.272,0 8.053.248 8.071.296 12.761,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 31.116.448 2 15.558.224,0 15.558.224,0 14.009.216 17.107.232 2.190.628,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.903.808 2 7.951.904,0 7.951.904,0 7.949.568 7.954.240 3.303,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 31.714.816 2 15.857.408,0 15.857.408,0 15.857.248 15.857.568 226,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 16.106.464 2 8.053.232,0 8.053.232,0 8.048.320 8.058.144 6.946,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.109.056 2 8.054.528,0 8.054.528,0 8.052.128 8.056.928 3.394,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 15.906.080 2 7.953.040,0 7.953.040,0 7.948.128 7.957.952 6.946,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.109.088 2 8.054.544,0 8.054.544,0 8.053.024 8.056.064 2.149,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.133.376 2 8.066.688,0 8.066.688,0 8.060.256 8.073.120 9.096,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 16.124.064 2 8.062.032,0 8.062.032,0 8.061.920 8.062.144 158,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
17,0 29.665.952 2 14.832.976,0 14.832.976,0 13.238.336 16.427.616 2.255.161,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 16.139.616 2 8.069.808,0 8.069.808,0 8.064.448 8.075.168 7.580,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.715.456 2 15.857.728,0 15.857.728,0 15.857.408 15.858.048 452,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
13,0 25.112.960 2 12.556.480,0 12.556.480,0 10.177.920 14.935.040 3.363.791,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
11,0 15.910.240 2 7.955.120,0 7.955.120,0 7.953.024 7.957.216 2.964,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
14,0 31.713.344 2 15.856.672,0 15.856.672,0 15.856.224 15.857.120 633,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
16,0 31.715.200 2 15.857.600,0 15.857.600,0 15.855.264 15.859.936 3.303,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
15,0 16.115.648 2 8.057.824,0 8.057.824,0 8.053.728 8.061.920 5.792,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
