7,0 13.527.936 2 6.763.968,0 6.763.968,0 5.715.072 7.812.864 1.483.362,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.492.480 2 4.246.240,0 4.246.240,0 4.245.984 4.246.496 362,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.571.808 2 8.285.904,0 8.285.904,0 8.279.840 8.291.968 8.575,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 10.359.136 2 5.179.568,0 5.179.568,0 5.155.776 5.203.360 33.647,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 13.297.696 2 6.648.848,0 6.648.848,0 5.354.208 7.943.488 1.830.897,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 9.325.600 2 4.662.800,0 4.662.800,0 4.466.464 4.859.136 277.661,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.449.856 2 8.224.928,0 8.224.928,0 8.223.744 8.226.112 1.674,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.508.160 2 4.254.080,0 4.254.080,0 4.249.184 4.258.976 6.924,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.530.656 2 4.265.328,0 4.265.328,0 4.264.448 4.266.208 1.244,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.538.656 2 4.269.328,0 4.269.328,0 4.263.360 4.275.296 8.440,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.460.480 2 4.230.240,0 4.230.240,0 4.215.936 4.244.544 20.228,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 9.155.936 2 4.577.968,0 4.577.968,0 4.213.952 4.941.984 514.796,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 8.444.832 2 4.222.416,0 4.222.416,0 4.221.472 4.223.360 1.335,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.342.144 2 8.171.072,0 8.171.072,0 8.164.192 8.177.952 9.729,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 11.723.008 2 5.861.504,0 5.861.504,0 5.857.280 5.865.728 5.973,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
9,0 15.628.288 2 7.814.144,0 7.814.144,0 5.646.560 9.981.728 3.065.426,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.389.536 2 4.194.768,0 4.194.768,0 4.192.800 4.196.736 2.783,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.474.400 2 8.237.200,0 8.237.200,0 8.218.176 8.256.224 26.904,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
9,0 15.584.608 2 7.792.304,0 7.792.304,0 7.731.008 7.853.600 86.685,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.514.112 2 4.257.056,0 4.257.056,0 4.249.696 4.264.416 10.408,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.539.776 2 8.269.888,0 8.269.888,0 8.263.520 8.276.256 9.005,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
6,0 10.042.240 2 5.021.120,0 5.021.120,0 5.015.776 5.026.464 7.557,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.517.536 2 4.258.768,0 4.258.768,0 4.251.136 4.266.400 10.793,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
8,0 16.546.368 2 8.273.184,0 8.273.184,0 8.249.312 8.297.056 33.760,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.413.920 2 4.206.960,0 4.206.960,0 4.206.368 4.207.552 837,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
7,0 8.554.016 2 4.277.008,0 4.277.008,0 4.276.032 4.277.984 1.380,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
