27,0 2.836.256 1 2.836.256,0 2.836.256,0 2.836.256 2.836.256 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 2.832.032 1 2.832.032,0 2.832.032,0 2.832.032 2.832.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 1.719.840 1 1.719.840,0 1.719.840,0 1.719.840 1.719.840 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.125.600 1 2.125.600,0 2.125.600,0 2.125.600 2.125.600 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.121.984 1 2.121.984,0 2.121.984,0 2.121.984 2.121.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.831.488 1 2.831.488,0 2.831.488,0 2.831.488 2.831.488 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.124.768 1 2.124.768,0 2.124.768,0 2.124.768 2.124.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.600 1 2.833.600,0 2.833.600,0 2.833.600 2.833.600 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.123.584 1 2.123.584,0 2.123.584,0 2.123.584 2.123.584 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.712 1 2.835.712,0 2.835.712,0 2.835.712 2.835.712 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 1.722.112 1 1.722.112,0 1.722.112,0 1.722.112 1.722.112 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.123.040 1 2.123.040,0 2.123.040,0 2.123.040 2.123.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.123.648 1 2.123.648,0 2.123.648,0 2.123.648 2.123.648 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.834.720 1 2.834.720,0 2.834.720,0 2.834.720 2.834.720 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 1.724.192 1 1.724.192,0 1.724.192,0 1.724.192 1.724.192 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
