47,0 1.526.060.768 10 152.606.076,0 149.234.464,0 86.721.376 221.340.512 63.220.753,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.009.772.512 10 100.977.251,0 93.013.712,0 86.959.648 154.704.416 20.143.250,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.037.824 10 94.503.782,0 92.152.720,0 86.971.552 110.884.256 6.589.800,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.563.264 10 91.956.326,0 91.748.032,0 86.925.120 98.579.136 3.203.169,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 947.736.480 10 94.773.648,0 91.843.344,0 86.646.560 115.530.912 8.240.999,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.685.984 10 96.968.598,0 92.409.536,0 86.876.960 136.755.648 14.319.239,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 950.308.832 10 95.030.883,0 92.226.912,0 86.805.248 116.613.376 8.230.544,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 959.805.088 10 95.980.508,0 93.282.624,0 86.779.840 124.232.576 10.438.852,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 941.894.400 10 94.189.440,0 92.020.048,0 86.691.488 114.533.792 7.706.685,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.602.368 10 91.960.236,0 91.650.320,0 86.826.624 98.580.864 3.223.990,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.434.400 10 91.943.440,0 91.638.960,0 86.943.648 98.665.696 3.232.536,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 921.703.168 10 92.170.316,0 91.573.472,0 86.859.328 98.497.792 3.419.415,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.016.000 10 92.201.600,0 91.623.536,0 86.893.568 98.586.880 3.430.889,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.333.664 10 92.233.366,0 91.677.104,0 86.789.184 98.487.680 3.429.127,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 918.892.544 10 91.889.254,0 91.702.832,0 86.793.568 95.595.776 2.841.934,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.486.976 10 92.248.697,0 91.719.456,0 86.849.696 98.589.088 3.441.690,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.766.464 10 91.976.646,0 91.730.192,0 86.920.192 98.618.752 3.234.633,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.357.024 10 92.235.702,0 91.607.392,0 86.955.136 98.672.992 3.421.724,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 997.080.224 10 99.708.022,0 92.097.280,0 86.924.704 166.969.056 23.778.146,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.117.074.432 10 111.707.443,0 92.297.728,0 86.989.376 201.704.384 41.998.005,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.556.280.992 10 155.628.099,0 173.046.976,0 92.623.648 196.262.912 43.280.363,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.700.307.936 10 170.030.793,0 195.047.392,0 92.011.072 222.864.864 53.319.352,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.642.184.704 10 164.218.470,0 179.773.904,0 88.807.968 221.136.576 45.096.266,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.309.407.072 10 130.940.707,0 134.700.064,0 90.405.472 191.328.640 38.154.062,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
