     35,0      850.254.112      3.900    218.013,0    185.184,0    173.440     418.336     55.193,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      715.293.440      3.900    183.408,0    177.248,0    172.928    261.920     12.851,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     21,0      788.502.880      3.900    202.180,0    180.544,0    176.064    419.904     51.279,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      918.286.208      3.900  235.458,0  186.880,0   173.120     432.800     69.973,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     38,0      934.008.576      3.900  239.489,0  221.120,0   173.120     418.944     56.181,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      930.270.976      3.900  238.531,0  215.936,0   172.832     406.112     55.205,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     38,0      909.261.504      3.900  233.144,0  218.720,0   173.184    419.712     59.277,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      918.173.216      3.900  235.429,0  218.400,0   175.904    420.672     52.683,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      914.993.632      3.900  234.613,0  212.224,0   173.280    416.320     57.607,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      814.940.736      3.900  208.959,0  212.832,0   178.112    243.520     14.154,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      940.277.536      3.900  241.096,0  188.432,0   172.736     414.080     73.085,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      712.166.112      3.900  182.606,0  180.256,0   175.968    227.776      6.011,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     26,0      739.388.960      3.900  189.586,0  180.512,0   174.304    267.936     18.068,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      867.744.512      3.900  222.498,0  209.552,0   172.544    413.056     55.132,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      981.297.056      3.900  251.614,0  239.024,0   172.288    411.904     59.275,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      806.225.216      3.900  206.724,0  210.336,0   179.296    240.288     12.890,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      963.103.104      3.900  246.949,0  224.352,0   173.312    418.976     55.370,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      828.803.200      3.900  212.513,0  180.384,0   173.088    420.512     60.962,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      915.809.472      3.900  234.822,0  218.016,0   173.664    406.080     57.135,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      959.410.848      3.900  246.002,0  246.000,0   173.088    419.552     54.974,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      710.619.456      3.900  182.210,0  179.984,0   176.352    225.120      5.724,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      922.103.552      3.900  236.436,0  217.648,0   173.088    412.000     55.783,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      809.698.368      3.900  207.615,0  210.080,0   176.288   3.044.800     47.422,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      935.942.080      3.900  239.985,0  217.968,0   173.120    419.520     53.071,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      711.654.752      3.900  182.475,0  180.096,0   176.032    237.984      6.157,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      971.474.912      3.900  249.096,0  226.400,0   173.184     419.360     63.609,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      955.253.760      3.900  244.936,0  231.152,0   171.392    421.664     57.487,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      908.437.376      3.900  232.932,0  212.256,0   173.536    424.160     55.328,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
