41,0 36.986.848 100 369.868,0 342.832,0 316.608 2.051.264 206.418,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 35.998.912 100 359.989,0 359.696,0 340.288 405.760 5.721,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 65.701.600 100 657.016,0 746.704,0 357.312 819.648 174.199,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 31.064.992 100 310.649,0 310.032,0 307.776 370.816 6.186,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 75.656.064 100 756.560,0 716.480,0 688.128 2.821.312 243.200,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 45.390.560 100 453.905,0 359.072,0 348.864 2.554.368 369.511,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
43,0 42.851.712 100 428.517,0 396.240,0 318.816 2.686.720 273.616,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 77.500.000 100 775.000,0 775.168,0 726.432 824.000 20.680,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 83.727.616 100 837.276,0 754.048,0 366.400 6.113.952 816.327,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 68.393.472 100 683.934,0 730.224,0 353.728 803.328 132.740,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 31.083.968 100 310.839,0 310.208,0 307.200 374.368 6.515,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 39.619.584 100 396.195,0 395.568,0 393.728 457.344 6.232,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 36.429.536 100 364.295,0 359.792,0 353.792 433.568 11.631,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 66.936.192 100 669.361,0 739.504,0 355.392 798.656 155.792,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.620.672 100 396.206,0 395.696,0 393.568 451.104 5.614,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.435.520 100 394.355,0 393.888,0 390.976 448.768 5.612,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 34.579.392 100 345.793,0 350.208,0 317.312 417.504 13.616,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 33.077.376 100 330.773,0 318.976,0 315.520 467.008 28.963,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.731.136 100 397.311,0 396.096,0 393.440 465.408 7.285,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 35.098.720 100 350.987,0 322.432,0 315.904 464.000 37.414,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 31.077.280 100 310.772,0 310.528,0 305.920 380.032 7.388,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 59.448.064 100 594.480,0 708.944,0 357.024 814.880 180.485,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 32.377.696 100 323.777,0 308.832,0 306.176 1.027.072 99.424,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 47.434.016 100 474.340,0 382.208,0 355.712 2.910.944 382.839,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
