3,0 8.864.992 100 88.649,0 104.016,0 59.136 113.312 22.675,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.017.536 100 100.175,0 106.880,0 58.816 114.080 16.519,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.160.000 100 101.600,0 106.864,0 79.200 114.080 11.175,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.089.600 100 100.896,0 106.720,0 59.488 114.720 15.188,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.756.864 100 97.568,0 106.544,0 59.488 114.240 18.330,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.367.296 100 83.673,0 102.368,0 52.832 115.392 23.899,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.642.496 100 76.425,0 60.640,0 53.056 113.088 23.722,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.712.768 100 107.127,0 107.136,0 103.328 112.064 1.134,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.623.264 100 86.232,0 103.024,0 53.216 114.848 24.074,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.056.320 100 90.563,0 105.776,0 57.440 114.848 22.271,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.710.240 100 107.102,0 107.152,0 104.160 112.448 1.169,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.470.752 100 84.707,0 102.464,0 58.144 113.216 23.393,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.820.544 100 78.205,0 60.560,0 57.952 115.520 23.079,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.964.576 100 89.645,0 105.456,0 53.280 111.936 22.874,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.377.152 100 83.771,0 102.512,0 52.960 114.048 24.547,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.483.328 100 74.833,0 60.144,0 52.608 114.464 23.934,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.882.560 100 88.825,0 106.192,0 53.120 112.832 23.473,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.686.464 100 106.864,0 106.896,0 101.536 112.896 1.593,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.962.880 100 89.628,0 105.616,0 55.680 114.400 22.393,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.596.096 100 75.961,0 60.272,0 57.088 116.448 22.595,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.135.072 100 91.350,0 105.888,0 58.944 113.184 21.831,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.295.168 100 82.951,0 81.104,0 55.424 114.048 23.452,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.287.616 100 92.876,0 106.016,0 59.072 114.336 21.191,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.535.456 100 105.354,0 107.248,0 59.776 116.064 8.274,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.727.520 100 77.275,0 60.592,0 56.928 116.160 22.928,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 9.877.888 100 98.778,0 106.656,0 59.136 111.744 17.635,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.616.960 100 76.169,0 60.368,0 53.120 115.328 24.387,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.749.920 100 107.499,0 107.328,0 104.896 114.208 1.256,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.305.408 100 103.054,0 106.832,0 59.968 114.720 12.770,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.700.992 100 107.009,0 107.056,0 102.112 115.168 1.695,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.235.936 100 92.359,0 106.416,0 59.456 128.224 21.800,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.067.968 100 90.679,0 105.328,0 53.792 113.408 22.326,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.222.656 100 82.226,0 61.200,0 52.864 115.520 25.882,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.772.896 100 77.729,0 60.912,0 55.648 115.488 22.694,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.093.408 100 100.934,0 106.640,0 59.872 113.248 15.051,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.619.264 100 86.192,0 102.784,0 52.896 115.360 23.986,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.867.232 100 98.672,0 107.280,0 60.096 113.472 17.649,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.131.616 100 81.316,0 60.992,0 56.736 115.744 23.782,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.873.216 100 98.732,0 107.264,0 59.744 113.664 17.983,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.772.640 100 87.726,0 103.584,0 53.760 116.000 23.444,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.278.720 100 82.787,0 101.472,0 53.152 115.552 24.560,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.406.944 100 74.069,0 60.080,0 52.544 113.760 23.560,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.697.952 100 106.979,0 106.944,0 104.480 114.656 1.416,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.429.088 100 84.290,0 102.768,0 53.760 115.680 23.971,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.886.848 100 88.868,0 103.136,0 58.560 114.144 22.505,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.696.288 100 86.962,0 102.656,0 53.536 116.384 23.068,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.587.264 100 85.872,0 107.328,0 54.016 117.056 25.537,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.627.200 100 76.272,0 60.720,0 53.536 112.768 24.184,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.787.936 100 87.879,0 103.776,0 59.264 115.008 22.861,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.695.392 100 86.953,0 103.248,0 58.112 112.096 23.119,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.975.296 100 79.753,0 60.320,0 53.824 115.104 23.213,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.207.488 100 102.074,0 106.896,0 59.392 112.704 14.226,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.573.024 100 85.730,0 103.072,0 53.344 113.728 23.826,0 CUDA_KERNEL prepare(long, float *, float *, float *)
