8,0 26.085.184 200 130.425,0 113.760,0 45.760 240.672 75.705,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.016.416 200 145.082,0 113.856,0 46.432 240.832 79.902,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 31.074.624 200 155.373,0 155.232,0 64.800 240.512 83.159,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 29.260.864 200 146.304,0 115.040,0 46.592 240.224 79.906,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.319.648 200 141.598,0 114.736,0 45.952 240.704 79.170,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.864.192 200 124.321,0 101.840,0 40.704 240.416 72.729,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.935.936 200 114.679,0 101.504,0 40.576 240.736 68.074,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.316.672 200 156.583,0 156.144,0 72.768 241.216 82.551,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.235.328 200 126.176,0 99.968,0 39.360 240.320 75.085,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 26.616.480 200 133.082,0 110.784,0 45.184 240.544 76.279,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 31.546.624 200 157.733,0 157.312,0 74.528 240.608 81.471,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.183.552 200 125.917,0 110.304,0 44.608 240.352 73.479,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.698.240 200 118.491,0 111.232,0 45.312 239.840 69.310,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.372.128 200 131.860,0 111.408,0 40.864 240.768 76.043,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.644.800 200 123.224,0 101.312,0 40.896 241.184 72.997,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.284.992 200 111.425,0 101.664,0 40.896 240.512 66.822,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.080.544 200 130.402,0 101.840,0 40.576 240.448 75.620,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.120.832 200 155.604,0 116.720,0 54.784 240.896 81.633,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.396.096 200 131.980,0 108.912,0 43.072 240.768 76.514,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.113.120 200 115.565,0 109.760,0 44.416 240.224 67.474,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.908.256 200 134.541,0 113.712,0 45.696 240.640 77.281,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.783.808 200 123.919,0 109.280,0 42.688 241.120 72.405,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 27.115.424 200 135.577,0 113.504,0 45.568 241.248 77.588,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 30.218.848 200 151.094,0 114.880,0 46.528 240.544 81.380,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.422.560 200 117.112,0 118.512,0 44.832 240.320 67.919,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.920.192 200 144.601,0 114.912,0 46.592 240.224 79.579,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.495.616 200 112.478,0 100.608,0 40.320 239.936 68.152,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.510.816 200 157.554,0 157.168,0 74.720 240.832 81.731,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.588.096 200 147.940,0 114.400,0 45.952 240.960 81.190,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 30.885.024 200 154.425,0 116.288,0 54.432 240.928 82.337,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 27.023.840 200 135.119,0 114.512,0 45.760 240.128 77.533,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 26.610.656 200 133.053,0 102.000,0 40.448 241.184 76.409,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.737.024 200 118.685,0 100.416,0 40.224 240.896 71.431,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.516.480 200 117.582,0 109.696,0 43.296 241.440 68.458,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.176.544 200 145.882,0 115.232,0 46.688 240.448 80.005,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 25.423.200 200 127.116,0 105.920,0 40.672 240.384 74.356,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 29.726.080 200 148.630,0 115.760,0 46.816 240.608 80.915,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.294.464 200 121.472,0 109.680,0 44.448 240.512 71.357,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 28.547.744 200 142.738,0 114.704,0 46.048 240.736 79.590,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.735.296 200 128.676,0 101.568,0 40.320 240.960 75.273,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 24.568.448 200 122.842,0 101.840,0 40.864 240.128 72.960,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 22.277.216 200 111.386,0 101.616,0 41.152 240.032 66.318,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.496.576 200 157.482,0 156.816,0 73.696 241.088 81.785,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.831.776 200 124.158,0 101.728,0 40.864 240.224 73.361,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.207.104 200 131.035,0 111.856,0 45.152 240.608 75.380,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.876.448 200 129.382,0 102.240,0 40.832 240.960 74.914,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.631.264 200 123.156,0 100.384,0 39.840 240.448 73.573,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.620.480 200 113.102,0 101.312,0 40.256 239.904 68.111,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 26.097.472 200 130.487,0 114.288,0 46.656 240.160 74.829,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
9,0 25.688.768 200 128.443,0 111.056,0 44.576 240.512 75.261,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.025.920 200 120.129,0 101.008,0 40.544 240.256 70.936,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.351.328 200 146.756,0 115.216,0 46.240 241.216 80.355,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.467.904 200 127.339,0 101.776,0 40.192 240.384 75.002,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.961.856 200 114.809,0 101.360,0 40.768 241.280 68.940,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.440.608 200 122.203,0 114.688,0 45.920 240.032 70.934,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.076.064 200 115.380,0 101.728,0 40.384 241.088 69.275,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 29.072.480 200 145.362,0 114.480,0 46.176 240.384 80.455,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.469.120 200 117.345,0 101.456,0 40.256 241.056 69.265,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.011.136 200 120.055,0 100.976,0 40.320 240.480 71.743,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 31.510.176 200 157.550,0 157.504,0 74.464 240.576 81.705,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
