24,0 73.659.680 100 736.596,0 883.264,0 564.928 888.640 156.046,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 81.700.128 100 817.001,0 885.024,0 565.504 888.128 128.789,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 88.516.576 100 885.165,0 885.024,0 882.624 901.120 1.790,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 82.151.136 100 821.511,0 884.880,0 569.376 888.256 124.907,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 79.766.592 100 797.665,0 885.056,0 566.880 887.456 139.411,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 69.751.712 100 697.517,0 580.128,0 469.088 888.064 164.501,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
23,0 64.529.888 100 645.298,0 576.096,0 469.824 887.072 161.256,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 88.545.376 100 885.453,0 885.392,0 882.432 888.224 1.033,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 71.594.848 100 715.948,0 584.000,0 468.864 887.264 169.299,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 74.833.312 100 748.333,0 883.792,0 540.288 887.968 155.707,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 88.528.608 100 885.286,0 885.264,0 883.328 887.776 915,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 70.963.488 100 709.634,0 579.792,0 545.184 887.648 156.730,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 66.909.760 100 669.097,0 576.688,0 545.984 887.488 149.379,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 74.287.648 100 742.876,0 883.936,0 471.168 888.480 163.204,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 69.255.296 100 692.553,0 580.880,0 468.768 888.128 174.219,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 62.516.704 100 625.167,0 573.104,0 467.936 887.328 167.931,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 73.294.240 100 732.942,0 883.888,0 470.176 887.808 166.886,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 87.629.280 100 876.292,0 885.360,0 578.496 888.064 51.804,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 74.450.848 100 744.508,0 884.352,0 530.272 887.584 157.158,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
23,0 65.021.440 100 650.214,0 578.560,0 531.104 888.416 144.555,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 76.042.816 100 760.428,0 883.936,0 565.440 887.264 152.493,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 70.065.568 100 700.655,0 577.200,0 530.464 887.552 154.733,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 76.693.216 100 766.932,0 884.288,0 563.744 888.384 151.695,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
22,0 84.880.256 100 848.802,0 885.744,0 573.568 887.872 100.898,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
23,0 65.815.232 100 658.152,0 575.680,0 533.088 887.712 148.168,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 81.414.400 100 814.144,0 885.088,0 566.912 887.712 130.047,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 63.368.224 100 633.682,0 575.232,0 466.336 887.872 168.365,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 88.544.224 100 885.442,0 885.456,0 883.264 887.520 924,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 83.611.520 100 836.115,0 885.072,0 572.864 888.192 113.597,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 86.981.984 100 869.819,0 885.152,0 573.824 887.872 67.007,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 76.154.464 100 761.544,0 884.144,0 569.216 887.712 151.934,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 74.782.240 100 747.822,0 884.032,0 466.816 887.968 160.221,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 67.037.792 100 670.377,0 575.760,0 466.912 888.608 170.229,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 66.483.552 100 664.835,0 575.728,0 530.624 887.328 145.377,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 82.070.432 100 820.704,0 885.152,0 574.016 886.688 125.713,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 71.426.528 100 714.265,0 583.328,0 465.024 886.944 170.350,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
25,0 83.809.920 100 838.099,0 884.912,0 571.424 902.944 110.725,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
24,0 68.412.768 100 684.127,0 578.832,0 532.640 887.872 159.126,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
