9,0 28.239.168 100 282.391,0 337.216,0 216.480 341.056 59.411,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.220.928 100 312.209,0 338.880,0 216.640 340.608 49.592,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.915.680 100 339.156,0 339.136,0 336.992 340.992 776,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.512.384 100 315.123,0 339.104,0 220.512 341.344 47.358,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.548.576 100 305.485,0 339.008,0 219.136 341.024 53.302,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.722.400 100 267.224,0 224.000,0 180.384 340.544 62.433,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.707.712 100 247.077,0 222.176,0 181.376 341.536 61.158,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.927.968 100 339.279,0 339.376,0 337.664 340.512 670,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.503.040 100 275.030,0 225.792,0 180.896 341.664 64.516,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.693.024 100 286.930,0 338.240,0 206.048 340.640 59.363,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.892.416 100 338.924,0 338.928,0 337.120 340.608 798,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.263.872 100 272.638,0 223.744,0 212.160 341.376 59.365,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.709.536 100 257.095,0 222.384,0 207.712 340.352 56.521,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.510.368 100 285.103,0 338.128,0 181.632 340.896 62.036,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.505.536 100 265.055,0 223.792,0 180.512 341.056 66.053,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 23.947.136 100 239.471,0 220.928,0 180.192 340.672 63.082,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.036.160 100 280.361,0 337.472,0 182.144 340.960 63.457,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.554.304 100 335.543,0 339.200,0 223.968 341.408 19.741,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.586.848 100 285.868,0 338.112,0 203.584 341.248 59.425,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.047.968 100 250.479,0 222.960,0 205.088 340.672 54.776,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.107.040 100 291.070,0 338.400,0 217.632 340.608 58.053,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.930.848 100 269.308,0 223.232,0 204.032 340.672 58.654,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.371.424 100 293.714,0 338.560,0 216.960 341.088 57.605,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
8,0 32.539.392 100 325.393,0 339.184,0 221.728 341.376 37.926,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.225.792 100 252.257,0 222.256,0 204.608 340.896 56.057,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.132.032 100 311.320,0 339.024,0 217.952 341.312 50.266,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.305.920 100 243.059,0 221.200,0 179.456 341.056 63.720,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.916.672 100 339.166,0 339.200,0 337.024 340.960 785,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 32.056.320 100 320.563,0 338.944,0 221.024 340.864 42.819,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.326.048 100 333.260,0 338.960,0 223.680 341.216 25.037,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.240.512 100 292.405,0 338.256,0 219.008 340.736 57.352,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.605.920 100 286.059,0 337.760,0 180.000 341.632 60.704,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.727.104 100 257.271,0 222.112,0 179.584 340.288 64.362,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.608.256 100 256.082,0 222.272,0 203.008 341.120 55.072,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.453.312 100 314.533,0 338.576,0 220.544 340.640 47.491,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.302.720 100 273.027,0 225.488,0 179.712 341.024 64.863,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 32.044.064 100 320.440,0 338.928,0 219.680 340.672 43.084,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.265.120 100 262.651,0 223.488,0 204.384 341.600 60.445,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 30.760.864 100 307.608,0 338.896,0 217.664 341.216 52.360,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.798.304 100 277.983,0 299.024,0 181.664 341.312 62.217,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.489.760 100 264.897,0 223.376,0 180.736 341.152 66.457,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.007.968 100 240.079,0 220.736,0 179.968 340.960 61.725,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.931.456 100 339.314,0 339.184,0 337.152 341.376 884,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.771.616 100 267.716,0 224.688,0 181.024 341.248 65.070,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.273.984 100 282.739,0 338.064,0 209.728 340.832 59.180,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.808.960 100 278.089,0 282.720,0 180.960 340.928 61.825,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.723.488 100 267.234,0 224.720,0 179.744 341.408 63.990,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.483.040 100 244.830,0 221.696,0 181.344 339.936 62.793,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.192.992 100 281.929,0 337.152,0 217.824 340.960 58.685,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.932.256 100 279.322,0 282.432,0 209.312 340.736 60.118,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.142.304 100 261.423,0 222.928,0 182.016 341.376 57.905,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.651.360 100 316.513,0 338.816,0 220.768 340.960 45.818,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.461.728 100 274.617,0 226.400,0 182.208 340.352 64.587,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.799.776 100 247.997,0 222.064,0 180.992 341.216 63.478,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.349.088 100 263.490,0 222.192,0 218.208 340.544 56.860,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.909.152 100 249.091,0 223.408,0 180.608 341.408 64.150,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.468.512 100 314.685,0 339.008,0 220.768 341.088 47.572,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.498.400 100 254.984,0 222.352,0 181.504 340.800 55.965,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.942.304 100 259.423,0 222.992,0 180.512 341.152 66.457,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
8,0 33.928.832 100 339.288,0 339.328,0 337.696 340.960 743,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
8,0 33.806.464 100 338.064,0 339.264,0 226.848 341.184 11.261,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.922.560 100 339.225,0 339.296,0 336.960 340.928 739,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.750.976 100 277.509,0 227.072,0 180.832 340.768 61.236,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.784.224 100 337.842,0 339.008,0 220.768 341.696 11.859,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 23.927.776 100 239.277,0 221.584,0 180.352 340.800 62.483,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.715.520 100 247.155,0 221.536,0 180.768 340.960 65.376,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.927.680 100 269.276,0 224.608,0 180.224 341.024 66.299,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.357.376 100 273.573,0 226.320,0 180.384 340.960 62.930,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.450.720 100 314.507,0 338.848,0 218.848 340.352 47.849,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 31.006.720 100 310.067,0 338.864,0 218.400 340.800 50.553,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 32.899.648 100 328.996,0 339.328,0 220.928 340.832 33.337,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.362.304 100 173.623,0 173.584,0 171.840 176.288 740,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.438.944 100 254.389,0 223.232,0 180.576 340.960 65.737,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 28.100.576 100 281.005,0 329.008,0 204.736 340.512 59.310,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.355.520 100 173.555,0 173.536,0 172.160 175.072 675,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.574.048 100 275.740,0 226.304,0 181.440 340.704 62.978,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 25.255.360 100 252.553,0 222.480,0 180.768 340.992 64.041,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.443.744 100 264.437,0 224.336,0 204.768 341.056 60.332,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 27.054.496 100 270.545,0 224.016,0 186.112 341.216 61.641,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.460.704 100 244.607,0 214.304,0 182.016 340.992 64.776,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.216.992 100 242.169,0 221.296,0 180.544 340.384 59.828,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 33.939.584 100 339.395,0 339.328,0 337.888 341.408 769,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 26.161.696 100 261.617,0 223.072,0 218.496 341.504 55.533,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 29.374.304 100 293.743,0 256.048,0 253.184 340.832 42.411,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 17.351.200 100 173.512,0 173.520,0 171.456 176.832 779,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.825.120 100 248.251,0 222.064,0 180.352 341.088 64.908,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 24.712.160 100 247.121,0 222.928,0 181.344 340.064 62.467,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
9,0 19.534.112 100 195.341,0 183.776,0 179.680 223.808 15.914,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
