1,0 2.120.800 1 2.120.800,0 2.120.800,0 2.120.800 2.120.800 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.824 1 2.121.824,0 2.121.824,0 2.121.824 2.121.824 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.122.560 1 2.122.560,0 2.122.560,0 2.122.560 2.122.560 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.119.008 1 2.119.008,0 2.119.008,0 2.119.008 2.119.008 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 1.838.944 1 1.838.944,0 1.838.944,0 1.838.944 1.838.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.123.360 1 2.123.360,0 2.123.360,0 2.123.360 2.123.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0,0 1.437.024 1 1.437.024,0 1.437.024,0 1.437.024 1.437.024 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.120.992 1 2.120.992,0 2.120.992,0 2.120.992 2.120.992 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.120.448 1 2.120.448,0 2.120.448,0 2.120.448 2.120.448 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.122.464 1 2.122.464,0 2.122.464,0 2.122.464 2.122.464 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 1.841.056 1 1.841.056,0 1.841.056,0 1.841.056 1.841.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 1.789.312 1 1.789.312,0 1.789.312,0 1.789.312 1.789.312 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.122.528 1 2.122.528,0 2.122.528,0 2.122.528 2.122.528 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.119.936 1 2.119.936,0 2.119.936,0 2.119.936 2.119.936 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 3.723.456 1 3.723.456,0 3.723.456,0 3.723.456 3.723.456 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.184 1 2.121.184,0 2.121.184,0 2.121.184 2.121.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.728 1 2.121.728,0 2.121.728,0 2.121.728 2.121.728 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.120.160 1 2.120.160,0 2.120.160,0 2.120.160 2.120.160 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.472 1 2.121.472,0 2.121.472,0 2.121.472 2.121.472 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.856 1 2.121.856,0 2.121.856,0 2.121.856 2.121.856 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.123.072 1 2.123.072,0 2.123.072,0 2.123.072 2.123.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.504 1 2.121.504,0 2.121.504,0 2.121.504 2.121.504 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.120 1 2.121.120,0 2.121.120,0 2.121.120 2.121.120 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 5.097.184 1 5.097.184,0 5.097.184,0 5.097.184 5.097.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.122.688 1 2.122.688,0 2.122.688,0 2.122.688 2.122.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.123.488 1 2.123.488,0 2.123.488,0 2.123.488 2.123.488 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.152 1 2.121.152,0 2.121.152,0 2.121.152 2.121.152 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.123.264 1 2.123.264,0 2.123.264,0 2.123.264 2.123.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.123.072 1 2.123.072,0 2.123.072,0 2.123.072 2.123.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.952 1 2.121.952,0 2.121.952,0 2.121.952 2.121.952 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
