      0,0           69.376          1      69.376,0   69.376,0    69.376       69.376            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.704          1      68.704,0   68.704,0    68.704       68.704            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.328          1      67.328,0   67.328,0    67.328       67.328            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           34.368          1      34.368,0  34.368,0    34.368       34.368           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           38.944          1      38.944,0   38.944,0    38.944       38.944           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.776          1      67.776,0   67.776,0    67.776       67.776           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           51.008          1      51.008,0  51.008,0    51.008       51.008            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           50.688          1      50.688,0   50.688,0    50.688       50.688            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.640          1      68.640,0   68.640,0    68.640       68.640            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           50.240          1      50.240,0   50.240,0    50.240       50.240           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.128          1      68.128,0   68.128,0    68.128       68.128            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.744          1      67.744,0   67.744,0    67.744       67.744            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.512          1      68.512,0   68.512,0    68.512       68.512            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.744          1      67.744,0   67.744,0    67.744       67.744           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           43.040          1      43.040,0   43.040,0    43.040       43.040           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.384          1      68.384,0   68.384,0    68.384       68.384           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           46.240          1      46.240,0   46.240,0    46.240       46.240           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.352          1      68.352,0   68.352,0    68.352       68.352           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.408          1      69.408,0   69.408,0    69.408       69.408            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.520          1      67.520,0   67.520,0    67.520       67.520           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           50.432          1      50.432,0   50.432,0    50.432       50.432           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.096          1      68.096,0   68.096,0    68.096       68.096            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.320          1      68.320,0   68.320,0    68.320       68.320            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           50.880          1      50.880,0   50.880,0    50.880       50.880           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
