38,0 517.038.048 5 103.407.609,0 93.173.920,0 91.142.976 129.723.936 16.723.950,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 490.016.512 5 98.003.302,0 92.487.744,0 90.497.056 123.181.952 14.104.145,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 497.702.848 5 99.540.569,0 91.812.608,0 90.487.104 131.768.416 18.030.645,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 486.062.720 5 97.212.544,0 92.464.544,0 90.505.344 119.282.592 12.366.854,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 517.457.440 5 103.491.488,0 93.428.224,0 90.514.976 136.366.528 19.417.555,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 540.434.048 5 108.086.809,0 93.603.168,0 91.162.464 159.665.696 29.254.098,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 505.261.632 5 101.052.326,0 93.808.448,0 91.339.712 133.469.600 18.156.613,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 484.307.456 5 96.861.491,0 92.534.176,0 90.462.496 112.791.456 9.162.046,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 477.188.736 5 95.437.747,0 91.819.136,0 90.437.504 111.355.168 8.931.316,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 530.788.256 5 106.157.651,0 92.576.000,0 90.522.976 152.117.056 26.160.453,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
38,0 544.048.288 5 108.809.657,0 92.995.712,0 92.379.424 157.045.984 27.898.208,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 482.541.632 5 96.508.326,0 93.016.480,0 90.409.504 105.256.032 6.976.385,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 491.818.080 5 98.363.616,0 97.739.008,0 91.188.928 107.421.472 7.359.226,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 505.524.544 5 101.104.908,0 95.192.192,0 91.962.720 115.071.872 11.027.265,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 479.347.648 5 95.869.529,0 91.763.104,0 90.545.664 113.225.632 9.731.503,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 528.228.288 5 105.645.657,0 92.380.928,0 90.536.800 144.906.176 23.277.280,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 509.338.880 5 101.867.776,0 92.469.408,0 90.413.888 131.367.040 17.391.617,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 492.891.968 5 98.578.393,0 92.508.256,0 90.517.664 125.666.912 15.174.822,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 468.781.568 5 93.756.313,0 92.398.048,0 90.495.072 99.286.112 3.464.880,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 513.993.440 5 102.798.688,0 94.609.472,0 92.454.784 138.671.264 20.075.541,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 509.700.672 5 101.940.134,0 92.482.016,0 90.491.424 141.756.096 22.291.687,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 476.015.616 5 95.203.123,0 92.363.680,0 90.526.656 107.014.752 6.822.617,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 484.842.240 5 96.968.448,0 92.383.008,0 90.456.896 113.589.792 9.684.898,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 492.974.976 5 98.594.995,0 92.495.296,0 90.474.816 120.789.952 12.757.289,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 486.875.296 5 97.375.059,0 94.198.368,0 91.016.032 111.794.976 8.375.318,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
