     36,0    1.133.120.448      3.900     290.543,0  261.712,0   205.600      410.528      49.036,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.103.736.800      3.900     283.009,0  260.144,0   206.080      406.112      50.955,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.184.861.280      3.900     303.810,0  269.632,0   254.144      405.536      45.803,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      696.657.824      3.900     178.630,0  176.128,0   172.000      221.824       5.883,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.226.496.992      3.900     314.486,0  345.920,0   254.208      417.984      45.227,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      694.208.800      3.900     178.002,0  175.936,0   172.000      221.376       5.516,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0      924.793.728      3.900     237.126,0  182.048,0   174.880      418.112      81.089,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0    1.174.388.000      3.900     301.125,0  266.304,0   253.568      410.208       45.575,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.164.239.296      3.900     298.522,0  265.280,0   253.920      416.960      45.091,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.250.409.376      3.900     320.617,0  345.984,0   254.048      411.808      43.995,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.140.526.688      3.900     292.442,0  263.584,0   253.952      414.880      43.647,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.221.659.360      3.900     313.246,0  345.824,0   254.016      417.600      45.387,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      712.599.168      3.900     182.717,0  176.512,0   171.872      238.624      12.760,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     22,0    1.090.638.848      3.900     279.651,0  260.608,0   174.816      415.872      62.515,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      694.055.616      3.900     177.963,0  175.968,0   171.712      221.024       5.458,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.132.493.728      3.900     290.383,0  261.184,0   253.920      407.968       42.747,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      789.337.696      3.900     202.394,0  208.064,0   171.744      278.752      16.343,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      4,0      711.196.832      3.900     182.358,0  178.784,0   174.752    1.531.872       26.301,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.450.240      3.900     177.807,0  175.616,0   171.744      220.384       5.521,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      9,0      702.473.792      3.900     180.121,0  178.464,0   174.528    1.524.224      22.390,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      826.158.400      3.900     211.835,0  209.504,0   202.976      329.344      10.185,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     21,0      695.309.952      3.900     178.284,0  176.000,0   171.872      213.440       5.674,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0      808.427.840      3.900     207.289,0  208.720,0   173.088      415.680       23.646,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.151.996.896      3.900     295.383,0  264.608,0   253.792      409.056      44.386,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.196.145.056      3.900     306.703,0  345.744,0   220.416      411.456      47.731,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0      742.964.032      3.900     190.503,0  179.328,0   171.296      241.280      17.419,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.158.533.984      3.900     297.060,0  264.992,0   254.240      413.184      44.784,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      823.612.256      3.900     211.182,0  209.408,0   175.264    3.075.232      46.314,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     30,0      693.884.352      3.900     177.919,0  175.584,0   171.584      219.040       5.662,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      818.522.464      3.900     209.877,0  207.200,0   175.328      886.592      13.676,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      693.343.264      3.900     177.780,0  175.712,0   171.520      221.984       5.492,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      841.890.848      3.900     215.869,0  207.072,0   172.160      412.192      52.510,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      694.204.192      3.900     178.001,0  175.840,0   171.936      220.640       5.550,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.671.456      3.900     177.864,0  175.648,0   171.744      218.848       5.533,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      749.467.168      3.900     192.171,0  180.608,0   171.584      239.168      17.425,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     11,0      955.129.504      3.900     244.905,0  183.040,0   174.880      410.560      80.586,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
