      2,0        4.593.120          9     510.346,0  523.520,0   293.824      585.632      88.967,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.113.088          9     234.787,0  231.456,0   124.416      283.072      53.169,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.243.712          9     249.301,0  273.568,0    33.568      322.304      84.718,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.174.976          9     241.664,0  254.624,0   152.416      285.280      44.431,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.155.072          9     239.452,0  255.296,0   128.224      295.296      59.578,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.333.568          9     259.285,0  260.416,0   230.016      292.864      20.885,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.278.624          9     253.180,0  252.864,0   212.832      284.704      21.787,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.110.816          9     234.535,0  263.264,0   107.936      285.888      68.139,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.331.072          9     259.008,0  265.408,0   179.808      291.936      34.863,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.250.560          9     250.062,0  262.720,0   175.680      292.160      41.477,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.980.704          9     220.078,0  210.848,0   141.344      292.576      51.583,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.980.256          9     220.028,0  263.168,0    34.624      288.416      97.514,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.671.616          9     407.957,0  436.064,0   131.520      584.320     186.628,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.311.392          9     256.821,0  274.048,0   150.144      290.720      43.050,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.399.776          9     488.864,0  499.680,0   332.992      578.816      75.088,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.419.968          9     268.885,0  282.144,0   227.264      293.888      24.597,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.013.280          9     223.697,0  238.144,0    87.808      280.704      59.262,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.007.040          9     223.004,0  212.224,0   158.176      289.664      53.652,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.263.072          9     251.452,0  261.920,0   186.688      287.648      32.278,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.219.328          9     246.592,0  259.552,0   141.792      284.320      49.653,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.518.240          9     390.915,0  380.096,0   132.192      536.928     143.368,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.176.768          9     241.863,0  239.360,0   203.840      273.984      22.656,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.028.800          9     225.422,0  227.328,0    63.584      286.880      67.781,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.331.136          9     259.015,0  275.040,0    42.560      425.792      99.058,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.059.488          9     228.832,0  266.048,0    16.704      291.904      87.556,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.863.840          9     540.426,0  552.128,0   458.400      580.608      44.326,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.204.704          9     244.967,0  246.848,0   152.448      291.872      47.054,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.219.968          9     246.663,0  269.952,0    96.000      298.784      62.849,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.243.008          9     249.223,0  258.304,0   203.776      296.704      32.397,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.926.880          9     214.097,0  234.848,0    96.544      277.088      54.869,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.869.792          9     207.754,0  234.144,0    52.256      295.840      83.164,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.997.920          9     444.213,0  452.352,0   188.480      581.952     114.552,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.105.952          9     233.994,0  240.928,0   152.544      289.408      51.313,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.262.912          9     251.434,0  262.016,0   160.256      292.480      44.043,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.234.560          9     248.284,0  279.424,0   182.112      291.456      44.720,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.099.744          9     233.304,0  257.024,0   130.752      289.984      57.592,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.206.688          9     245.187,0  257.920,0   160.768      285.056      43.627,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.362.048          9     484.672,0  477.312,0   326.720      579.168      92.715,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        2.001.440          9     222.382,0  229.760,0   161.664      276.704      40.548,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.471.776          9     385.752,0  422.112,0    63.008      559.968     175.077,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.882.656          9     431.406,0  441.952,0   107.136      584.352     159.152,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.277.504          9     253.056,0  269.408,0   184.960      291.936      35.742,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.141.504          9     237.944,0  232.544,0   194.624      293.408      33.969,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.061.440          9     229.048,0  254.592,0    96.960      291.040      68.935,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.885.248          9     209.472,0  268.480,0    74.464      290.016      91.014,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.793.312          9     421.479,0  497.664,0   113.984      557.248     160.850,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.261.952          9     251.328,0  267.648,0   166.624      291.616      45.391,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.808.736          9     200.970,0  222.048,0    23.904      277.184      82.493,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.118.144          9     235.349,0  243.424,0   132.256      292.224      59.127,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
