1,0 3.488.416 9 387.601,0 383.488,0 273.248 473.344 78.509,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.328.160 9 369.795,0 390.112,0 220.032 495.712 85.473,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.701.248 9 633.472,0 728.672,0 344.224 847.712 207.682,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.040.320 9 337.813,0 353.088,0 145.312 484.640 134.914,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.651.424 9 405.713,0 416.288,0 294.656 488.384 67.094,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.468.672 9 385.408,0 413.504,0 146.336 484.672 100.999,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.511.808 9 390.200,0 390.592,0 219.008 483.392 78.068,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.781.280 9 420.142,0 449.792,0 290.816 552.064 89.681,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.276.544 9 364.060,0 400.512,0 135.200 480.960 116.784,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.054.688 9 339.409,0 383.168,0 163.296 461.984 93.926,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.433.952 9 381.550,0 353.216,0 235.584 496.160 77.776,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 6.024.832 9 669.425,0 753.376,0 397.760 922.848 229.262,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.860.864 9 428.984,0 413.824,0 338.144 514.176 58.342,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.281.312 9 364.590,0 387.264,0 97.472 451.712 108.669,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
