17,0 58.221.152 9 6.469.016,0 6.457.792,0 6.448.256 6.572.576 39.051,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.814.880 9 6.646.097,0 6.470.176,0 6.454.016 6.945.216 230.559,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
25,0 114.208.896 9 12.689.877,0 12.909.120,0 10.905.088 12.922.624 669.324,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.703.040 9 6.522.560,0 6.548.768,0 6.457.504 6.572.128 50.087,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 62.644.704 9 6.960.522,0 6.462.752,0 6.438.816 9.870.976 1.151.659,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.110.272 9 6.456.696,0 6.455.392,0 6.444.384 6.467.424 6.344,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.450.656 9 6.494.517,0 6.461.728,0 6.456.832 6.551.584 43.884,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 60.058.944 9 6.673.216,0 6.461.472,0 6.455.104 6.977.120 255.621,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 63.258.624 9 7.028.736,0 6.695.072,0 6.454.336 10.599.872 1.344.358,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.371.456 9 6.485.717,0 6.460.512,0 6.457.760 6.573.568 47.118,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 62.463.392 9 6.940.376,0 6.465.376,0 6.422.880 9.600.608 1.060.421,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 99.479.456 9 11.053.272,0 12.903.392,0 6.805.280 12.926.880 2.814.186,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 66.066.528 9 7.340.725,0 6.911.680,0 6.456.512 9.150.432 1.075.287,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.317.920 9 6.479.768,0 6.459.008,0 6.444.384 6.565.984 44.666,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 101.849.664 9 11.316.629,0 12.910.048,0 6.971.168 12.936.672 2.450.155,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.339.776 9 6.482.197,0 6.455.232,0 6.441.664 6.699.072 81.661,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.142.176 9 6.460.241,0 6.457.888,0 6.453.408 6.479.968 7.741,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.706.144 9 6.745.127,0 6.958.496,0 6.449.056 6.998.496 272.171,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.128.320 9 6.458.702,0 6.460.224,0 6.451.584 6.469.152 5.545,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.602.336 9 6.733.592,0 6.887.072,0 6.453.440 6.930.176 220.777,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.095.424 9 6.455.047,0 6.455.264,0 6.445.920 6.468.064 6.646,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.880.896 9 6.542.321,0 6.461.600,0 6.451.488 6.928.064 172.657,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.111.232 9 6.456.803,0 6.457.760,0 6.445.216 6.466.144 6.027,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
16,0 58.128.704 9 6.458.744,0 6.458.912,0 6.454.016 6.466.400 3.624,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.254.560 9 6.472.728,0 6.459.200,0 6.447.264 6.568.768 37.828,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.354.944 9 6.483.882,0 6.462.848,0 6.457.504 6.561.440 43.917,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.349.120 9 6.483.235,0 6.459.456,0 6.455.808 6.576.832 48.505,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.273.792 9 6.474.865,0 6.457.856,0 6.442.816 6.572.320 43.217,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.110.880 9 6.456.764,0 6.456.704,0 6.442.528 6.467.968 7.059,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 100.499.744 9 11.166.638,0 12.910.560,0 6.907.296 12.933.952 2.706.361,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 64.662.592 9 7.184.732,0 6.914.784,0 6.456.448 9.884.224 1.066.661,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.112.320 9 6.456.924,0 6.455.296,0 6.452.992 6.465.280 3.925,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.297.728 9 6.477.525,0 6.460.448,0 6.454.240 6.555.072 37.120,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
16,0 58.115.904 9 6.457.322,0 6.457.184,0 6.451.552 6.467.872 5.310,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.529.952 9 6.503.328,0 6.479.104,0 6.473.088 6.570.240 39.516,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
16,0 58.126.144 9 6.458.460,0 6.460.032,0 6.452.096 6.466.560 5.003,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.485.856 9 6.498.428,0 6.464.128,0 6.446.240 6.568.896 52.562,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.273.152 9 6.585.905,0 6.462.784,0 6.451.648 6.941.056 206.593,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.110.912 9 6.456.768,0 6.455.200,0 6.452.864 6.469.056 4.997,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.126.400 9 6.458.488,0 6.457.888,0 6.452.800 6.468.736 4.515,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
21,0 88.767.200 9 9.863.022,0 6.899.648,0 6.539.968 18.684.672 4.298.513,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
