0,0 1.777.312 9 197.479,0 197.504,0 196.224 201.376 1.581,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.874.624 9 208.291,0 198.944,0 196.352 225.952 13.983,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 3.255.840 9 361.760,0 378.144,0 199.840 394.464 61.101,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.788.064 9 198.673,0 199.136,0 196.288 202.400 2.193,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.032 9 197.781,0 197.440,0 196.288 200.128 1.488,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.280 9 197.031,0 196.800,0 196.384 198.592 732,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.782.944 9 198.104,0 197.056,0 196.544 202.048 1.945,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.891.136 9 210.126,0 199.232,0 197.056 226.560 14.860,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.910.624 9 212.291,0 218.656,0 197.440 223.264 10.875,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.992 9 197.888,0 196.896,0 196.320 202.752 2.137,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.785.792 9 198.421,0 197.216,0 196.480 202.816 2.400,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.908.096 9 323.121,0 378.208,0 201.440 394.784 87.030,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.957.248 9 217.472,0 225.088,0 197.056 229.888 14.834,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.778.624 9 197.624,0 197.088,0 196.192 201.088 1.732,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.927.040 9 325.226,0 378.304,0 200.224 395.232 88.046,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.805.312 9 200.590,0 197.504,0 196.288 227.392 10.081,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.144 9 197.127,0 196.800,0 196.320 198.976 836,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.925.632 9 213.959,0 225.536,0 197.152 228.800 15.509,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.816 9 197.201,0 196.768,0 196.352 199.104 908,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.945.536 9 216.170,0 225.248,0 196.512 227.488 14.042,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.775.328 9 197.258,0 197.312,0 196.288 198.624 663,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.832.544 9 203.616,0 197.408,0 196.320 225.984 12.652,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.770.848 9 196.760,0 196.352,0 196.256 199.104 950,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.769.856 9 196.650,0 196.352,0 196.256 198.912 852,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.777.472 9 197.496,0 196.800,0 196.288 203.136 2.151,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.782.528 9 198.058,0 197.536,0 196.384 201.312 1.696,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.779.328 9 197.703,0 196.960,0 196.288 202.336 2.068,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.777.184 9 197.464,0 197.056,0 196.384 202.304 1.838,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.384 9 196.931,0 196.768,0 196.416 198.944 803,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.932.000 9 325.777,0 378.240,0 207.680 395.200 86.621,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.922.080 9 213.564,0 221.696,0 196.608 227.008 13.494,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.480 9 196.942,0 196.576,0 196.320 198.976 865,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.080 9 197.120,0 196.416,0 196.320 201.568 1.717,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.416 9 196.935,0 196.576,0 196.288 199.040 878,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.875.808 9 208.423,0 212.448,0 196.896 213.568 6.753,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.774.848 9 197.205,0 197.376,0 196.288 198.624 726,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.783.840 9 198.204,0 197.216,0 196.672 201.408 1.823,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.858.688 9 206.520,0 197.888,0 196.288 225.504 14.191,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.184 9 197.020,0 196.704,0 196.384 198.976 789,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.772.128 9 196.903,0 196.576,0 196.384 198.880 795,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.657.280 9 295.253,0 226.400,0 214.272 393.344 90.343,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.632 9 197.070,0 196.960,0 196.384 198.944 758,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.936.672 9 326.296,0 378.368,0 211.424 394.720 85.940,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.777.984 9 197.553,0 197.536,0 196.768 199.136 670,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.773.312 9 197.034,0 196.800,0 196.224 198.912 843,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.749.088 9 305.454,0 378.304,0 210.208 394.464 90.396,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.780.832 9 197.870,0 196.960,0 196.576 202.176 1.950,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.898.560 9 322.062,0 378.240,0 199.200 394.016 91.922,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.945.568 9 216.174,0 224.832,0 196.384 226.112 13.925,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.352.000 9 261.333,0 224.000,0 215.776 395.008 75.317,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.776.096 9 197.344,0 196.736,0 196.352 201.408 1.573,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.921.280 9 213.475,0 222.848,0 196.640 228.512 15.116,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 2.913.152 9 323.683,0 378.336,0 201.440 394.912 86.718,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.791.008 9 199.000,0 199.904,0 196.512 202.240 2.256,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
0,0 1.775.392 9 197.265,0 197.248,0 196.416 198.560 602,0 CUDA_KERNEL normalize_weights_kernel(double *, int, double *, double *, double *, int *)
