     13,0       39.580.608        100     395.806,0     395.504,0     316.480    2.649.056      230.325,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       82.711.264        100     827.112,0     364.544,0     356.960    4.249.472      879.836,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     10,0       48.018.016        100      480.180,0     397.424,0     319.712    4.360.928      515.596,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       61.346.912        100      613.469,0     322.144,0     317.920    4.257.504      743.422,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     16,0       52.825.376        100     528.253,0     310.576,0     306.624    4.198.464      714.194,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     15,0       66.098.816        100     660.988,0     789.808,0     359.296    1.293.952      215.312,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     15,0       53.609.504        100     536.095,0     353.072,0     322.336    4.865.920      710.614,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     21,0       74.011.584        100     740.115,0     733.072,0     694.528      831.232      26.245,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     17,0       52.733.408        100     527.334,0     310.368,0     306.144    5.785.216      723.253,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.174.080        100     311.740,0     311.344,0     308.736      351.392       4.124,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.175.936        100     311.759,0     311.312,0     308.992      354.592       4.544,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
