1,0 5.458.688 100 54.586,0 47.504,0 38.848 84.416 13.870,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.668.928 100 46.689,0 41.296,0 40.160 58.816 6.603,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.860.992 100 48.609,0 42.784,0 41.760 58.432 6.754,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.468.640 100 44.686,0 40.704,0 39.456 58.976 6.277,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.463.360 100 54.633,0 52.128,0 45.760 84.608 10.338,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.378.560 100 53.785,0 46.736,0 38.400 82.208 14.006,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.675.808 100 56.758,0 53.008,0 37.728 82.368 13.569,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.806.368 100 58.063,0 50.288,0 40.224 83.936 13.093,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.419.584 100 74.195,0 74.080,0 72.032 83.200 1.172,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.610.144 100 56.101,0 48.016,0 44.832 81.824 12.035,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.050.208 100 60.502,0 54.528,0 46.720 90.560 15.809,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.335.168 100 63.351,0 75.168,0 40.128 83.360 14.018,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.341.792 100 63.417,0 71.136,0 45.600 82.816 11.591,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.846.784 100 58.467,0 50.080,0 41.056 82.304 15.115,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.916.320 100 59.163,0 54.656,0 39.840 82.784 11.503,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.418.720 100 54.187,0 47.456,0 44.544 81.344 11.691,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.972.032 100 59.720,0 55.200,0 46.144 79.264 12.474,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.660.576 100 66.605,0 73.408,0 47.104 78.816 11.157,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.372.448 100 53.724,0 52.304,0 38.432 80.768 11.042,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.334.080 100 73.340,0 73.216,0 72.128 81.568 1.056,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.815.648 100 58.156,0 56.160,0 38.976 80.288 12.960,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.584.352 100 55.843,0 48.240,0 39.520 80.672 13.594,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.111.072 100 61.110,0 56.048,0 48.640 76.320 12.004,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.287.392 100 62.873,0 64.720,0 52.352 79.904 9.286,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.342.112 100 63.421,0 57.584,0 48.960 81.792 13.284,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.274.624 100 72.746,0 72.880,0 57.568 82.016 1.940,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.629.984 100 46.299,0 41.824,0 40.800 57.024 6.287,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.690.272 100 56.902,0 48.096,0 39.136 81.312 13.616,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.512.448 100 55.124,0 50.448,0 42.272 80.416 13.867,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.592.480 100 55.924,0 47.968,0 44.032 80.512 12.475,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.484.896 100 54.849,0 47.872,0 38.688 79.552 13.863,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.193.312 100 51.933,0 52.272,0 39.040 78.912 12.960,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.577.824 100 55.778,0 49.232,0 40.896 82.080 14.299,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.778.720 100 57.787,0 49.616,0 41.024 82.080 13.484,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.273.728 100 52.737,0 53.200,0 39.360 80.256 13.089,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.107.872 100 61.078,0 55.440,0 40.704 80.704 14.053,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.495.776 100 64.957,0 62.944,0 48.864 81.344 10.748,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.132.736 100 51.327,0 47.056,0 39.136 79.968 12.571,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.476.960 100 74.769,0 74.704,0 73.536 80.096 839,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.873.856 100 58.738,0 54.544,0 40.320 79.520 12.780,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.201.344 100 52.013,0 52.576,0 38.784 80.928 12.228,0 CUDA_KERNEL prepare(long, float *, float *, float *)
