4,0 20.487.680 200 102.438,0 83.392,0 22.464 234.592 78.137,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 17.405.824 200 87.029,0 78.304,0 22.624 175.488 62.644,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 17.571.200 200 87.856,0 78.368,0 22.624 175.808 63.227,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 16.739.296 200 83.696,0 77.824,0 22.464 175.584 60.314,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.995.840 200 104.979,0 96.336,0 27.392 234.336 76.070,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.065.760 200 100.328,0 82.928,0 22.400 233.536 76.334,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.979.648 200 109.898,0 83.632,0 22.560 234.880 82.632,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.034.528 200 105.172,0 83.632,0 22.784 234.784 78.200,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.669.056 200 138.345,0 137.968,0 42.720 235.968 95.542,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.761.760 200 103.808,0 92.304,0 25.856 234.528 77.020,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.112.544 200 95.562,0 84.816,0 22.432 236.384 71.917,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 22.859.424 200 114.297,0 83.728,0 22.656 235.904 84.972,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.280.608 200 121.403,0 97.392,0 27.328 235.648 88.531,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.502.720 200 102.513,0 83.568,0 22.656 235.776 78.143,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.860.928 200 109.304,0 83.184,0 22.368 234.944 79.584,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.392.704 200 101.963,0 92.688,0 26.208 235.200 75.468,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.360.160 200 111.800,0 96.656,0 27.200 235.424 82.867,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.766.016 200 123.830,0 96.592,0 27.360 235.360 89.807,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.727.232 200 103.636,0 83.920,0 22.656 234.496 75.888,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.690.144 200 138.450,0 137.728,0 43.072 235.264 95.387,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 21.982.496 200 109.912,0 84.048,0 22.560 235.008 82.063,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.559.904 200 102.799,0 83.488,0 22.528 234.848 77.723,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.201.888 200 101.009,0 81.552,0 21.408 235.712 80.130,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.185.760 200 120.928,0 108.784,0 32.160 235.200 86.082,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.642.784 200 113.213,0 96.720,0 27.520 234.976 83.533,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.544.192 200 137.721,0 99.776,0 27.456 235.648 95.456,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 17.022.528 200 85.112,0 78.224,0 22.688 175.456 61.245,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
