14,0 65.663.936 100 656.639,0 577.920,0 469.472 892.928 174.215,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 56.078.592 100 560.785,0 481.872,0 470.912 669.568 95.208,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 56.507.616 100 565.076,0 483.680,0 472.064 669.664 95.544,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 53.960.352 100 539.603,0 478.240,0 472.416 668.736 89.563,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 67.612.480 100 676.124,0 667.184,0 570.528 892.768 121.666,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 64.854.048 100 648.540,0 579.312,0 469.600 893.504 169.846,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 70.549.760 100 705.497,0 582.960,0 469.184 892.768 174.794,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 67.668.704 100 676.687,0 582.768,0 474.304 892.896 153.049,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 89.139.520 100 891.395,0 891.328,0 889.280 893.440 800,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 67.057.664 100 670.576,0 580.352,0 549.216 893.824 145.394,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 61.164.640 100 611.646,0 578.112,0 470.176 892.704 156.039,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 73.468.384 100 734.683,0 889.568,0 471.296 892.928 166.619,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 78.269.984 100 782.699,0 890.416,0 572.256 893.888 148.665,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.908.320 100 659.083,0 578.688,0 469.760 893.088 174.750,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 70.376.096 100 703.761,0 668.176,0 468.448 892.960 134.791,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 65.738.144 100 657.381,0 580.752,0 543.200 893.280 142.263,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 71.877.312 100 718.773,0 585.664,0 571.456 892.544 155.028,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 79.529.184 100 795.291,0 890.720,0 570.880 893.504 144.088,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
