5,0 25.415.424 100 254.154,0 223.184,0 181.792 346.496 67.333,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 21.534.304 100 215.343,0 185.200,0 182.592 257.504 35.921,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 21.740.256 100 217.402,0 185.472,0 182.304 257.504 36.095,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 20.673.472 100 206.734,0 184.240,0 181.504 256.608 33.847,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 26.042.400 100 260.424,0 255.728,0 219.840 345.856 47.067,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 24.690.720 100 246.907,0 221.072,0 178.752 341.472 64.746,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 27.029.760 100 270.297,0 225.808,0 178.784 344.672 67.655,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 25.832.576 100 258.325,0 223.200,0 179.456 343.488 58.300,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 34.454.976 100 344.549,0 344.560,0 342.496 347.168 1.044,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 25.940.096 100 259.401,0 224.176,0 207.296 346.432 55.960,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 23.419.680 100 234.196,0 221.728,0 181.568 343.360 58.720,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 28.341.760 100 283.417,0 341.952,0 181.888 345.952 64.747,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 30.236.992 100 302.369,0 343.696,0 220.800 346.496 56.617,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 25.329.056 100 253.290,0 223.488,0 181.472 345.312 66.849,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 27.067.744 100 270.677,0 256.864,0 180.928 346.784 51.713,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 25.328.896 100 253.289,0 224.048,0 211.008 345.952 54.428,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 27.719.872 100 277.198,0 230.608,0 220.224 346.656 59.980,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 30.774.880 100 307.748,0 343.696,0 220.864 347.360 55.178,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 25.603.072 100 256.030,0 256.608,0 182.272 345.632 52.431,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 34.464.896 100 344.649,0 344.592,0 342.112 346.784 915,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
