6,0 28.960.288 2 14.480.144,0 14.480.144,0 13.098.304 15.861.984 1.954.216,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 30.069.152 2 15.034.576,0 15.034.576,0 14.208.320 15.860.832 1.168.502,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 27.839.232 2 13.919.616,0 13.919.616,0 11.975.456 15.863.776 2.749.457,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 27.912.320 2 13.956.160,0 13.956.160,0 12.048.288 15.864.032 2.698.138,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.713.184 2 15.856.592,0 15.856.592,0 15.853.440 15.859.744 4.457,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.725.888 2 15.862.944,0 15.862.944,0 15.857.888 15.868.000 7.150,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.723.456 2 15.861.728,0 15.861.728,0 15.859.392 15.864.064 3.303,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.718.880 2 15.859.440,0 15.859.440,0 15.857.888 15.860.992 2.194,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 30.550.336 2 15.275.168,0 15.275.168,0 14.694.720 15.855.616 820.877,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.719.840 2 15.859.920,0 15.859.920,0 15.854.144 15.865.696 8.168,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.714.816 2 15.857.408,0 15.857.408,0 15.855.968 15.858.848 2.036,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
10,0 31.715.296 2 15.857.648,0 15.857.648,0 15.857.152 15.858.144 701,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.714.848 2 15.857.424,0 15.857.424,0 15.854.624 15.860.224 3.959,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.715.904 2 15.857.952,0 15.857.952,0 15.857.600 15.858.304 497,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 31.724.992 2 15.862.496,0 15.862.496,0 15.861.984 15.863.008 724,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
9,0 27.787.264 2 13.893.632,0 13.893.632,0 11.925.088 15.862.176 2.783.941,0 CUDA_KERNEL srad_cuda_1(float *, float *, float *, float *, float *, float *, int, int, float)
