3,0 14.184.576 2 7.092.288,0 7.092.288,0 6.045.248 8.139.328 1.480.738,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 14.523.968 2 7.261.984,0 7.261.984,0 6.354.784 8.169.184 1.282.974,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 13.978.720 2 6.989.360,0 6.989.360,0 5.847.904 8.130.816 1.614.262,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 13.956.288 2 6.978.144,0 6.978.144,0 5.835.936 8.120.352 1.615.326,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.270.496 2 8.135.248,0 8.135.248,0 8.112.288 8.158.208 32.470,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.241.920 2 8.120.960,0 8.120.960,0 8.115.136 8.126.784 8.236,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.281.344 2 8.140.672,0 8.140.672,0 8.117.024 8.164.320 33.443,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.271.200 2 8.135.600,0 8.135.600,0 8.132.320 8.138.880 4.638,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 14.685.376 2 7.342.688,0 7.342.688,0 6.529.280 8.156.096 1.150.332,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.272.736 2 8.136.368,0 8.136.368,0 8.126.656 8.146.080 13.734,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.277.952 2 8.138.976,0 8.138.976,0 8.135.872 8.142.080 4.389,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.285.376 2 8.142.688,0 8.142.688,0 8.133.664 8.151.712 12.761,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.278.144 2 8.139.072,0 8.139.072,0 8.137.056 8.141.088 2.851,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.302.816 2 8.151.408,0 8.151.408,0 8.127.840 8.174.976 33.330,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.204.096 2 8.102.048,0 8.102.048,0 8.086.144 8.117.952 22.491,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 14.025.536 2 7.012.768,0 7.012.768,0 5.844.128 8.181.408 1.652.706,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.275.712 2 8.137.856,0 8.137.856,0 8.112.192 8.163.520 36.294,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.283.680 2 8.141.840,0 8.141.840,0 8.141.376 8.142.304 656,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 14.000.448 2 7.000.224,0 7.000.224,0 5.852.064 8.148.384 1.623.743,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.274.912 2 8.137.456,0 8.137.456,0 8.126.368 8.148.544 15.680,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.300.928 2 8.150.464,0 8.150.464,0 8.131.584 8.169.344 26.700,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.245.664 2 8.122.832,0 8.122.832,0 8.118.912 8.126.752 5.543,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.708.192 2 5.854.096,0 5.854.096,0 5.849.088 5.859.104 7.082,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.263.424 2 8.131.712,0 8.131.712,0 8.122.368 8.141.056 13.214,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.299.104 2 8.149.552,0 8.149.552,0 8.118.976 8.180.128 43.241,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
4,0 11.691.424 2 5.845.712,0 5.845.712,0 5.842.112 5.849.312 5.091,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
5,0 16.243.680 2 8.121.840,0 8.121.840,0 8.115.808 8.127.872 8.530,0 CUDA_KERNEL srad_cuda_2(float *, float *, float *, float *, float *, float *, int, int, float, float)
