19,0 11.275.200 1 11.275.200,0 11.275.200,0 11.275.200 11.275.200 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.277.088 1 11.277.088,0 11.277.088,0 11.277.088 11.277.088 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.276.032 1 11.276.032,0 11.276.032,0 11.276.032 11.276.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.728 1 11.273.728,0 11.273.728,0 11.273.728 11.273.728 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.274.816 1 11.274.816,0 11.274.816,0 11.274.816 11.274.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.272 1 11.274.272,0 11.274.272,0 11.274.272 11.274.272 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.472 1 11.273.472,0 11.273.472,0 11.273.472 11.273.472 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.552 1 11.275.552,0 11.275.552,0 11.275.552 11.275.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.184 1 11.273.184,0 11.273.184,0 11.273.184 11.273.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.752 1 11.274.752,0 11.274.752,0 11.274.752 11.274.752 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.275.072 1 11.275.072,0 11.275.072,0 11.275.072 11.275.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.568 1 11.273.568,0 11.273.568,0 11.273.568 11.273.568 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.872 1 11.275.872,0 11.275.872,0 11.275.872 11.275.872 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.288 1 11.272.288,0 11.272.288,0 11.272.288 11.272.288 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.256 1 11.272.256,0 11.272.256,0 11.272.256 11.272.256 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.344 1 11.273.344,0 11.273.344,0 11.273.344 11.273.344 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.824 1 11.273.824,0 11.273.824,0 11.273.824 11.273.824 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.616 1 11.275.616,0 11.275.616,0 11.275.616 11.275.616 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.760 1 11.273.760,0 11.273.760,0 11.273.760 11.273.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.928 1 11.272.928,0 11.272.928,0 11.272.928 11.272.928 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.816 1 11.274.816,0 11.274.816,0 11.274.816 11.274.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.040 1 11.275.040,0 11.275.040,0 11.275.040 11.275.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.728 1 11.273.728,0 11.273.728,0 11.273.728 11.273.728 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.273.952 1 11.273.952,0 11.273.952,0 11.273.952 11.273.952 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.912 1 11.274.912,0 11.274.912,0 11.274.912 11.274.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.880 1 11.274.880,0 11.274.880,0 11.274.880 11.274.880 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.272.864 1 11.272.864,0 11.272.864,0 11.272.864 11.272.864 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.376 1 11.273.376,0 11.273.376,0 11.273.376 11.273.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
