48,0 1.607.677.248 10 160.767.724,0 165.470.048,0 90.467.424 223.651.264 55.849.505,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.170.336 10 91.917.033,0 91.657.200,0 86.899.488 98.524.832 3.212.168,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.781.568 10 91.978.156,0 91.750.064,0 87.009.472 98.611.808 3.214.026,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 915.067.104 10 91.506.710,0 91.606.256,0 86.760.864 95.076.320 2.555.492,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 919.022.144 10 91.902.214,0 91.609.552,0 86.886.464 98.589.088 3.274.036,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.287.616 10 92.228.761,0 91.707.664,0 86.808.576 98.508.832 3.425.437,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 916.147.168 10 91.614.716,0 91.644.352,0 86.867.488 98.553.152 3.028.804,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 918.925.344 10 91.892.534,0 91.614.464,0 86.726.496 98.529.536 3.227.412,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 916.029.568 10 91.602.956,0 91.730.240,0 86.918.976 95.648.736 2.602.744,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.069.632 10 92.206.963,0 91.671.936,0 86.790.336 98.496.512 3.430.276,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 921.291.680 10 92.129.168,0 91.546.640,0 86.817.792 98.476.064 3.412.583,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.037.152 10 92.203.715,0 91.655.280,0 86.816.096 98.581.056 3.428.683,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 918.991.488 10 91.899.148,0 91.605.136,0 86.892.352 98.463.648 3.183.795,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
