25,0 1.111.317.504 3.900 284.953,0 265.824,0 187.872 447.520 38.312,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 861.559.104 3.900 220.912,0 210.976,0 187.360 441.760 27.345,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 714.956.672 3.900 183.322,0 178.656,0 174.432 235.136 9.213,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 841.194.976 3.900 215.691,0 210.432,0 176.640 2.270.816 37.926,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
22,0 716.584.832 3.900 183.739,0 178.688,0 176.800 233.600 9.465,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
4,0 856.339.552 3.900 219.574,0 210.496,0 187.488 2.831.840 52.287,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 803.500.416 3.900 206.025,0 207.648,0 174.368 1.535.904 24.526,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
5,0 868.929.920 3.900 222.802,0 208.256,0 188.512 914.912 47.461,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 860.196.640 3.900 220.563,0 209.664,0 175.488 451.040 35.995,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 873.092.416 3.900 223.869,0 208.352,0 185.344 880.928 43.172,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
6,0 806.251.680 3.900 206.731,0 207.424,0 174.464 2.179.200 36.818,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
7,0 1.041.461.248 3.900 267.041,0 212.064,0 187.392 886.464 78.366,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
27,0 1.424.221.184 3.900 365.184,0 352.160,0 347.456 455.328 21.270,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
10,0 739.236.384 3.900 189.547,0 181.280,0 174.880 240.800 15.064,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
8,0 956.806.432 3.900 245.335,0 211.104,0 176.128 2.182.560 72.486,0 CUDA_KERNEL kernel(int, float *, float *, float *, float *)
