     45,0       38.148.672        100     381.486,0     394.144,0     354.880     460.640     18.953,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       66.828.032        100     668.280,0     364.336,0     356.576   3.334.144    734.064,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       70.258.496        100     702.585,0     714.224,0     346.880   3.239.328    600.925,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0       72.846.464        100     728.464,0     722.864,0     697.664     824.928     21.603,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       30.917.152        100     309.171,0     308.720,0     305.760     371.872      6.458,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     43,0       42.392.096        100     423.921,0     329.024,0     316.032   2.392.448    338.400,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       34.449.920        100     344.499,0     343.648,0     341.312     412.704      7.015,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       31.105.088        100     311.050,0     310.160,0     307.520     377.408      6.833,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0       72.129.024        100     721.290,0     752.608,0     358.912     798.112    115.054,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.082.592        100     310.825,0     310.016,0     308.000     380.544      7.140,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       69.027.200        100     690.272,0     744.928,0     349.568     827.168    153.306,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.089.408        100     310.894,0     310.096,0     308.160     374.592      6.524,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       64.578.688        100     645.786,0     713.488,0     360.896     787.904    147.353,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0       80.026.912        100     800.269,0     773.984,0     709.184   1.813.280    175.956,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.514.976        100     395.149,0     394.576,0     392.192     455.808      6.225,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       64.942.400        100     649.424,0     736.688,0     354.112     778.464    164.613,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.611.680        100     396.116,0     395.376,0     393.248     468.704      7.378,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       75.525.184        100     755.251,0     509.808,0     354.656   4.429.632    714.770,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       34.454.816        100     344.548,0     310.336,0     307.264   1.994.304    202.786,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       40.337.376        100     403.373,0     343.136,0     338.752   2.345.088    301.709,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       45.885.824        100     458.858,0     344.448,0     317.600   2.445.088    403.024,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     47,0       70.570.816        100     705.708,0     719.232,0     360.416     781.248     84.008,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       70.227.360        100     702.273,0     744.784,0     348.672     834.912    147.235,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       31.140.736        100     311.407,0     310.880,0     307.264     376.352      6.748,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       80.821.760        100     808.217,0     767.008,0     357.440   4.081.280    672.034,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       37.877.376        100     378.773,0     395.184,0     317.376     462.592     32.109,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       39.602.592        100     396.025,0     309.952,0     305.888   2.178.144    335.472,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       31.235.552        100     312.355,0     311.696,0     309.536     361.888      5.187,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0      112.804.672        100    1.128.046,0      795.264,0      750.720    3.053.440    669.820,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.616.768        100     396.167,0     395.360,0     393.664     465.152      7.022,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       53.365.184        100     533.651,0     395.328,0     316.448   3.136.096    513.052,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       34.063.264        100     340.632,0     342.000,0     314.848     404.512     10.201,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       42.560.352        100     425.603,0     395.504,0     393.504   2.106.720    209.289,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       33.862.080        100     338.620,0     312.576,0     306.912   2.006.368    188.097,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.820.672        100     318.206,0     314.528,0     309.664     377.728     10.705,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       61.944.544        100     619.445,0     737.504,0     357.536     845.184    192.783,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
