1,0 8.888.288 100 88.882,0 90.928,0 63.584 101.920 7.228,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.750.976 100 77.509,0 65.552,0 63.552 100.544 13.853,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.516.224 100 85.162,0 91.856,0 63.360 101.408 12.026,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.189.120 100 91.891,0 91.808,0 90.496 101.664 1.184,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.438.048 100 84.380,0 91.264,0 63.424 102.432 11.997,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.487.424 100 84.874,0 91.536,0 63.520 102.656 11.908,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.409.792 100 84.097,0 91.184,0 63.200 101.024 12.297,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.527.392 100 85.273,0 91.328,0 63.488 101.984 11.587,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.504.864 100 85.048,0 90.768,0 63.488 101.984 11.192,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.545.760 100 85.457,0 91.632,0 63.968 101.056 11.695,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.128.736 100 51.287,0 49.136,0 48.032 94.720 6.441,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.432.256 100 64.322,0 64.128,0 62.720 69.888 1.019,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.901.344 100 49.013,0 48.928,0 48.064 55.808 759,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.457.792 100 64.577,0 64.448,0 63.264 72.096 1.039,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.881.312 100 48.813,0 48.784,0 47.744 54.976 724,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.545.056 100 55.450,0 55.392,0 54.528 62.592 821,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.876.352 100 48.763,0 48.704,0 47.872 55.712 798,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.866.944 100 48.669,0 48.560,0 47.872 56.832 878,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.865.152 100 48.651,0 48.592,0 47.712 54.496 691,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.627.104 100 86.271,0 91.040,0 63.424 102.400 10.541,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.575.264 100 85.752,0 91.440,0 64.032 105.760 11.475,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.733.568 100 87.335,0 90.880,0 63.776 101.952 9.456,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.107.808 100 81.078,0 91.072,0 63.776 101.952 13.298,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.791.904 100 67.919,0 63.792,0 49.504 101.696 17.252,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.572.608 100 75.726,0 66.256,0 50.400 102.208 15.544,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.879.264 100 48.792,0 48.720,0 48.160 56.096 793,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.875.584 100 48.755,0 48.736,0 47.872 55.040 719,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.895.264 100 48.952,0 48.864,0 48.160 55.872 793,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.907.168 100 49.071,0 49.024,0 48.224 55.584 762,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.365.824 100 83.658,0 91.248,0 63.488 102.112 12.484,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.474.016 100 84.740,0 91.728,0 63.424 103.296 12.385,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.163.264 100 91.632,0 91.456,0 90.048 100.672 1.187,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 9.205.024 100 92.050,0 91.936,0 90.016 103.808 1.426,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.496.960 100 74.969,0 65.008,0 63.424 103.840 13.683,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.029.056 100 80.290,0 91.392,0 63.712 104.000 13.918,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.968.096 100 79.681,0 91.072,0 63.552 102.208 13.816,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.416.544 100 84.165,0 91.056,0 63.360 103.648 12.053,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.252.768 100 72.527,0 64.832,0 63.136 103.392 12.856,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.759.392 100 87.593,0 91.488,0 63.360 101.408 9.562,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.279.488 100 82.794,0 91.312,0 63.360 112.160 13.609,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.908.096 100 89.081,0 94.192,0 64.000 103.232 11.312,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.492.736 100 84.927,0 91.408,0 63.328 100.768 11.734,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.646.112 100 76.461,0 65.024,0 63.296 103.840 13.875,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.648.704 100 86.487,0 92.144,0 63.424 109.888 11.749,0 CUDA_KERNEL prepare(long, float *, float *, float *)
