5,0 31.175.488 200 155.877,0 129.248,0 53.504 243.904 82.046,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.297.856 200 136.489,0 129.440,0 53.632 243.776 75.479,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.764.032 200 148.820,0 130.160,0 54.432 244.128 79.670,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 31.947.328 200 159.736,0 160.224,0 76.160 243.872 82.758,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.561.824 200 147.809,0 129.360,0 53.632 244.064 80.095,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.632.096 200 148.160,0 129.136,0 53.280 243.680 80.339,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 29.474.944 200 147.374,0 129.648,0 53.408 243.584 79.988,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.890.560 200 149.452,0 129.552,0 54.176 243.680 80.112,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.937.664 200 149.688,0 129.328,0 54.112 243.744 80.398,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 29.932.608 200 149.663,0 130.160,0 54.016 243.584 79.946,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 17.008.928 200 85.044,0 97.472,0 40.672 240.576 43.857,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 17.911.904 200 89.559,0 90.464,0 50.720 129.280 38.232,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.445.408 200 82.227,0 82.352,0 40.608 124.320 41.304,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 17.946.048 200 89.730,0 89.968,0 50.816 129.120 38.187,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.412.448 200 82.062,0 81.952,0 40.608 124.192 41.229,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 19.331.808 200 96.659,0 96.176,0 45.760 148.800 50.516,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.433.376 200 82.166,0 82.016,0 40.704 124.192 41.183,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.449.152 200 82.245,0 82.368,0 40.832 124.864 41.199,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 16.444.224 200 82.221,0 82.096,0 40.704 124.640 41.174,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 30.349.824 200 151.749,0 130.048,0 53.696 244.256 80.507,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 29.977.632 200 149.888,0 130.096,0 53.696 243.968 80.315,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 30.678.880 200 153.394,0 130.064,0 54.048 244.640 81.101,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 28.571.584 200 142.857,0 129.584,0 53.856 243.328 77.694,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 23.624.416 200 118.122,0 103.056,0 41.600 243.744 70.554,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.912.544 200 129.562,0 105.280,0 42.400 243.584 74.341,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
