15,0 86.646.272 100 866.462,0 886.288,0 663.808 888.544 63.760,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 76.232.256 100 762.322,0 665.008,0 663.104 888.576 110.571,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 82.666.176 100 826.661,0 886.096,0 662.976 888.512 99.187,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 88.639.936 100 886.399,0 886.400,0 884.544 888.512 773,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 82.420.960 100 824.209,0 885.968,0 662.528 888.704 100.181,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 82.678.784 100 826.787,0 886.144,0 663.168 887.872 98.554,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 82.119.136 100 821.191,0 885.984,0 663.136 888.128 101.024,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 83.095.424 100 830.954,0 886.144,0 663.008 888.608 96.604,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 83.301.920 100 833.019,0 885.920,0 663.552 888.768 95.234,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 82.900.576 100 829.005,0 886.560,0 663.360 888.992 97.898,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
10,0 46.087.712 100 460.877,0 451.232,0 448.256 583.808 29.171,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 45.252.832 100 452.528,0 452.192,0 450.368 456.000 1.327,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.109.600 100 451.096,0 451.056,0 449.440 454.208 1.106,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 45.301.536 100 453.015,0 452.912,0 450.496 455.776 1.080,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.050.496 100 450.505,0 450.352,0 448.992 452.960 961,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
19,0 53.930.112 100 539.301,0 539.088,0 534.624 544.480 1.837,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.065.312 100 450.653,0 450.576,0 449.024 453.280 894,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.094.912 100 450.949,0 450.672,0 449.088 454.528 1.121,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.084.480 100 450.844,0 450.592,0 448.704 453.760 1.171,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 84.016.032 100 840.160,0 886.496,0 663.648 888.864 90.968,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 83.325.152 100 833.251,0 886.224,0 662.976 888.416 95.372,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 84.885.024 100 848.850,0 886.320,0 663.936 888.160 83.773,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 79.572.416 100 795.724,0 886.000,0 663.488 888.736 109.751,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 65.238.944 100 652.389,0 663.616,0 470.976 888.576 173.454,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 70.969.568 100 709.695,0 665.008,0 470.048 888.128 169.973,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.108.352 100 451.083,0 451.056,0 448.768 454.048 984,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.074.272 100 450.742,0 450.704,0 449.024 453.216 881,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.109.952 100 451.099,0 451.056,0 449.408 454.528 973,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
18,0 45.095.712 100 450.957,0 450.800,0 449.088 453.952 981,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 81.769.216 100 817.692,0 886.016,0 663.616 887.776 103.102,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 82.229.376 100 822.293,0 886.256,0 663.680 888.800 101.347,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 88.630.880 100 886.308,0 886.240,0 884.384 888.480 725,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
17,0 88.653.152 100 886.531,0 886.560,0 884.992 888.384 711,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 74.228.544 100 742.285,0 664.912,0 663.296 888.000 106.619,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 78.646.624 100 786.466,0 885.344,0 663.264 889.312 111.112,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 78.232.960 100 782.329,0 885.552,0 662.752 888.480 111.483,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 82.215.680 100 822.156,0 885.888,0 663.680 888.192 100.933,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 72.475.296 100 724.753,0 664.720,0 663.008 888.800 99.146,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 84.886.496 100 848.865,0 886.400,0 663.392 888.672 83.833,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 80.442.144 100 804.421,0 885.904,0 663.104 888.480 107.791,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 84.206.720 100 842.067,0 886.176,0 663.136 888.256 89.285,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 82.767.936 100 827.679,0 885.936,0 663.232 888.480 97.795,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 75.551.296 100 755.513,0 665.088,0 663.232 888.448 109.776,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16,0 83.299.648 100 832.996,0 886.256,0 663.584 887.936 95.160,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 87.755.040 100 877.550,0 886.304,0 664.896 888.032 43.521,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 73.766.976 100 737.669,0 664.640,0 662.912 887.840 105.051,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12,0 76.023.648 100 760.236,0 665.488,0 663.232 888.384 110.651,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11,0 77.796.928 100 777.969,0 885.024,0 663.776 888.352 111.528,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 81.504.928 100 815.049,0 885.920,0 663.648 888.288 103.922,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 73.563.136 100 735.631,0 664.864,0 663.456 888.544 104.159,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12,0 74.895.104 100 748.951,0 665.232,0 663.296 888.384 108.136,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 79.983.488 100 799.834,0 885.632,0 663.392 888.032 108.824,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 88.636.288 100 886.362,0 886.336,0 884.000 887.936 847,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 84.006.880 100 840.068,0 886.464,0 663.456 888.224 90.902,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 73.351.360 100 733.513,0 664.640,0 663.168 887.968 103.367,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 79.269.824 100 792.698,0 885.424,0 663.456 887.872 109.362,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15,0 88.636.128 100 886.361,0 886.320,0 884.768 888.320 704,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 77.333.760 100 773.337,0 665.696,0 662.880 887.808 111.612,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13,0 88.667.360 100 886.673,0 886.688,0 884.704 888.480 773,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14,0 80.246.592 100 802.465,0 886.208,0 663.328 888.640 108.223,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11,0 74.805.024 100 748.050,0 665.168,0 571.008 888.896 112.917,0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
